clip,track,category,frame,trig_az,own_az,own_azdiff,other_track,other_dist,verdict
fold20_room1_mix0019,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0020,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0023,1,B1(±25°内で最近傍負け),50,175,-179,6.0,0,,
fold20_room1_mix0031,0,B2(他車帰属),52,-103,43,146.0,1,0.86,正当(他所に実在の重大車)
fold20_room1_mix0049,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0088,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0099,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0110,0,B2(他車帰属),38,13,-158,171.0,1,2.69,中間(他車は注意域)
fold20_room1_mix0111,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0123,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0124,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0129,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0134,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0136,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0142,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0142,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0156,0,B2(他車帰属),81,160,-171,29.0,1,3.58,スチール(他車は安全域)
fold20_room1_mix0162,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0163,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0176,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0177,2,B1(±25°内で最近傍負け),65,-7,5,12.0,1,,
fold20_room1_mix0182,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0184,0,B2(他車帰属),68,60,-24,84.0,1,0.71,正当(他所に実在の重大車)
fold20_room1_mix0198,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0200,0,B2(他車帰属),72,119,170,51.0,1,2.10,中間(他車は注意域)
fold20_room1_mix0200,2,B2(他車帰属),72,119,7,112.0,1,2.10,中間(他車は注意域)
fold20_room1_mix0219,0,B2(他車帰属),61,65,-174,121.0,1,1.99,中間(他車は注意域)
fold20_room1_mix0255,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0260,0,B3(自GT行なしフレームのみで発火),,,,,,,
fold20_room1_mix0260,1,B1(±25°内で最近傍負け),83,178,-168,14.0,2,,
fold20_room1_mix0266,2,B2(他車帰属),44,4,-177,179.0,0,9.84,スチール(他車は安全域)
fold20_room1_mix0290,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0297,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0302,0,B2(他車帰属),73,137,-3,140.0,1,1.23,正当(他所に実在の重大車)
fold20_room1_mix0306,0,B2(他車帰属),40,-22,-177,155.0,1,2.34,中間(他車は注意域)
fold20_room1_mix0307,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0317,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0340,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0341,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0349,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0358,2,B2(他車帰属),79,-60,8,68.0,0,0.78,正当(他所に実在の重大車)
fold20_room1_mix0361,2,B2(他車帰属),55,104,-169,87.0,0,1.44,正当(他所に実在の重大車)
fold20_room1_mix0383,0,B1(±25°内で最近傍負け),55,144,167,23.0,1,,
fold20_room1_mix0383,2,B2(他車帰属),55,144,-147,69.0,1,2.23,中間(他車は注意域)
fold20_room1_mix0388,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0393,1,帰属不能トリガのみ(episode監査対象),,,,,,,
fold20_room1_mix0403,1,B1(±25°内で最近傍負け),54,171,175,4.0,0,,
fold20_room1_mix0403,2,B1(±25°内で最近傍負け),54,171,178,7.0,0,,
fold20_room1_mix0405,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0415,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0415,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0429,0,B1(±25°内で最近傍負け),83,14,21,7.0,1,,
fold20_room1_mix0435,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0449,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0450,2,B2(他車帰属),64,105,-3,108.0,0,1.23,正当(他所に実在の重大車)
fold20_room1_mix0469,2,B3(自GT行なしフレームのみで発火),,,,,,,
fold20_room1_mix0470,1,B2(他車帰属),40,117,176,59.0,0,2.08,中間(他車は注意域)
fold20_room1_mix0482,2,B2(他車帰属),67,8,-177,175.0,0,22.51,スチール(他車は安全域)
fold20_room1_mix0488,2,帰属不能トリガのみ(episode監査対象),,,,,,,
fold20_room1_mix0499,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0506,0,B1(±25°内で最近傍負け),67,-176,-177,1.0,1,,
fold20_room1_mix0510,0,B2(他車帰属),82,-101,9,110.0,1,1.28,正当(他所に実在の重大車)
fold20_room1_mix0515,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0547,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0551,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0555,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0556,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0561,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0568,2,B2(他車帰属),52,105,-176,79.0,0,1.52,中間(他車は注意域)
fold20_room1_mix0572,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0573,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0591,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0595,0,B2(他車帰属),64,114,-176,70.0,2,1.33,正当(他所に実在の重大車)
fold20_room1_mix0598,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0600,1,B2(他車帰属),53,128,1,127.0,0,0.82,正当(他所に実在の重大車)
fold20_room1_mix0636,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0638,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0638,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0645,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0652,0,B1(±25°内で最近傍負け),80,-145,-159,14.0,1,,
fold20_room1_mix0653,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0670,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0674,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0678,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0705,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0708,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0725,2,B2(他車帰属),56,-54,178,128.0,1,2.18,中間(他車は注意域)
fold20_room1_mix0727,0,B1(±25°内で最近傍負け),45,-3,10,13.0,2,,
fold20_room1_mix0727,1,B2(他車帰属),45,-3,177,180.0,2,6.24,スチール(他車は安全域)
fold20_room1_mix0732,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0732,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0740,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0743,0,B1(±25°内で最近傍負け),85,-5,-10,5.0,1,,
fold20_room1_mix0770,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0774,1,B2(他車帰属),82,55,-3,58.0,0,1.76,中間(他車は注意域)
fold20_room1_mix0788,0,B1(±25°内で最近傍負け),74,-1,-17,16.0,2,,
fold20_room1_mix0794,1,A(強トリガ未成立),,,,,,,
