clip,track,category,frame,trig_az,own_az,own_azdiff,other_track,other_dist,verdict
fold20_room1_mix0003,1,帰属不能トリガのみ(episode監査対象),,,,,,,
fold20_room1_mix0007,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0012,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0020,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0031,0,帰属不能トリガのみ(episode監査対象),,,,,,,
fold20_room1_mix0031,1,帰属不能トリガのみ(episode監査対象),,,,,,,
fold20_room1_mix0031,2,帰属不能トリガのみ(episode監査対象),,,,,,,
fold20_room1_mix0041,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0052,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0060,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0065,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0071,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0073,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0077,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0089,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0096,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0097,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0099,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0105,0,帰属不能トリガのみ(episode監査対象),,,,,,,
fold20_room1_mix0108,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0110,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0120,2,B2(他車帰属),32,-176,-1,175.0,1,21.24,スチール(他車は安全域)
fold20_room1_mix0129,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0134,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0142,2,B2(他車帰属),59,-99,-8,91.0,0,1.41,正当(他所に実在の重大車)
fold20_room1_mix0155,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0156,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0156,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0161,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0166,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0177,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0184,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0184,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0187,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0189,0,帰属不能トリガのみ(episode監査対象),,,,,,,
fold20_room1_mix0195,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0200,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0200,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0210,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0211,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0216,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0219,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0220,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0226,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0227,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0232,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0235,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0246,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0247,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0252,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0255,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0257,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0266,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0272,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0279,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0281,1,帰属不能トリガのみ(episode監査対象),,,,,,,
fold20_room1_mix0289,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0290,0,B2(他車帰属),14,-177,-2,175.0,1,23.99,スチール(他車は安全域)
fold20_room1_mix0302,1,B2(他車帰属),43,-61,178,121.0,0,1.19,正当(他所に実在の重大車)
fold20_room1_mix0306,0,B2(他車帰属),35,-1,-177,176.0,1,5.20,スチール(他車は安全域)
fold20_room1_mix0307,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0311,1,B2(他車帰属),16,-1,-178,177.0,0,44.77,スチール(他車は安全域)
fold20_room1_mix0313,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0317,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0326,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0329,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0330,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0333,0,B2(他車帰属),37,-159,175,26.0,1,5.60,スチール(他車は安全域)
fold20_room1_mix0333,2,B3(自GT行なしフレームのみで発火),,,,,,,
fold20_room1_mix0335,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0336,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0341,0,帰属不能トリガのみ(episode監査対象),,,,,,,
fold20_room1_mix0349,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0350,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0353,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0357,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0358,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0358,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0361,2,B2(他車帰属),84,144,-177,39.0,1,2.62,中間(他車は注意域)
fold20_room1_mix0361,0,B2(他車帰属),84,144,177,33.0,1,2.62,中間(他車は注意域)
fold20_room1_mix0366,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0369,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0377,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0381,1,B2(他車帰属),32,-176,6,178.0,0,51.61,スチール(他車は安全域)
fold20_room1_mix0383,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0383,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0387,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0388,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0393,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0394,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0403,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0403,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0403,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0405,2,B2(他車帰属),71,84,48,36.0,1,2.44,中間(他車は注意域)
fold20_room1_mix0409,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0415,0,B2(他車帰属),40,-74,177,109.0,1,3.35,スチール(他車は安全域)
fold20_room1_mix0415,2,B2(他車帰属),40,-74,-169,95.0,1,3.35,スチール(他車は安全域)
fold20_room1_mix0418,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0429,0,B1(±25°内で最近傍負け),85,5,10,5.0,1,,
fold20_room1_mix0430,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0435,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0437,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0449,1,B3(自GT行なしフレームのみで発火),,,,,,,
fold20_room1_mix0450,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0450,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0455,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0459,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0469,0,帰属不能トリガのみ(episode監査対象),,,,,,,
fold20_room1_mix0469,2,B3(自GT行なしフレームのみで発火),,,,,,,
fold20_room1_mix0471,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0480,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0482,2,B1(±25°内で最近傍負け),37,13,-9,22.0,1,,
fold20_room1_mix0483,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0488,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0499,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0508,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0510,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0515,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0518,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0525,1,B2(他車帰属),75,161,-20,179.0,0,4.50,スチール(他車は安全域)
fold20_room1_mix0540,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0547,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0550,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0551,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0561,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0564,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0565,1,B1(±25°内で最近傍負け),72,-166,-161,5.0,0,,
fold20_room1_mix0568,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0568,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0572,0,B1(±25°内で最近傍負け),82,-5,20,25.0,1,,
fold20_room1_mix0573,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0578,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0587,1,A(強トリガ未成立),,,,,,,
