clip,track,category,frame,trig_az,own_az,own_azdiff,other_track,other_dist,verdict
fold20_room1_mix0012,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0020,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0031,0,B2(他車帰属),53,-72,55,127.0,1,0.78,正当(他所に実在の重大車)
fold20_room1_mix0031,2,B2(他車帰属),53,-72,-9,63.0,1,0.78,正当(他所に実在の重大車)
fold20_room1_mix0041,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0052,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0057,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0060,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0065,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0077,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0096,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0099,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0110,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0120,2,B2(他車帰属),32,-176,-1,175.0,1,21.24,スチール(他車は安全域)
fold20_room1_mix0129,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0134,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0142,2,B2(他車帰属),59,-99,-8,91.0,0,1.41,正当(他所に実在の重大車)
fold20_room1_mix0155,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0156,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0156,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0166,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0177,2,B2(他車帰属),75,-85,9,94.0,1,1.74,中間(他車は注意域)
fold20_room1_mix0184,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0184,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0189,0,帰属不能トリガのみ(episode監査対象),,,,,,,
fold20_room1_mix0195,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0200,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0200,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0210,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0211,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0216,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0219,0,B2(他車帰属),45,80,-21,101.0,2,2.60,中間(他車は注意域)
fold20_room1_mix0226,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0227,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0232,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0235,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0246,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0247,0,A(強トリガ未成立),,,,,,,
