clip,track,category,frame,trig_az,own_az,own_azdiff,other_track,other_dist,verdict
fold20_room1_mix0020,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0031,0,B2(他車帰属),52,-100,43,143.0,1,0.86,正当(他所に実在の重大車)
fold20_room1_mix0031,2,B2(他車帰属),52,-100,-8,92.0,1,0.86,正当(他所に実在の重大車)
fold20_room1_mix0041,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0056,1,B2(他車帰属),79,-36,1,37.0,0,4.02,スチール(他車は安全域)
fold20_room1_mix0088,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0098,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0110,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0120,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0129,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0142,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0142,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0156,0,B1(±25°内で最近傍負け),78,167,-173,20.0,1,,
fold20_room1_mix0163,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0182,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0200,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0200,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0219,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0227,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0255,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0260,0,B3(自GT行なしフレームのみで発火),,,,,,,
fold20_room1_mix0266,2,B2(他車帰属),53,26,-176,158.0,0,3.81,スチール(他車は安全域)
fold20_room1_mix0272,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0290,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0297,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0306,1,B2(他車帰属),44,174,-111,75.0,0,15.11,スチール(他車は安全域)
fold20_room1_mix0307,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0317,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0333,0,帰属不能トリガのみ(episode監査対象),,,,,,,
fold20_room1_mix0333,2,帰属不能トリガのみ(episode監査対象),,,,,,,
fold20_room1_mix0336,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0340,0,B2(他車帰属),79,73,178,105.0,1,2.65,中間(他車は注意域)
fold20_room1_mix0341,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0358,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0358,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0361,2,B2(他車帰属),81,88,-177,95.0,1,1.20,正当(他所に実在の重大車)
fold20_room1_mix0361,0,B2(他車帰属),81,88,176,88.0,1,1.20,正当(他所に実在の重大車)
fold20_room1_mix0383,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0383,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0388,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0393,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0403,1,B2(他車帰属),62,45,166,121.0,0,1.37,正当(他所に実在の重大車)
fold20_room1_mix0403,2,B2(他車帰属),62,45,177,132.0,0,1.37,正当(他所に実在の重大車)
fold20_room1_mix0409,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0415,2,B2(他車帰属),65,61,-20,81.0,0,1.08,正当(他所に実在の重大車)
fold20_room1_mix0449,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0450,2,B2(他車帰属),64,104,-3,107.0,0,1.23,正当(他所に実在の重大車)
