clip,track,category,frame,trig_az,own_az,own_azdiff,other_track,other_dist,verdict
fold20_room1_mix0020,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0031,0,B2(他車帰属),25,-178,5,177.0,1,10.73,スチール(他車は安全域)
fold20_room1_mix0046,0,B1(±25°内で最近傍負け),38,-172,-179,7.0,2,,
fold20_room1_mix0098,0,B2(他車帰属),80,-16,163,179.0,1,3.49,スチール(他車は安全域)
fold20_room1_mix0110,0,帰属不能トリガのみ(episode監査対象),,,,,,,
fold20_room1_mix0111,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0120,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0129,0,B2(他車帰属),83,73,100,27.0,1,2.99,中間(他車は注意域)
fold20_room1_mix0182,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0184,0,B2(他車帰属),68,55,-24,79.0,1,0.71,正当(他所に実在の重大車)
fold20_room1_mix0198,0,B1(±25°内で最近傍負け),54,-11,-4,7.0,1,,
fold20_room1_mix0200,0,B1(±25°内で最近傍負け),70,147,171,24.0,1,,
fold20_room1_mix0219,0,B2(他車帰属),44,50,-17,67.0,2,3.00,中間(他車は注意域)
fold20_room1_mix0247,0,B3(自GT行なしフレームのみで発火),,,,,,,
fold20_room1_mix0255,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0260,0,B3(自GT行なしフレームのみで発火),,,,,,,
fold20_room1_mix0306,1,B2(他車帰属),39,179,-18,163.0,0,19.88,スチール(他車は安全域)
fold20_room1_mix0358,2,B2(他車帰属),56,32,159,127.0,1,4.05,スチール(他車は安全域)
fold20_room1_mix0361,0,B1(±25°内で最近傍負け),40,-16,6,22.0,2,,
fold20_room1_mix0383,2,B1(±25°内で最近傍負け),56,173,-165,22.0,0,,
fold20_room1_mix0403,1,B1(±25°内で最近傍負け),88,17,3,14.0,2,,
fold20_room1_mix0415,2,B1(±25°内で最近傍負け),48,-143,-158,15.0,1,,
fold20_room1_mix0450,2,B2(他車帰属),66,63,-4,67.0,0,1.49,正当(他所に実在の重大車)
fold20_room1_mix0469,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0469,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0506,0,B1(±25°内で最近傍負け),67,-175,-177,2.0,1,,
fold20_room1_mix0525,1,B2(他車帰属),57,178,-4,178.0,0,18.40,スチール(他車は安全域)
fold20_room1_mix0551,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0556,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0568,0,B2(他車帰属),82,-25,5,30.0,2,3.06,中間(他車は注意域)
fold20_room1_mix0573,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0591,0,B2(他車帰属),47,170,133,37.0,1,22.81,スチール(他車は安全域)
fold20_room1_mix0595,2,B2(他車帰属),74,-109,165,86.0,0,0.70,正当(他所に実在の重大車)
fold20_room1_mix0600,1,B2(他車帰属),48,154,1,153.0,0,1.67,中間(他車は注意域)
fold20_room1_mix0638,2,B2(他車帰属),81,62,-4,66.0,1,1.31,正当(他所に実在の重大車)
fold20_room1_mix0645,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0693,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0702,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0708,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0725,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0727,0,B2(他車帰属),51,-16,14,30.0,2,3.39,スチール(他車は安全域)
