clip_id,split,stratum,scene,motion,walk_speed_mps,lam_per_min,n_cars,has_close,close_type,has_bell,has_horn,noise_dba,seed
long_fold40_0000,fold40,low,arterial_walk,walk,1.158,2.73,2,0,,1,0,52.1,492185132
long_fold40_0001,fold40,mid,arterial_walk,walk,1.302,7.47,12,0,,0,0,52.9,2010498770
long_fold40_0002,fold40,high,arterial_walk,walk,1.225,8.62,11,0,,0,0,59.4,73324057
long_fold40_0003,fold40,low,arterial_static,static,1.395,3.36,5,1,turn_left_across,0,0,60.4,976010677
long_fold40_0004,fold40,mid,arterial_walk,walk,1.266,5.2,6,0,,0,0,61.6,1569593404
long_fold40_0005,fold40,high,arterial_walk,walk,1.299,10.61,14,0,,0,0,57.7,1526544204
long_fold40_0006,fold40,low,arterial_walk,walk,1.227,3.53,3,0,,0,0,54.2,1577955206
long_fold40_0007,fold40,mid,arterial_walk,walk,1.179,5.66,12,0,,0,0,55.7,1413554070
long_fold40_0008,fold40,high,arterial_walk,walk,1.184,11.51,17,0,,0,0,58.0,1128531586
long_fold40_0009,fold40,low,arterial_walk,walk,1.058,2.36,4,0,,0,1,60.1,285994745
long_fold40_0010,fold40,mid,arterial_static,static,1.359,6.03,8,0,,0,0,63.8,730356914
long_fold40_0011,fold40,high,arterial_walk,walk,1.288,10.81,8,1,close_slow_pass,0,0,56.0,434434655
long_fold40_0012,fold40,low,arterial_walk,walk,1.239,3.44,6,0,,1,0,58.8,1622528865
long_fold40_0013,fold40,mid,arterial_walk,walk,1.177,6.97,9,0,,1,0,60.7,91956450
long_fold40_0014,fold40,high,arterial_walk,walk,1.13,10.62,12,0,,1,0,64.3,1048344520
long_fold40_0015,fold40,low,arterial_walk,walk,1.147,3.37,8,0,,0,0,63.7,1026886790
long_fold40_0016,fold40,mid,arterial_walk,walk,1.254,7.39,13,0,,0,0,52.0,689381037
long_fold40_0017,fold40,high,arterial_walk,walk,1.212,9.79,13,0,,0,0,54.5,1855311449
long_fold40_0018,fold40,low,arterial_walk,walk,1.155,2.33,5,1,turn_left_across,0,0,59.0,611935360
long_fold40_0019,fold40,mid,arterial_walk,walk,1.265,6.76,7,0,,0,0,62.8,240940115
long_fold40_0020,fold40,high,arterial_walk,walk,1.137,11.84,7,1,close_slow_pass,0,0,63.0,988094288
long_fold40_0021,fold40,low,arterial_walk,walk,1.071,3.01,2,0,,1,1,57.2,55746650
long_fold40_0022,fold40,mid,arterial_walk,walk,1.389,6.58,9,0,,0,1,57.7,54283996
long_fold40_0023,fold40,high,arterial_walk,walk,1.182,9.41,13,0,,0,0,54.6,1493957919
long_fold40_0024,fold40,low,arterial_walk,walk,1.235,3.41,5,1,turn_left_across,0,0,56.8,790805673
long_fold40_0025,fold40,mid,arterial_walk,walk,1.353,6.68,7,0,,0,0,61.6,448061506
long_fold40_0026,fold40,high,arterial_walk,walk,1.255,11.98,15,0,,0,0,54.1,185984858
long_fold40_0027,fold40,low,arterial_walk,walk,1.224,2.06,5,1,close_slow_pass,0,0,55.3,723284173
long_fold40_0028,fold40,mid,arterial_walk,walk,1.152,5.75,4,0,,0,0,53.8,1714035000
long_fold40_0029,fold40,high,residential,walk,1.192,0.54,2,1,close_slow_pass,0,0,43.8,1290456652
long_fold40_0030,fold40,low,arterial_walk,walk,1.017,3.83,2,0,,1,0,59.5,1890199930
long_fold40_0031,fold40,mid,arterial_static,static,1.018,7.93,10,0,,1,0,61.9,1133308202
long_fold40_0032,fold40,high,arterial_walk,walk,1.1,10.8,10,0,,0,0,54.2,317170867
long_fold40_0033,fold40,low,arterial_static,static,1.162,3.81,9,0,,0,0,54.4,723310433
long_fold40_0034,fold40,mid,arterial_walk,walk,1.233,6.49,4,0,,0,0,52.1,371437914
long_fold40_0035,fold40,high,arterial_static,static,1.147,10.76,16,0,,0,0,55.6,359477503
long_fold40_0036,fold40,low,residential,walk,1.064,0.64,2,1,close_slow_pass,0,0,49.2,1543518355
long_fold40_0037,fold40,mid,arterial_static,static,1.33,4.5,5,0,,0,0,52.8,660078658
long_fold40_0038,fold40,high,arterial_walk,walk,1.034,8.88,15,0,,0,0,58.3,1412739603
long_fold40_0039,fold40,low,arterial_walk,walk,1.151,2.54,2,0,,0,0,57.3,1361679183
long_fold40_0040,fold40,mid,arterial_walk,walk,1.18,7.82,10,0,,0,0,61.3,714200386
long_fold40_0041,fold40,high,arterial_walk,walk,1.233,10.6,12,0,,0,0,52.7,997204006
long_fold40_0042,fold40,low,arterial_walk,walk,1.384,3.7,5,0,,0,0,58.8,1994658275
long_fold40_0043,fold40,mid,arterial_walk,walk,1.379,7.3,9,0,,0,0,63.8,2068772917
long_fold40_0044,fold40,high,arterial_walk,walk,1.303,10.89,15,0,,0,0,53.5,1334159342
long_fold40_0045,fold40,low,arterial_static,static,1.218,3.37,3,0,,0,0,56.0,965189408
long_fold40_0046,fold40,mid,arterial_static,static,1.357,4.07,3,0,,1,0,54.7,541662011
long_fold40_0047,fold40,high,arterial_walk,walk,1.176,9.52,13,1,close_slow_pass,0,0,52.8,955089854
long_fold40_0048,fold40,low,arterial_walk,walk,1.079,3.71,10,1,turn_left_across,0,0,64.9,1726524079
long_fold40_0049,fold40,mid,arterial_walk,walk,1.339,4.3,3,0,,0,0,56.7,2051626833
long_fold40_0050,fold40,high,arterial_walk,walk,1.185,8.87,8,0,,0,0,57.1,2056372529
long_fold40_0051,fold40,low,arterial_walk,walk,1.15,2.36,2,0,,0,0,58.0,2014429015
long_fold40_0052,fold40,mid,arterial_walk,walk,1.265,5.14,4,0,,1,0,52.6,1297658519
long_fold40_0053,fold40,high,arterial_walk,walk,1.284,11.56,13,0,,0,0,53.6,440377246
long_fold40_0054,fold40,low,arterial_static,static,1.05,2.1,3,0,,0,0,57.6,1492032218
