frame,class,snr_a_db
0,1,-498.8
1,1,-499.01
2,1,-499.09
3,1,-498.94
4,1,-498.9
5,1,-498.67
6,1,-498.89
7,1,-499.24
8,1,-498.8
9,1,-498.89
10,1,-499.3
11,1,-499.06
12,1,-498.76
13,1,-498.71
14,1,-499.22
15,1,-498.92
16,1,-499.09
17,1,-498.84
18,1,-498.9
19,1,-498.94
20,1,-499.22
21,1,-499.0
22,1,-499.32
23,1,-499.22
24,1,-499.11
25,1,-499.05
26,1,-499.25
27,1,-498.85
28,1,-499.07
29,1,-498.7
30,1,16.05
31,1,24.81
32,1,24.71
33,1,24.65
34,1,-1.05
35,1,20.72
36,1,26.29
37,1,26.23
38,1,25.84
39,1,-358.4
40,1,23.81
41,1,27.64
42,1,28.04
43,1,26.49
44,1,-498.84
45,1,25.08
46,1,27.97
47,1,28.01
48,1,25.9
49,1,-499.05
50,1,25.47
51,1,27.46
52,1,27.62
53,1,26.15
54,1,-499.1
55,1,25.33
56,1,27.91
57,1,27.74
58,1,26.21
59,1,-499.2
60,1,23.52
61,1,26.97
62,1,26.36
63,1,25.39
64,1,-164.25
65,1,20.92
66,1,25.43
67,1,25.11
68,1,24.38
69,1,1.29
70,1,-32.72
71,1,-498.92
72,1,-499.02
73,1,-498.95
74,1,-499.08
75,1,-498.61
76,1,-498.91
77,1,-498.89
78,1,-499.08
79,1,-499.12
80,1,-499.13
81,1,-498.98
82,1,-498.94
83,1,-498.85
84,1,-498.99
85,1,-498.69
86,1,-499.15
87,1,-498.95
88,1,-498.98
89,1,-499.06
90,1,-499.19
91,1,-499.01
92,1,-498.82
93,1,-499.33
94,1,-499.08
95,1,-498.72
96,1,-499.03
97,1,-499.08
98,1,-498.57
99,1,-499.05
