clip_id,split,motion,n_warnings,w1_class,w1_side,w2_class,w2_side,danger_tier,car_side,scenario,seed,scene_type,n_car
fold9_room3_mix0001,fold9,static,1,siren,L,,,na,,probe_siren,12420044651,eval,0
fold9_room3_mix0002,fold9,static,1,siren,R,,,na,,probe_siren,12420044652,eval,0
fold9_room3_mix0003,fold9,static,1,siren,L,,,na,,probe_siren,12420044653,eval,0
fold9_room3_mix0004,fold9,static,1,siren,R,,,na,,probe_siren,12420044654,eval,0
fold9_room3_mix0005,fold9,static,1,siren,L,,,na,,probe_siren,12420044655,eval,0
fold9_room3_mix0006,fold9,static,1,siren,R,,,na,,probe_siren,12420044656,eval,0
fold9_room3_mix0007,fold9,static,1,siren,L,,,na,,probe_siren,12420044657,eval,0
fold9_room3_mix0008,fold9,static,1,siren,R,,,na,,probe_siren,12420044658,eval,0
fold9_room3_mix0009,fold9,static,1,siren,L,,,na,,probe_siren,12420044659,eval,0
fold9_room3_mix0010,fold9,static,1,siren,R,,,na,,probe_siren,12420044660,eval,0
fold9_room3_mix0011,fold9,static,1,siren,L,,,na,,probe_siren,12420044661,eval,0
fold9_room3_mix0012,fold9,static,1,siren,R,,,na,,probe_siren,12420044662,eval,0
fold9_room3_mix0013,fold9,static,1,siren,L,,,na,,probe_siren,12420044663,eval,0
fold9_room3_mix0014,fold9,static,1,siren,R,,,na,,probe_siren,12420044664,eval,0
fold9_room3_mix0015,fold9,static,1,siren,L,,,na,,probe_siren,12420044665,eval,0
fold9_room3_mix0016,fold9,static,1,siren,R,,,na,,probe_siren,12420044666,eval,0
fold9_room3_mix0017,fold9,walk,1,siren,L,,,na,,probe_siren,12420044667,eval,0
fold9_room3_mix0018,fold9,walk,1,siren,R,,,na,,probe_siren,12420044668,eval,0
fold9_room3_mix0019,fold9,walk,1,siren,L,,,na,,probe_siren,12420044669,eval,0
fold9_room3_mix0020,fold9,walk,1,siren,R,,,na,,probe_siren,12420044670,eval,0
fold9_room3_mix0021,fold9,walk,1,siren,L,,,na,,probe_siren,12420044671,eval,0
fold9_room3_mix0022,fold9,walk,1,siren,R,,,na,,probe_siren,12420044672,eval,0
fold9_room3_mix0023,fold9,walk,1,siren,L,,,na,,probe_siren,12420044673,eval,0
fold9_room3_mix0024,fold9,walk,1,siren,R,,,na,,probe_siren,12420044674,eval,0
fold9_room3_mix0025,fold9,walk,1,siren,L,,,na,,probe_siren,12420044675,eval,0
fold9_room3_mix0026,fold9,walk,1,siren,R,,,na,,probe_siren,12420044676,eval,0
fold9_room3_mix0027,fold9,walk,1,siren,L,,,na,,probe_siren,12420044677,eval,0
fold9_room3_mix0028,fold9,walk,1,siren,R,,,na,,probe_siren,12420044678,eval,0
fold9_room3_mix0029,fold9,walk,1,siren,L,,,na,,probe_siren,12420044679,eval,0
fold9_room3_mix0030,fold9,walk,1,siren,R,,,na,,probe_siren,12420044680,eval,0
fold9_room3_mix0031,fold9,walk,1,siren,L,,,na,,probe_siren,12420044681,eval,0
fold9_room3_mix0032,fold9,walk,1,siren,R,,,na,,probe_siren,12420044682,eval,0
fold9_room3_mix0033,fold9,static,1,horn,L,,,na,,probe_horn,12420044683,eval,0
fold9_room3_mix0034,fold9,static,1,horn,R,,,na,,probe_horn,12420044684,eval,0
fold9_room3_mix0035,fold9,static,1,horn,L,,,na,,probe_horn,12420044685,eval,0
fold9_room3_mix0036,fold9,static,1,horn,R,,,na,,probe_horn,12420044686,eval,0
fold9_room3_mix0037,fold9,static,1,horn,L,,,na,,probe_horn,12420044687,eval,0
fold9_room3_mix0038,fold9,static,1,horn,R,,,na,,probe_horn,12420044688,eval,0
fold9_room3_mix0039,fold9,static,1,horn,L,,,na,,probe_horn,12420044689,eval,0
fold9_room3_mix0040,fold9,static,1,horn,R,,,na,,probe_horn,12420044690,eval,0
fold9_room3_mix0041,fold9,static,1,horn,L,,,na,,probe_horn,12420044691,eval,0
fold9_room3_mix0042,fold9,static,1,horn,R,,,na,,probe_horn,12420044692,eval,0
fold9_room3_mix0043,fold9,static,1,horn,L,,,na,,probe_horn,12420044693,eval,0
fold9_room3_mix0044,fold9,static,1,horn,R,,,na,,probe_horn,12420044694,eval,0
fold9_room3_mix0045,fold9,static,1,horn,L,,,na,,probe_horn,12420044695,eval,0
fold9_room3_mix0046,fold9,static,1,horn,R,,,na,,probe_horn,12420044696,eval,0
fold9_room3_mix0047,fold9,static,1,horn,L,,,na,,probe_horn,12420044697,eval,0
fold9_room3_mix0048,fold9,static,1,horn,R,,,na,,probe_horn,12420044698,eval,0
fold9_room3_mix0049,fold9,walk,1,horn,L,,,na,,probe_horn,12420044699,eval,0
fold9_room3_mix0050,fold9,walk,1,horn,R,,,na,,probe_horn,12420044700,eval,0
fold9_room3_mix0051,fold9,walk,1,horn,L,,,na,,probe_horn,12420044701,eval,0
fold9_room3_mix0052,fold9,walk,1,horn,R,,,na,,probe_horn,12420044702,eval,0
fold9_room3_mix0053,fold9,walk,1,horn,L,,,na,,probe_horn,12420044703,eval,0
fold9_room3_mix0054,fold9,walk,1,horn,R,,,na,,probe_horn,12420044704,eval,0
fold9_room3_mix0055,fold9,walk,1,horn,L,,,na,,probe_horn,12420044705,eval,0
fold9_room3_mix0056,fold9,walk,1,horn,R,,,na,,probe_horn,12420044706,eval,0
fold9_room3_mix0057,fold9,walk,1,horn,L,,,na,,probe_horn,12420044707,eval,0
fold9_room3_mix0058,fold9,walk,1,horn,R,,,na,,probe_horn,12420044708,eval,0
fold9_room3_mix0059,fold9,walk,1,horn,L,,,na,,probe_horn,12420044709,eval,0
fold9_room3_mix0060,fold9,walk,1,horn,R,,,na,,probe_horn,12420044710,eval,0
fold9_room3_mix0061,fold9,walk,1,horn,L,,,na,,probe_horn,12420044711,eval,0
fold9_room3_mix0062,fold9,walk,1,horn,R,,,na,,probe_horn,12420044712,eval,0
fold9_room3_mix0063,fold9,walk,1,horn,L,,,na,,probe_horn,12420044713,eval,0
fold9_room3_mix0064,fold9,walk,1,horn,R,,,na,,probe_horn,12420044714,eval,0
fold9_room3_mix0065,fold9,static,1,backup_beep,L,,,na,,probe_backup_beep,12420044715,eval,0
fold9_room3_mix0066,fold9,static,1,backup_beep,R,,,na,,probe_backup_beep,12420044716,eval,0
fold9_room3_mix0067,fold9,static,1,backup_beep,L,,,na,,probe_backup_beep,12420044717,eval,0
fold9_room3_mix0068,fold9,static,1,backup_beep,R,,,na,,probe_backup_beep,12420044718,eval,0
fold9_room3_mix0069,fold9,static,1,backup_beep,L,,,na,,probe_backup_beep,12420044719,eval,0
fold9_room3_mix0070,fold9,static,1,backup_beep,R,,,na,,probe_backup_beep,12420044720,eval,0
fold9_room3_mix0071,fold9,static,1,backup_beep,L,,,na,,probe_backup_beep,12420044721,eval,0
fold9_room3_mix0072,fold9,static,1,backup_beep,R,,,na,,probe_backup_beep,12420044722,eval,0
fold9_room3_mix0073,fold9,static,1,backup_beep,L,,,na,,probe_backup_beep,12420044723,eval,0
fold9_room3_mix0074,fold9,static,1,backup_beep,R,,,na,,probe_backup_beep,12420044724,eval,0
fold9_room3_mix0075,fold9,static,1,backup_beep,L,,,na,,probe_backup_beep,12420044725,eval,0
fold9_room3_mix0076,fold9,static,1,backup_beep,R,,,na,,probe_backup_beep,12420044726,eval,0
fold9_room3_mix0077,fold9,static,1,backup_beep,L,,,na,,probe_backup_beep,12420044727,eval,0
fold9_room3_mix0078,fold9,static,1,backup_beep,R,,,na,,probe_backup_beep,12420044728,eval,0
fold9_room3_mix0079,fold9,static,1,backup_beep,L,,,na,,probe_backup_beep,12420044729,eval,0
fold9_room3_mix0080,fold9,static,1,backup_beep,R,,,na,,probe_backup_beep,12420044730,eval,0
fold9_room3_mix0081,fold9,walk,1,backup_beep,L,,,na,,probe_backup_beep,12420044731,eval,0
fold9_room3_mix0082,fold9,walk,1,backup_beep,R,,,na,,probe_backup_beep,12420044732,eval,0
fold9_room3_mix0083,fold9,walk,1,backup_beep,L,,,na,,probe_backup_beep,12420044733,eval,0
fold9_room3_mix0084,fold9,walk,1,backup_beep,R,,,na,,probe_backup_beep,12420044734,eval,0
fold9_room3_mix0085,fold9,walk,1,backup_beep,L,,,na,,probe_backup_beep,12420044735,eval,0
fold9_room3_mix0086,fold9,walk,1,backup_beep,R,,,na,,probe_backup_beep,12420044736,eval,0
fold9_room3_mix0087,fold9,walk,1,backup_beep,L,,,na,,probe_backup_beep,12420044737,eval,0
fold9_room3_mix0088,fold9,walk,1,backup_beep,R,,,na,,probe_backup_beep,12420044738,eval,0
fold9_room3_mix0089,fold9,walk,1,backup_beep,L,,,na,,probe_backup_beep,12420044739,eval,0
fold9_room3_mix0090,fold9,walk,1,backup_beep,R,,,na,,probe_backup_beep,12420044740,eval,0
fold9_room3_mix0091,fold9,walk,1,backup_beep,L,,,na,,probe_backup_beep,12420044741,eval,0
fold9_room3_mix0092,fold9,walk,1,backup_beep,R,,,na,,probe_backup_beep,12420044742,eval,0
fold9_room3_mix0093,fold9,walk,1,backup_beep,L,,,na,,probe_backup_beep,12420044743,eval,0
fold9_room3_mix0094,fold9,walk,1,backup_beep,R,,,na,,probe_backup_beep,12420044744,eval,0
fold9_room3_mix0095,fold9,walk,1,backup_beep,L,,,na,,probe_backup_beep,12420044745,eval,0
fold9_room3_mix0096,fold9,walk,1,backup_beep,R,,,na,,probe_backup_beep,12420044746,eval,0
fold9_room3_mix0097,fold9,static,1,bike_bell,L,,,na,,probe_bike_bell,12420044747,eval,0
fold9_room3_mix0098,fold9,static,1,bike_bell,R,,,na,,probe_bike_bell,12420044748,eval,0
fold9_room3_mix0099,fold9,static,1,bike_bell,L,,,na,,probe_bike_bell,12420044749,eval,0
fold9_room3_mix0100,fold9,static,1,bike_bell,R,,,na,,probe_bike_bell,12420044750,eval,0
fold9_room3_mix0101,fold9,static,1,bike_bell,L,,,na,,probe_bike_bell,12420044751,eval,0
fold9_room3_mix0102,fold9,static,1,bike_bell,R,,,na,,probe_bike_bell,12420044752,eval,0
fold9_room3_mix0103,fold9,static,1,bike_bell,L,,,na,,probe_bike_bell,12420044753,eval,0
fold9_room3_mix0104,fold9,static,1,bike_bell,R,,,na,,probe_bike_bell,12420044754,eval,0
fold9_room3_mix0105,fold9,static,1,bike_bell,L,,,na,,probe_bike_bell,12420044755,eval,0
fold9_room3_mix0106,fold9,static,1,bike_bell,R,,,na,,probe_bike_bell,12420044756,eval,0
fold9_room3_mix0107,fold9,static,1,bike_bell,L,,,na,,probe_bike_bell,12420044757,eval,0
fold9_room3_mix0108,fold9,static,1,bike_bell,R,,,na,,probe_bike_bell,12420044758,eval,0
fold9_room3_mix0109,fold9,static,1,bike_bell,L,,,na,,probe_bike_bell,12420044759,eval,0
fold9_room3_mix0110,fold9,static,1,bike_bell,R,,,na,,probe_bike_bell,12420044760,eval,0
fold9_room3_mix0111,fold9,static,1,bike_bell,L,,,na,,probe_bike_bell,12420044761,eval,0
fold9_room3_mix0112,fold9,static,1,bike_bell,R,,,na,,probe_bike_bell,12420044762,eval,0
fold9_room3_mix0113,fold9,walk,1,bike_bell,L,,,na,,probe_bike_bell,12420044763,eval,0
fold9_room3_mix0114,fold9,walk,1,bike_bell,R,,,na,,probe_bike_bell,12420044764,eval,0
fold9_room3_mix0115,fold9,walk,1,bike_bell,L,,,na,,probe_bike_bell,12420044765,eval,0
fold9_room3_mix0116,fold9,walk,1,bike_bell,R,,,na,,probe_bike_bell,12420044766,eval,0
fold9_room3_mix0117,fold9,walk,1,bike_bell,L,,,na,,probe_bike_bell,12420044767,eval,0
fold9_room3_mix0118,fold9,walk,1,bike_bell,R,,,na,,probe_bike_bell,12420044768,eval,0
fold9_room3_mix0119,fold9,walk,1,bike_bell,L,,,na,,probe_bike_bell,12420044769,eval,0
fold9_room3_mix0120,fold9,walk,1,bike_bell,R,,,na,,probe_bike_bell,12420044770,eval,0
fold9_room3_mix0121,fold9,walk,1,bike_bell,L,,,na,,probe_bike_bell,12420044771,eval,0
fold9_room3_mix0122,fold9,walk,1,bike_bell,R,,,na,,probe_bike_bell,12420044772,eval,0
fold9_room3_mix0123,fold9,walk,1,bike_bell,L,,,na,,probe_bike_bell,12420044773,eval,0
fold9_room3_mix0124,fold9,walk,1,bike_bell,R,,,na,,probe_bike_bell,12420044774,eval,0
fold9_room3_mix0125,fold9,walk,1,bike_bell,L,,,na,,probe_bike_bell,12420044775,eval,0
fold9_room3_mix0126,fold9,walk,1,bike_bell,R,,,na,,probe_bike_bell,12420044776,eval,0
fold9_room3_mix0127,fold9,walk,1,bike_bell,L,,,na,,probe_bike_bell,12420044777,eval,0
fold9_room3_mix0128,fold9,walk,1,bike_bell,R,,,na,,probe_bike_bell,12420044778,eval,0
fold9_room3_mix0129,fold9,static,1,crossing,L,,,na,,probe_crossing,12420044779,eval,0
fold9_room3_mix0130,fold9,static,1,crossing,R,,,na,,probe_crossing,12420044780,eval,0
fold9_room3_mix0131,fold9,static,1,crossing,L,,,na,,probe_crossing,12420044781,eval,0
fold9_room3_mix0132,fold9,static,1,crossing,R,,,na,,probe_crossing,12420044782,eval,0
fold9_room3_mix0133,fold9,static,1,crossing,L,,,na,,probe_crossing,12420044783,eval,0
fold9_room3_mix0134,fold9,static,1,crossing,R,,,na,,probe_crossing,12420044784,eval,0
fold9_room3_mix0135,fold9,static,1,crossing,L,,,na,,probe_crossing,12420044785,eval,0
fold9_room3_mix0136,fold9,static,1,crossing,R,,,na,,probe_crossing,12420044786,eval,0
fold9_room3_mix0137,fold9,static,1,crossing,L,,,na,,probe_crossing,12420044787,eval,0
fold9_room3_mix0138,fold9,static,1,crossing,R,,,na,,probe_crossing,12420044788,eval,0
fold9_room3_mix0139,fold9,static,1,crossing,L,,,na,,probe_crossing,12420044789,eval,0
fold9_room3_mix0140,fold9,static,1,crossing,R,,,na,,probe_crossing,12420044790,eval,0
fold9_room3_mix0141,fold9,static,1,crossing,L,,,na,,probe_crossing,12420044791,eval,0
fold9_room3_mix0142,fold9,static,1,crossing,R,,,na,,probe_crossing,12420044792,eval,0
fold9_room3_mix0143,fold9,static,1,crossing,L,,,na,,probe_crossing,12420044793,eval,0
fold9_room3_mix0144,fold9,static,1,crossing,R,,,na,,probe_crossing,12420044794,eval,0
fold9_room3_mix0145,fold9,walk,1,crossing,L,,,na,,probe_crossing,12420044795,eval,0
fold9_room3_mix0146,fold9,walk,1,crossing,R,,,na,,probe_crossing,12420044796,eval,0
fold9_room3_mix0147,fold9,walk,1,crossing,L,,,na,,probe_crossing,12420044797,eval,0
fold9_room3_mix0148,fold9,walk,1,crossing,R,,,na,,probe_crossing,12420044798,eval,0
fold9_room3_mix0149,fold9,walk,1,crossing,L,,,na,,probe_crossing,12420044799,eval,0
fold9_room3_mix0150,fold9,walk,1,crossing,R,,,na,,probe_crossing,12420044800,eval,0
fold9_room3_mix0151,fold9,walk,1,crossing,L,,,na,,probe_crossing,12420044801,eval,0
fold9_room3_mix0152,fold9,walk,1,crossing,R,,,na,,probe_crossing,12420044802,eval,0
fold9_room3_mix0153,fold9,walk,1,crossing,L,,,na,,probe_crossing,12420044803,eval,0
fold9_room3_mix0154,fold9,walk,1,crossing,R,,,na,,probe_crossing,12420044804,eval,0
fold9_room3_mix0155,fold9,walk,1,crossing,L,,,na,,probe_crossing,12420044805,eval,0
fold9_room3_mix0156,fold9,walk,1,crossing,R,,,na,,probe_crossing,12420044806,eval,0
fold9_room3_mix0157,fold9,walk,1,crossing,L,,,na,,probe_crossing,12420044807,eval,0
fold9_room3_mix0158,fold9,walk,1,crossing,R,,,na,,probe_crossing,12420044808,eval,0
fold9_room3_mix0159,fold9,walk,1,crossing,L,,,na,,probe_crossing,12420044809,eval,0
fold9_room3_mix0160,fold9,walk,1,crossing,R,,,na,,probe_crossing,12420044810,eval,0
fold9_room3_mix0161,fold9,static,0,,L,,,safe,L,probe_car_drive,12420044811,eval,1
fold9_room3_mix0162,fold9,static,0,,R,,,safe,R,probe_car_drive,12420044812,eval,1
fold9_room3_mix0163,fold9,static,0,,L,,,safe,L,probe_car_drive,12420044813,eval,1
fold9_room3_mix0164,fold9,static,0,,R,,,safe,R,probe_car_drive,12420044814,eval,1
fold9_room3_mix0165,fold9,static,0,,L,,,safe,L,probe_car_drive,12420044815,eval,1
fold9_room3_mix0166,fold9,static,0,,R,,,safe,R,probe_car_drive,12420044816,eval,1
fold9_room3_mix0167,fold9,static,0,,L,,,safe,L,probe_car_drive,12420044817,eval,1
fold9_room3_mix0168,fold9,static,0,,R,,,safe,R,probe_car_drive,12420044818,eval,1
fold9_room3_mix0169,fold9,static,0,,L,,,safe,L,probe_car_drive,12420044819,eval,1
fold9_room3_mix0170,fold9,static,0,,R,,,safe,R,probe_car_drive,12420044820,eval,1
fold9_room3_mix0171,fold9,static,0,,L,,,safe,L,probe_car_drive,12420044821,eval,1
fold9_room3_mix0172,fold9,static,0,,R,,,safe,R,probe_car_drive,12420044822,eval,1
fold9_room3_mix0173,fold9,static,0,,L,,,safe,L,probe_car_drive,12420044823,eval,1
fold9_room3_mix0174,fold9,static,0,,R,,,safe,R,probe_car_drive,12420044824,eval,1
fold9_room3_mix0175,fold9,static,0,,L,,,safe,L,probe_car_drive,12420044825,eval,1
fold9_room3_mix0176,fold9,static,0,,R,,,safe,R,probe_car_drive,12420044826,eval,1
fold9_room3_mix0177,fold9,walk,0,,L,,,safe,L,probe_car_drive,12420044827,eval,1
fold9_room3_mix0178,fold9,walk,0,,R,,,safe,R,probe_car_drive,12420044828,eval,1
fold9_room3_mix0179,fold9,walk,0,,L,,,safe,L,probe_car_drive,12420044829,eval,1
fold9_room3_mix0180,fold9,walk,0,,R,,,safe,R,probe_car_drive,12420044830,eval,1
fold9_room3_mix0181,fold9,walk,0,,L,,,safe,L,probe_car_drive,12420044831,eval,1
fold9_room3_mix0182,fold9,walk,0,,R,,,safe,R,probe_car_drive,12420044832,eval,1
fold9_room3_mix0183,fold9,walk,0,,L,,,safe,L,probe_car_drive,12420044833,eval,1
fold9_room3_mix0184,fold9,walk,0,,R,,,safe,R,probe_car_drive,12420044834,eval,1
fold9_room3_mix0185,fold9,walk,0,,L,,,safe,L,probe_car_drive,12420044835,eval,1
fold9_room3_mix0186,fold9,walk,0,,R,,,safe,R,probe_car_drive,12420044836,eval,1
fold9_room3_mix0187,fold9,walk,0,,L,,,safe,L,probe_car_drive,12420044837,eval,1
fold9_room3_mix0188,fold9,walk,0,,R,,,safe,R,probe_car_drive,12420044838,eval,1
fold9_room3_mix0189,fold9,walk,0,,L,,,safe,L,probe_car_drive,12420044839,eval,1
fold9_room3_mix0190,fold9,walk,0,,R,,,safe,R,probe_car_drive,12420044840,eval,1
fold9_room3_mix0191,fold9,walk,0,,L,,,safe,L,probe_car_drive,12420044841,eval,1
fold9_room3_mix0192,fold9,walk,0,,R,,,safe,R,probe_car_drive,12420044842,eval,1
