name,split,side,offset_m,speed_mps,t_cpa_s,siren_type,gain_db,peak,rms_W,az_med_err,az_max_err,el_med_err,n_frames,result
fold1_room1_mix001,train,L,12.87,13.44,3.36,peepo,-0.31,0.0669,0.01981,0.249,0.68,0.273,99,PASS
fold1_room1_mix002,train,R,-6.56,11.39,4.49,peepo,-2.53,0.1018,0.02424,0.262,0.87,0.345,98,PASS
fold1_room1_mix003,train,L,3.4,11.16,6.27,wail,-1.21,0.2259,0.04,0.239,1.38,0.262,98,PASS
fold1_room1_mix004,train,R,-9.95,5.84,5.28,wail,-1.24,0.0776,0.02931,0.25,0.59,0.275,99,PASS
fold1_room1_mix005,train,L,10.32,7.81,4.2,peepo,-0.81,0.0789,0.02694,0.276,0.69,0.324,99,PASS
fold1_room1_mix006,train,R,-3.04,5.86,6.06,peepo,-3.39,0.1973,0.04496,0.274,1.0,0.235,99,PASS
fold1_room1_mix007,train,L,8.96,7.56,5.06,wail,-5.72,0.0515,0.01683,0.266,0.72,0.211,99,PASS
fold1_room1_mix008,train,R,-6.17,9.91,6.94,wail,-5.84,0.0735,0.01801,0.247,0.63,0.291,98,PASS
fold1_room1_mix009,train,L,10.22,6.95,5.95,peepo,-5.92,0.0441,0.01571,0.268,0.63,0.255,99,PASS
fold1_room1_mix010,train,R,-14.0,14.36,3.39,peepo,-4.73,0.0369,0.01102,0.281,0.7,0.303,99,PASS
fold1_room1_mix011,train,L,10.46,5.23,6.5,wail,-1.83,0.0685,0.02727,0.252,0.64,0.228,99,PASS
fold1_room1_mix012,train,R,-11.87,9.33,5.61,wail,-2.27,0.0579,0.01937,0.282,0.69,0.318,98,PASS
fold1_room1_mix013,train,L,5.55,13.25,5.19,peepo,-4.39,0.0972,0.01996,0.277,1.3,0.327,98,PASS
fold1_room1_mix014,train,R,-9.31,14.84,6.15,peepo,-4.05,0.06,0.01482,0.265,0.65,0.293,97,PASS
fold1_room1_mix015,train,L,14.65,14.54,4.43,wail,-3.02,0.0429,0.01302,0.227,0.75,0.355,98,PASS
fold1_room1_mix016,train,R,-13.93,6.08,5.5,wail,-2.55,0.0475,0.01991,0.282,0.61,0.257,99,PASS
fold1_room1_mix017,train,L,7.83,6.26,3.67,peepo,-3.68,0.0748,0.02488,0.251,0.7,0.353,99,PASS
fold1_room1_mix018,train,R,-8.33,6.19,4.41,peepo,-4.89,0.0611,0.02107,0.213,0.6,0.276,99,PASS
fold1_room1_mix019,train,L,12.37,11.56,4.85,wail,-3.73,0.047,0.01462,0.246,0.75,0.271,98,PASS
fold1_room1_mix020,train,R,-8.19,11.81,3.1,wail,-5.07,0.0605,0.01559,0.249,0.68,0.32,99,PASS
fold1_room1_mix021,train,L,5.23,10.18,6.91,peepo,-5.67,0.0888,0.01998,0.245,0.72,0.29,98,PASS
fold1_room1_mix022,train,R,-11.31,13.99,3.01,peepo,-3.93,0.0501,0.01378,0.251,0.78,0.304,99,PASS
fold1_room1_mix023,train,L,7.82,12.1,4.85,wail,-3.92,0.0729,0.01823,0.284,0.81,0.311,98,PASS
fold1_room1_mix024,train,R,-8.89,5.53,4.71,wail,-2.44,0.076,0.02802,0.228,0.61,0.195,99,PASS
fold1_room1_mix025,train,L,4.67,11.96,6.55,peepo,-1.35,0.1639,0.03247,0.249,1.13,0.319,98,PASS
fold1_room1_mix026,train,R,-13.16,14.3,4.24,peepo,-3.22,0.0467,0.0137,0.24,0.79,0.254,98,PASS
fold1_room1_mix027,train,L,7.18,14.19,5.96,wail,-4.01,0.0784,0.01749,0.26,0.83,0.298,98,PASS
fold1_room1_mix028,train,R,-7.22,10.85,3.99,wail,-1.14,0.1085,0.02751,0.299,0.88,0.247,99,PASS
fold1_room1_mix029,train,L,10.12,6.92,4.22,peepo,-2.67,0.0647,0.02308,0.233,0.64,0.19,99,PASS
fold1_room1_mix030,train,R,-12.98,9.7,3.67,peepo,-1.88,0.0553,0.01887,0.245,0.59,0.261,99,PASS
fold2_room1_mix001,val,L,9.84,8.54,5.43,wail,-4.64,0.053,0.01712,0.237,0.72,0.205,99,PASS
fold2_room1_mix002,val,R,-10.05,5.11,4.38,wail,-3.41,0.0599,0.02379,0.233,0.62,0.261,99,PASS
fold2_room1_mix003,val,L,9.07,7.27,3.25,peepo,-5.92,0.0496,0.01647,0.216,0.68,0.192,99,PASS
fold2_room1_mix004,val,R,-10.55,8.28,5.05,peepo,-2.89,0.0606,0.02044,0.272,0.73,0.236,99,PASS
fold2_room1_mix005,val,L,9.21,9.87,5.3,wail,-1.4,0.0825,0.0243,0.237,0.78,0.278,98,PASS
fold2_room1_mix006,val,R,-11.27,12.3,4.64,wail,-0.11,0.0781,0.0228,0.237,0.82,0.321,98,PASS
fold2_room1_mix007,val,L,10.3,7.47,3.95,peepo,-0.01,0.0865,0.03,0.274,0.62,0.217,99,PASS
fold2_room1_mix008,val,R,-11.39,13.11,6.64,peepo,-5.65,0.0409,0.01159,0.259,0.75,0.305,97,PASS
fold2_room1_mix009,val,L,3.75,9.54,3.22,wail,-5.79,0.1223,0.02428,0.276,1.18,0.318,99,PASS
fold2_room1_mix010,val,R,-6.91,6.01,4.76,wail,-5.72,0.0671,0.02164,0.23,0.7,0.195,99,PASS
