clip_id,split,motion,n_warnings,w1_class,w1_side,w2_class,w2_side,danger_tier,car_side,scenario,seed
fold2_room8_mix001,fold2,walk,1,crossing,L,,,caution,L,crossing_wait,12419849521
fold2_room8_mix002,fold2,walk,1,crossing,R,,,caution,L,crossing_wait,12419849522
fold2_room8_mix003,fold2,walk,1,crossing,L,,,caution,R,crossing_wait,12419849523
fold2_room8_mix004,fold2,walk,1,crossing,R,,,caution,R,crossing_wait,12419849524
fold2_room8_mix005,fold2,walk,1,crossing,L,,,caution,L,crossing_wait,12419849525
fold2_room8_mix006,fold2,walk,1,crossing,R,,,caution,L,crossing_wait,12419849526
fold2_room8_mix007,fold2,walk,1,crossing,L,,,caution,R,crossing_wait,12419849527
fold2_room8_mix008,fold2,walk,1,crossing,R,,,caution,R,crossing_wait,12419849528
fold2_room8_mix009,fold2,walk,1,crossing,L,,,caution,L,crossing_wait,12419849529
fold2_room8_mix010,fold2,walk,1,crossing,R,,,caution,L,crossing_wait,12419849530
fold2_room8_mix011,fold2,walk,1,crossing,L,,,caution,R,crossing_wait,12419849531
fold2_room8_mix012,fold2,walk,1,crossing,R,,,caution,R,crossing_wait,12419849532
fold2_room8_mix013,fold2,walk,1,crossing,L,,,caution,L,crossing_wait,12419849533
fold2_room8_mix014,fold2,walk,1,crossing,R,,,caution,L,crossing_wait,12419849534
fold2_room8_mix015,fold2,walk,1,crossing,L,,,caution,R,crossing_wait,12419849535
fold2_room8_mix016,fold2,walk,1,crossing,R,,,caution,R,crossing_wait,12419849536
fold2_room8_mix017,fold2,walk,1,crossing,L,,,caution,L,crossing_wait,12419849537
fold2_room8_mix018,fold2,walk,1,crossing,R,,,caution,L,crossing_wait,12419849538
fold2_room8_mix019,fold2,walk,1,crossing,L,,,caution,R,crossing_wait,12419849539
fold2_room8_mix020,fold2,walk,1,crossing,R,,,caution,R,crossing_wait,12419849540
fold2_room7_mix001,fold2,walk,1,bike_bell,L,,,na,,bell_overtake,12419849541
fold2_room7_mix002,fold2,walk,1,bike_bell,R,,,na,,bell_overtake,12419849542
fold2_room7_mix003,fold2,walk,1,bike_bell,L,,,na,,bell_overtake,12419849543
fold2_room7_mix004,fold2,walk,1,bike_bell,R,,,na,,bell_overtake,12419849544
fold2_room7_mix005,fold2,walk,1,bike_bell,L,,,na,,bell_overtake,12419849545
fold2_room7_mix006,fold2,walk,1,bike_bell,R,,,na,,bell_overtake,12419849546
fold2_room7_mix007,fold2,walk,1,bike_bell,L,,,na,,bell_overtake,12419849547
fold2_room7_mix008,fold2,walk,1,bike_bell,R,,,na,,bell_overtake,12419849548
fold2_room7_mix009,fold2,walk,1,bike_bell,L,,,na,,bell_overtake,12419849549
fold2_room7_mix010,fold2,walk,1,bike_bell,R,,,na,,bell_overtake,12419849550
fold2_room7_mix011,fold2,walk,1,bike_bell,L,,,na,,bell_overtake,12419849551
fold2_room7_mix012,fold2,walk,1,bike_bell,R,,,na,,bell_overtake,12419849552
fold2_room7_mix013,fold2,walk,1,bike_bell,L,,,na,,bell_overtake,12419849553
fold2_room7_mix014,fold2,walk,1,bike_bell,R,,,na,,bell_overtake,12419849554
fold2_room7_mix015,fold2,walk,1,bike_bell,L,,,na,,bell_overtake,12419849555
fold2_room7_mix016,fold2,walk,1,bike_bell,R,,,na,,bell_overtake,12419849556
fold2_room7_mix017,fold2,walk,1,bike_bell,L,,,na,,bell_overtake,12419849557
fold2_room7_mix018,fold2,walk,1,bike_bell,R,,,na,,bell_overtake,12419849558
fold2_room7_mix019,fold2,walk,1,bike_bell,L,,,na,,bell_overtake,12419849559
fold2_room7_mix020,fold2,walk,1,bike_bell,R,,,na,,bell_overtake,12419849560
fold2_room6_mix001,fold2,static,1,backup_beep,L,,,critical,L,backup_reverse,12419849561
fold2_room6_mix002,fold2,static,1,backup_beep,R,,,caution,L,backup_reverse,12419849562
fold2_room6_mix003,fold2,static,1,backup_beep,L,,,critical,R,backup_reverse,12419849563
fold2_room6_mix004,fold2,static,1,backup_beep,R,,,caution,R,backup_reverse,12419849564
fold2_room6_mix005,fold2,static,1,backup_beep,L,,,critical,L,backup_reverse,12419849565
fold2_room6_mix006,fold2,static,1,backup_beep,R,,,caution,L,backup_reverse,12419849566
fold2_room6_mix007,fold2,static,1,backup_beep,L,,,critical,R,backup_reverse,12419849567
fold2_room6_mix008,fold2,static,1,backup_beep,R,,,caution,R,backup_reverse,12419849568
fold2_room6_mix009,fold2,static,1,backup_beep,L,,,critical,L,backup_reverse,12419849569
fold2_room6_mix010,fold2,static,1,backup_beep,R,,,caution,L,backup_reverse,12419849570
fold2_room6_mix011,fold2,walk,1,backup_beep,L,,,critical,R,backup_reverse,12419849571
fold2_room6_mix012,fold2,walk,1,backup_beep,R,,,caution,R,backup_reverse,12419849572
fold2_room6_mix013,fold2,walk,1,backup_beep,L,,,critical,L,backup_reverse,12419849573
fold2_room6_mix014,fold2,walk,1,backup_beep,R,,,caution,L,backup_reverse,12419849574
fold2_room6_mix015,fold2,walk,1,backup_beep,L,,,critical,R,backup_reverse,12419849575
fold2_room6_mix016,fold2,walk,1,backup_beep,R,,,caution,R,backup_reverse,12419849576
fold2_room6_mix017,fold2,walk,1,backup_beep,L,,,critical,L,backup_reverse,12419849577
fold2_room6_mix018,fold2,walk,1,backup_beep,R,,,caution,L,backup_reverse,12419849578
fold2_room6_mix019,fold2,walk,1,backup_beep,L,,,critical,R,backup_reverse,12419849579
fold2_room6_mix020,fold2,walk,1,backup_beep,R,,,caution,R,backup_reverse,12419849580
fold2_room5_mix001,fold2,static,0,,,,,na,,silent_negative,12419849581
fold2_room5_mix002,fold2,static,0,,,,,na,,silent_negative,12419849582
fold2_room5_mix003,fold2,static,0,,,,,na,,silent_negative,12419849583
fold2_room5_mix004,fold2,static,0,,,,,na,,silent_negative,12419849584
fold2_room5_mix005,fold2,static,0,,,,,na,,silent_negative,12419849585
fold2_room5_mix006,fold2,static,0,,,,,na,,silent_negative,12419849586
fold2_room5_mix007,fold2,static,0,,,,,na,,silent_negative,12419849587
fold2_room5_mix008,fold2,static,0,,,,,na,,silent_negative,12419849588
fold2_room5_mix009,fold2,static,0,,,,,na,,silent_negative,12419849589
fold2_room5_mix010,fold2,static,0,,,,,na,,silent_negative,12419849590
fold2_room5_mix011,fold2,walk,0,,,,,na,,silent_negative,12419849591
fold2_room5_mix012,fold2,walk,0,,,,,na,,silent_negative,12419849592
fold2_room5_mix013,fold2,walk,0,,,,,na,,silent_negative,12419849593
fold2_room5_mix014,fold2,walk,0,,,,,na,,silent_negative,12419849594
fold2_room5_mix015,fold2,walk,0,,,,,na,,silent_negative,12419849595
fold2_room5_mix016,fold2,walk,0,,,,,na,,silent_negative,12419849596
fold2_room5_mix017,fold2,walk,0,,,,,na,,silent_negative,12419849597
fold2_room5_mix018,fold2,walk,0,,,,,na,,silent_negative,12419849598
fold2_room5_mix019,fold2,walk,0,,,,,na,,silent_negative,12419849599
fold2_room5_mix020,fold2,walk,0,,,,,na,,silent_negative,12419849600
fold2_room4_mix001,fold2,static,1,siren,L,,,na,,siren_worstnoise,12419849601
fold2_room4_mix002,fold2,static,1,siren,R,,,na,,siren_worstnoise,12419849602
fold2_room4_mix003,fold2,static,1,siren,L,,,na,,siren_worstnoise,12419849603
fold2_room4_mix004,fold2,static,1,siren,R,,,na,,siren_worstnoise,12419849604
fold2_room4_mix005,fold2,static,1,siren,L,,,na,,siren_worstnoise,12419849605
fold2_room4_mix006,fold2,static,1,siren,R,,,na,,siren_worstnoise,12419849606
fold2_room4_mix007,fold2,static,1,siren,L,,,na,,siren_worstnoise,12419849607
fold2_room4_mix008,fold2,static,1,siren,R,,,na,,siren_worstnoise,12419849608
fold2_room4_mix009,fold2,static,1,siren,L,,,na,,siren_worstnoise,12419849609
fold2_room4_mix010,fold2,static,1,siren,R,,,na,,siren_worstnoise,12419849610
fold2_room4_mix011,fold2,walk,1,siren,L,,,na,,siren_worstnoise,12419849611
fold2_room4_mix012,fold2,walk,1,siren,R,,,na,,siren_worstnoise,12419849612
fold2_room4_mix013,fold2,walk,1,siren,L,,,na,,siren_worstnoise,12419849613
fold2_room4_mix014,fold2,walk,1,siren,R,,,na,,siren_worstnoise,12419849614
fold2_room4_mix015,fold2,walk,1,siren,L,,,na,,siren_worstnoise,12419849615
fold2_room4_mix016,fold2,walk,1,siren,R,,,na,,siren_worstnoise,12419849616
fold2_room4_mix017,fold2,walk,1,siren,L,,,na,,siren_worstnoise,12419849617
fold2_room4_mix018,fold2,walk,1,siren,R,,,na,,siren_worstnoise,12419849618
fold2_room4_mix019,fold2,walk,1,siren,L,,,na,,siren_worstnoise,12419849619
fold2_room4_mix020,fold2,walk,1,siren,R,,,na,,siren_worstnoise,12419849620
