clip_id,split,motion,n_warnings,w1_class,w1_side,w2_class,w2_side,danger_tier,car_side,scenario,seed
fold2_room3_mix001,fold2,static,1,siren,L,,,na,,carfree_siren,12419869881
fold2_room3_mix002,fold2,walk,1,siren,R,,,na,,carfree_siren,12419869882
fold2_room3_mix003,fold2,static,1,siren,L,,,na,,carfree_siren,12419869883
fold2_room3_mix004,fold2,walk,1,siren,R,,,na,,carfree_siren,12419869884
fold2_room3_mix005,fold2,static,1,siren,L,,,na,,carfree_siren,12419869885
fold2_room3_mix006,fold2,walk,1,siren,R,,,na,,carfree_siren,12419869886
fold2_room3_mix007,fold2,static,1,siren,L,,,na,,carfree_siren,12419869887
fold2_room3_mix008,fold2,walk,1,siren,R,,,na,,carfree_siren,12419869888
fold2_room3_mix009,fold2,static,1,siren,L,,,na,,carfree_siren,12419869889
fold2_room3_mix010,fold2,walk,1,siren,R,,,na,,carfree_siren,12419869890
fold2_room3_mix011,fold2,static,1,siren,L,,,na,,carfree_siren,12419869891
fold2_room3_mix012,fold2,walk,1,siren,R,,,na,,carfree_siren,12419869892
fold2_room3_mix013,fold2,static,1,siren,L,,,na,,carfree_siren,12419869893
fold2_room3_mix014,fold2,walk,1,siren,R,,,na,,carfree_siren,12419869894
fold2_room3_mix015,fold2,static,1,siren,L,,,na,,carfree_siren,12419869895
fold2_room3_mix016,fold2,walk,1,siren,R,,,na,,carfree_siren,12419869896
fold2_room3_mix017,fold2,static,1,siren,L,,,na,,carfree_siren,12419869897
fold2_room3_mix018,fold2,walk,1,siren,R,,,na,,carfree_siren,12419869898
fold2_room3_mix019,fold2,static,1,siren,L,,,na,,carfree_siren,12419869899
fold2_room3_mix020,fold2,walk,1,siren,R,,,na,,carfree_siren,12419869900
fold2_room3_mix021,fold2,static,1,siren,L,,,na,,carfree_siren,12419869901
fold2_room3_mix022,fold2,walk,1,siren,R,,,na,,carfree_siren,12419869902
fold2_room3_mix023,fold2,static,1,siren,L,,,na,,carfree_siren,12419869903
fold2_room3_mix024,fold2,walk,1,siren,R,,,na,,carfree_siren,12419869904
fold2_room3_mix025,fold2,static,1,siren,L,,,na,,carfree_siren,12419869905
fold2_room3_mix026,fold2,walk,1,siren,R,,,na,,carfree_siren,12419869906
fold2_room3_mix027,fold2,static,1,siren,L,,,na,,carfree_siren,12419869907
fold2_room3_mix028,fold2,walk,1,siren,R,,,na,,carfree_siren,12419869908
fold2_room3_mix029,fold2,static,1,siren,L,,,na,,carfree_siren,12419869909
fold2_room3_mix030,fold2,walk,1,siren,R,,,na,,carfree_siren,12419869910
