clip_id,split,motion,n_warnings,w1_class,w1_side,w2_class,w2_side,danger_tier,car_side,scenario,seed
fold1_room2_mix001,fold1,static,1,siren,L,,,critical,L,traffic2,12419872586
fold1_room2_mix002,fold1,static,0,,,,,caution,L,traffic2,12419872587
fold1_room2_mix003,fold1,walk,1,horn,L,,,safe,L,traffic2,12419872588
fold1_room2_mix004,fold1,walk,0,,,,,critical,R,traffic2,12419872589
fold1_room2_mix005,fold1,static,1,backup_beep,L,,,caution,R,traffic2,12419872590
fold1_room2_mix006,fold1,static,0,,,,,safe,R,traffic2,12419872591
fold1_room2_mix007,fold1,walk,1,bike_bell,L,,,critical,L,traffic2,12419872592
fold1_room2_mix008,fold1,walk,0,,,,,caution,L,traffic2,12419872593
fold1_room2_mix009,fold1,static,1,crossing,L,,,safe,L,traffic2,12419872594
fold1_room2_mix010,fold1,static,0,,,,,critical,R,traffic2,12419872595
fold1_room2_mix011,fold1,walk,1,siren,L,,,caution,R,traffic2,12419872596
fold1_room2_mix012,fold1,walk,0,,,,,safe,R,traffic2,12419872597
fold1_room2_mix013,fold1,static,1,horn,L,,,critical,L,traffic2,12419872598
fold1_room2_mix014,fold1,static,0,,,,,caution,L,traffic2,12419872599
fold1_room2_mix015,fold1,walk,1,backup_beep,L,,,safe,L,traffic2,12419872600
fold1_room2_mix016,fold1,walk,0,,,,,critical,R,traffic2,12419872601
fold1_room2_mix017,fold1,static,1,bike_bell,L,,,caution,R,traffic2,12419872602
fold1_room2_mix018,fold1,static,0,,,,,safe,R,traffic2,12419872603
fold1_room2_mix019,fold1,walk,1,crossing,L,,,critical,L,traffic2,12419872604
fold1_room2_mix020,fold1,walk,0,,,,,caution,L,traffic2,12419872605
fold1_room2_mix021,fold1,static,1,siren,L,,,safe,L,traffic2,12419872606
fold1_room2_mix022,fold1,static,0,,,,,critical,R,traffic2,12419872607
fold1_room2_mix023,fold1,walk,1,horn,L,,,caution,R,traffic2,12419872608
fold1_room2_mix024,fold1,walk,0,,,,,safe,R,traffic2,12419872609
fold1_room2_mix025,fold1,static,1,backup_beep,L,,,critical,L,traffic2,12419872610
fold1_room2_mix026,fold1,static,0,,,,,caution,L,traffic2,12419872611
fold1_room2_mix027,fold1,walk,1,bike_bell,L,,,safe,L,traffic2,12419872612
fold1_room2_mix028,fold1,walk,0,,,,,critical,R,traffic2,12419872613
fold1_room2_mix029,fold1,static,1,crossing,L,,,caution,R,traffic2,12419872614
fold1_room2_mix030,fold1,static,0,,,,,safe,R,traffic2,12419872615
fold1_room2_mix031,fold1,walk,1,siren,L,,,critical,L,traffic2,12419872616
fold1_room2_mix032,fold1,walk,0,,,,,caution,L,traffic2,12419872617
fold1_room2_mix033,fold1,static,1,horn,L,,,safe,L,traffic2,12419872618
fold1_room2_mix034,fold1,static,0,,,,,critical,R,traffic2,12419872619
fold1_room2_mix035,fold1,walk,1,backup_beep,L,,,caution,R,traffic2,12419872620
fold1_room2_mix036,fold1,walk,0,,,,,safe,R,traffic2,12419872621
fold1_room2_mix037,fold1,static,1,bike_bell,L,,,critical,L,traffic2,12419872622
fold1_room2_mix038,fold1,static,0,,,,,caution,L,traffic2,12419872623
fold1_room2_mix039,fold1,walk,1,crossing,L,,,safe,L,traffic2,12419872624
fold1_room2_mix040,fold1,walk,0,,,,,critical,R,traffic2,12419872625
fold1_room2_mix041,fold1,static,1,siren,L,,,caution,R,traffic2,12419872626
fold1_room2_mix042,fold1,static,0,,,,,safe,R,traffic2,12419872627
fold1_room2_mix043,fold1,walk,1,horn,L,,,critical,L,traffic2,12419872628
fold1_room2_mix044,fold1,walk,0,,,,,caution,L,traffic2,12419872629
fold1_room2_mix045,fold1,static,1,backup_beep,L,,,safe,L,traffic2,12419872630
fold1_room2_mix046,fold1,static,0,,,,,critical,R,traffic2,12419872631
fold1_room2_mix047,fold1,walk,1,bike_bell,L,,,caution,R,traffic2,12419872632
fold1_room2_mix048,fold1,walk,0,,,,,safe,R,traffic2,12419872633
fold1_room2_mix049,fold1,static,1,crossing,L,,,critical,L,traffic2,12419872634
fold1_room2_mix050,fold1,static,0,,,,,caution,L,traffic2,12419872635
fold1_room2_mix051,fold1,walk,1,siren,L,,,safe,L,traffic2,12419872636
fold1_room2_mix052,fold1,walk,0,,,,,critical,R,traffic2,12419872637
fold1_room2_mix053,fold1,static,1,horn,L,,,caution,R,traffic2,12419872638
fold1_room2_mix054,fold1,static,0,,,,,safe,R,traffic2,12419872639
