name,motion,tier,scenario,n_src,peak,recon_err,noise_dba_target,noise_dba_meas,az_med_max,el_med_max,cpa_rel_dist_m,cpa_rel_time_s,car_audible_frac,recv_ok,mask_ok,result
fold1_room3_mix001,static,critical,normal,1,0.003,1.19e-07,45.95208596087389,45.95,0.249,0.182,1.424,6.65,1.0,True,True,PASS
fold1_room3_mix002,walk,caution,normal,1,0.0013,1.19e-07,45.71305288467532,45.71,0.249,0.225,2.714,7.27,0.98,True,True,PASS
fold1_room3_mix003,static,safe,normal,1,0.0009,1.19e-07,46.59792854959109,46.6,0.253,0.285,5.101,8.79,0.95,True,True,PASS
fold1_room3_mix004,walk,critical,normal,1,0.0038,1.19e-07,52.322695583691385,52.32,0.279,0.263,1.33,7.71,0.98,True,True,PASS
fold1_room3_mix005,static,caution,normal,1,0.0024,1.19e-07,55.80612993073071,55.81,0.331,0.179,1.761,6.83,0.61,True,True,PASS
fold1_room3_mix006,walk,safe,normal,1,0.0008,1.19e-07,64.44477800326752,64.44,0.209,0.329,8.033,6.13,0.21,True,True,PASS
fold1_room3_mix007,static,critical,normal,1,0.0034,1.19e-07,57.20062342704232,57.2,0.246,0.28,1.314,7.65,0.89,True,True,PASS
fold1_room3_mix008,walk,caution,normal,1,0.0029,1.19e-07,40.30732879178203,40.31,0.259,0.287,2.583,8.53,0.98,True,True,PASS
fold1_room3_mix009,static,safe,normal,1,0.0008,1.19e-07,47.429252390518684,47.43,0.273,0.374,8.313,7.93,0.98,True,True,PASS
fold1_room3_mix010,walk,critical,normal,1,0.004,1.19e-07,46.47085262085822,46.47,0.267,0.248,1.419,6.8,0.99,True,True,PASS
fold1_room3_mix011,static,caution,normal,1,0.0025,1.19e-07,40.98900515634267,40.99,0.238,0.304,2.956,7.12,0.98,True,True,PASS
fold1_room3_mix012,walk,safe,normal,1,0.0011,1.19e-07,50.6093774062769,50.61,0.282,0.306,7.669,7.62,0.98,True,True,PASS
fold1_room3_mix013,static,critical,normal,1,0.0047,1.19e-07,48.80619883136726,48.81,0.308,0.3,0.727,8.73,0.98,True,True,PASS
fold1_room3_mix014,walk,caution,normal,1,0.003,1.19e-07,46.41072639528635,46.41,0.259,0.362,1.731,8.59,0.99,True,True,PASS
