frame,class,snr_a_db
0,4,-495.19
1,4,-495.01
2,4,10.02
3,4,11.17
4,4,11.42
5,4,11.65
6,4,11.93
7,4,11.56
8,4,11.5
9,4,12.49
10,4,12.02
11,4,12.01
12,4,11.55
13,4,12.57
14,4,12.13
15,4,12.63
16,4,12.89
17,4,13.13
18,4,12.94
19,4,13.5
20,4,13.2
21,4,13.85
22,4,13.96
23,4,13.52
24,4,13.52
25,4,13.67
26,4,12.94
27,4,12.84
28,4,13.97
29,4,14.05
30,4,13.51
31,4,14.31
32,4,13.88
33,4,14.7
34,4,14.25
35,4,14.64
36,4,14.36
37,4,14.91
38,4,14.22
39,4,15.62
40,4,15.72
41,4,15.75
42,4,16.33
43,4,16.78
44,4,17.78
45,4,17.59
46,4,19.16
47,4,19.48
48,4,20.19
49,4,20.88
50,4,20.78
51,4,22.66
52,4,22.53
53,4,22.73
54,4,24.0
55,4,23.47
56,4,23.83
57,4,24.11
58,4,24.92
59,4,25.2
60,4,24.89
61,4,26.06
62,4,25.21
63,4,24.84
64,4,25.14
65,4,25.74
66,4,25.76
67,4,25.61
68,4,26.3
69,4,24.92
70,4,25.45
71,4,25.16
72,4,25.18
73,4,24.37
74,4,23.87
75,4,23.19
76,4,23.14
77,4,22.37
78,4,21.19
79,4,21.13
80,4,19.88
81,4,19.63
82,4,19.0
83,4,17.84
84,4,17.82
85,4,17.23
86,4,16.93
87,4,16.48
88,4,16.09
89,4,15.71
90,4,15.7
91,4,15.45
92,4,14.18
93,4,14.89
94,4,14.48
95,4,13.92
96,4,14.64
97,4,14.62
98,4,14.31
99,4,13.59
0,5,15.08
1,5,16.25
2,5,8.24
3,5,11.59
4,5,8.97
5,5,18.02
6,5,12.64
7,5,10.91
8,5,10.95
9,5,15.08
10,5,16.34
11,5,9.31
12,5,11.56
13,5,9.06
14,5,17.32
15,5,12.27
16,5,10.56
17,5,11.43
18,5,11.55
19,5,17.47
20,5,9.53
21,5,11.57
22,5,9.99
23,5,16.57
24,5,13.8
25,5,10.23
26,5,10.89
27,5,8.47
28,5,17.68
29,5,10.27
30,5,11.09
31,5,9.41
32,5,16.14
33,5,13.97
34,5,9.35
35,5,11.25
36,5,7.38
37,5,17.71
38,5,9.82
39,5,10.55
40,5,10.28
41,5,14.31
42,5,15.15
43,5,8.52
44,5,10.86
45,5,7.81
46,5,16.74
47,5,11.25
48,5,10.19
49,5,9.47
50,5,12.68
51,5,15.41
52,5,8.42
53,5,10.39
54,5,7.82
55,5,15.94
56,5,11.45
57,5,9.29
58,5,9.89
59,5,9.52
60,5,16.14
61,5,8.12
62,5,9.93
63,5,8.02
64,5,14.65
65,5,12.34
66,5,8.15
67,5,9.73
68,5,5.71
69,5,15.8
70,5,8.15
71,5,8.76
72,5,8.11
73,5,13.14
74,5,12.93
75,5,7.24
76,5,8.87
77,5,5.39
78,5,14.72
79,5,9.13
80,5,8.32
81,5,7.8
82,5,11.97
83,5,12.71
84,5,6.18
85,5,8.26
86,5,5.38
87,5,13.81
88,5,8.71
89,5,6.85
90,5,7.68
91,5,7.37
92,5,13.39
93,5,5.61
94,5,7.1
95,5,5.44
96,5,12.28
97,5,9.69
98,5,5.88
99,5,6.56
