clip_id,split,motion,n_warnings,w1_class,w1_side,w2_class,w2_side,danger_tier,car_side,scenario,seed
fold1_room5_mix001,fold1,static,0,,,,,critical,L,normal,12419913199
fold1_room5_mix002,fold1,walk,0,,,,,caution,L,normal,12419913200
fold1_room5_mix003,fold1,static,0,,,,,safe,L,normal,12419913201
fold1_room5_mix004,fold1,walk,0,,,,,critical,R,normal,12419913202
fold1_room5_mix005,fold1,static,0,,,,,caution,R,normal,12419913203
fold1_room5_mix006,fold1,walk,0,,,,,safe,R,normal,12419913204
fold1_room5_mix007,fold1,static,0,,,,,critical,L,normal,12419913205
fold1_room5_mix008,fold1,walk,0,,,,,caution,L,normal,12419913206
fold1_room5_mix009,fold1,static,0,,,,,safe,L,normal,12419913207
fold1_room5_mix010,fold1,walk,0,,,,,critical,R,normal,12419913208
fold1_room5_mix011,fold1,static,0,,,,,caution,R,normal,12419913209
fold1_room5_mix012,fold1,walk,0,,,,,safe,R,normal,12419913210
fold1_room5_mix013,fold1,static,0,,,,,critical,L,normal,12419913211
fold1_room5_mix014,fold1,walk,0,,,,,caution,L,normal,12419913212
fold1_room5_mix015,fold1,static,0,,,,,safe,L,normal,12419913213
fold1_room5_mix016,fold1,walk,0,,,,,critical,R,normal,12419913214
fold1_room5_mix017,fold1,static,0,,,,,caution,R,normal,12419913215
fold1_room5_mix018,fold1,walk,0,,,,,safe,R,normal,12419913216
fold1_room5_mix019,fold1,static,0,,,,,critical,L,normal,12419913217
fold1_room5_mix020,fold1,walk,0,,,,,caution,L,normal,12419913218
fold1_room5_mix021,fold1,static,0,,,,,safe,L,normal,12419913219
fold1_room5_mix022,fold1,walk,0,,,,,critical,R,normal,12419913220
fold1_room5_mix023,fold1,static,0,,,,,caution,R,normal,12419913221
fold1_room5_mix024,fold1,walk,0,,,,,safe,R,normal,12419913222
fold1_room5_mix025,fold1,static,0,,,,,critical,L,normal,12419913223
fold1_room5_mix026,fold1,walk,0,,,,,caution,L,normal,12419913224
fold1_room5_mix027,fold1,static,0,,,,,safe,L,normal,12419913225
fold1_room5_mix028,fold1,walk,0,,,,,critical,R,normal,12419913226
fold1_room5_mix029,fold1,static,0,,,,,caution,R,normal,12419913227
fold1_room5_mix030,fold1,walk,0,,,,,safe,R,normal,12419913228
