clip_id,split,motion,n_warnings,w1_class,w1_side,w2_class,w2_side,danger_tier,car_side,scenario,seed
fold1_room3_mix001,fold1,static,0,,,,,critical,L,normal,12419903199
fold1_room3_mix002,fold1,walk,0,,,,,caution,L,normal,12419903200
fold1_room3_mix003,fold1,static,0,,,,,safe,L,normal,12419903201
fold1_room3_mix004,fold1,walk,0,,,,,critical,R,normal,12419903202
fold1_room3_mix005,fold1,static,0,,,,,caution,R,normal,12419903203
fold1_room3_mix006,fold1,walk,0,,,,,safe,R,normal,12419903204
fold1_room3_mix007,fold1,static,0,,,,,critical,L,normal,12419903205
fold1_room3_mix008,fold1,walk,0,,,,,caution,L,normal,12419903206
fold1_room3_mix009,fold1,static,0,,,,,safe,L,normal,12419903207
fold1_room3_mix010,fold1,walk,0,,,,,critical,R,normal,12419903208
fold1_room3_mix011,fold1,static,0,,,,,caution,R,normal,12419903209
fold1_room3_mix012,fold1,walk,0,,,,,safe,R,normal,12419903210
fold1_room3_mix013,fold1,static,0,,,,,critical,L,normal,12419903211
fold1_room3_mix014,fold1,walk,0,,,,,caution,L,normal,12419903212
fold1_room3_mix015,fold1,static,0,,,,,safe,L,normal,12419903213
fold1_room3_mix016,fold1,walk,0,,,,,critical,R,normal,12419903214
fold1_room3_mix017,fold1,static,0,,,,,caution,R,normal,12419903215
fold1_room3_mix018,fold1,walk,0,,,,,safe,R,normal,12419903216
fold1_room3_mix019,fold1,static,0,,,,,critical,L,normal,12419903217
fold1_room3_mix020,fold1,walk,0,,,,,caution,L,normal,12419903218
fold1_room3_mix021,fold1,static,0,,,,,safe,L,normal,12419903219
fold1_room3_mix022,fold1,walk,0,,,,,critical,R,normal,12419903220
fold1_room3_mix023,fold1,static,0,,,,,caution,R,normal,12419903221
fold1_room3_mix024,fold1,walk,0,,,,,safe,R,normal,12419903222
fold1_room3_mix025,fold1,static,0,,,,,critical,L,normal,12419903223
fold1_room3_mix026,fold1,walk,0,,,,,caution,L,normal,12419903224
fold1_room3_mix027,fold1,static,0,,,,,safe,L,normal,12419903225
fold1_room3_mix028,fold1,walk,0,,,,,critical,R,normal,12419903226
fold1_room3_mix029,fold1,static,0,,,,,caution,R,normal,12419903227
fold1_room3_mix030,fold1,walk,0,,,,,safe,R,normal,12419903228
fold1_room3_mix031,fold1,static,0,,,,,critical,L,normal,12419903229
fold1_room3_mix032,fold1,walk,0,,,,,caution,L,normal,12419903230
fold1_room3_mix033,fold1,static,0,,,,,safe,L,normal,12419903231
fold1_room3_mix034,fold1,walk,0,,,,,critical,R,normal,12419903232
fold1_room3_mix035,fold1,static,0,,,,,caution,R,normal,12419903233
fold1_room3_mix036,fold1,walk,0,,,,,safe,R,normal,12419903234
fold1_room3_mix037,fold1,static,0,,,,,critical,L,normal,12419903235
fold1_room3_mix038,fold1,walk,0,,,,,caution,L,normal,12419903236
fold1_room3_mix039,fold1,static,0,,,,,safe,L,normal,12419903237
fold1_room3_mix040,fold1,walk,0,,,,,critical,R,normal,12419903238
fold1_room3_mix041,fold1,static,0,,,,,caution,R,normal,12419903239
fold1_room3_mix042,fold1,walk,0,,,,,safe,R,normal,12419903240
fold1_room3_mix043,fold1,static,0,,,,,critical,L,normal,12419903241
fold1_room3_mix044,fold1,walk,0,,,,,caution,L,normal,12419903242
fold1_room3_mix045,fold1,static,0,,,,,safe,L,normal,12419903243
fold1_room3_mix046,fold1,walk,0,,,,,critical,R,normal,12419903244
fold1_room3_mix047,fold1,static,0,,,,,caution,R,normal,12419903245
fold1_room3_mix048,fold1,walk,0,,,,,safe,R,normal,12419903246
fold1_room3_mix049,fold1,static,0,,,,,critical,L,normal,12419903247
fold1_room3_mix050,fold1,walk,0,,,,,caution,L,normal,12419903248
fold1_room3_mix051,fold1,static,0,,,,,safe,L,normal,12419903249
fold1_room3_mix052,fold1,walk,0,,,,,critical,R,normal,12419903250
fold1_room3_mix053,fold1,static,0,,,,,caution,R,normal,12419903251
fold1_room3_mix054,fold1,walk,0,,,,,safe,R,normal,12419903252
fold1_room3_mix055,fold1,static,0,,,,,critical,L,normal,12419903253
fold1_room3_mix056,fold1,walk,0,,,,,caution,L,normal,12419903254
fold1_room3_mix057,fold1,static,0,,,,,safe,L,normal,12419903255
fold1_room3_mix058,fold1,walk,0,,,,,critical,R,normal,12419903256
fold1_room3_mix059,fold1,static,0,,,,,caution,R,normal,12419903257
fold1_room3_mix060,fold1,walk,0,,,,,safe,R,normal,12419903258
fold1_room3_mix061,fold1,static,0,,,,,critical,L,normal,12419903259
fold1_room3_mix062,fold1,walk,0,,,,,caution,L,normal,12419903260
fold1_room3_mix063,fold1,static,0,,,,,safe,L,normal,12419903261
fold1_room3_mix064,fold1,walk,0,,,,,critical,R,normal,12419903262
fold1_room3_mix065,fold1,static,0,,,,,caution,R,normal,12419903263
fold1_room3_mix066,fold1,walk,0,,,,,safe,R,normal,12419903264
fold1_room3_mix067,fold1,static,0,,,,,critical,L,normal,12419903265
fold1_room3_mix068,fold1,walk,0,,,,,caution,L,normal,12419903266
fold1_room3_mix069,fold1,static,0,,,,,safe,L,normal,12419903267
fold1_room3_mix070,fold1,walk,0,,,,,critical,R,normal,12419903268
fold1_room3_mix071,fold1,static,0,,,,,caution,R,normal,12419903269
fold1_room3_mix072,fold1,walk,0,,,,,safe,R,normal,12419903270
fold1_room3_mix073,fold1,static,0,,,,,critical,L,normal,12419903271
fold1_room3_mix074,fold1,walk,0,,,,,caution,L,normal,12419903272
fold1_room3_mix075,fold1,static,0,,,,,safe,L,normal,12419903273
fold1_room3_mix076,fold1,walk,0,,,,,critical,R,normal,12419903274
fold1_room3_mix077,fold1,static,0,,,,,caution,R,normal,12419903275
fold1_room3_mix078,fold1,walk,0,,,,,safe,R,normal,12419903276
fold1_room3_mix079,fold1,static,0,,,,,critical,L,normal,12419903277
fold1_room3_mix080,fold1,walk,0,,,,,caution,L,normal,12419903278
fold1_room3_mix081,fold1,static,0,,,,,safe,L,normal,12419903279
fold1_room3_mix082,fold1,walk,0,,,,,critical,R,normal,12419903280
fold1_room3_mix083,fold1,static,0,,,,,caution,R,normal,12419903281
fold1_room3_mix084,fold1,walk,0,,,,,safe,R,normal,12419903282
fold1_room3_mix085,fold1,static,0,,,,,critical,L,normal,12419903283
fold1_room3_mix086,fold1,walk,0,,,,,caution,L,normal,12419903284
fold1_room3_mix087,fold1,static,0,,,,,safe,L,normal,12419903285
fold1_room3_mix088,fold1,walk,0,,,,,critical,R,normal,12419903286
fold1_room3_mix089,fold1,static,0,,,,,caution,R,normal,12419903287
fold1_room3_mix090,fold1,walk,0,,,,,safe,R,normal,12419903288
fold1_room3_mix091,fold1,static,0,,,,,critical,L,normal,12419903289
fold1_room3_mix092,fold1,walk,0,,,,,caution,L,normal,12419903290
fold1_room3_mix093,fold1,static,0,,,,,safe,L,normal,12419903291
fold1_room3_mix094,fold1,walk,0,,,,,critical,R,normal,12419903292
fold1_room3_mix095,fold1,static,0,,,,,caution,R,normal,12419903293
fold1_room3_mix096,fold1,walk,0,,,,,safe,R,normal,12419903294
fold1_room3_mix097,fold1,static,0,,,,,critical,L,normal,12419903295
fold1_room3_mix098,fold1,walk,0,,,,,caution,L,normal,12419903296
fold1_room3_mix099,fold1,static,0,,,,,safe,L,normal,12419903297
fold1_room3_mix100,fold1,walk,0,,,,,critical,R,normal,12419903298
fold1_room3_mix101,fold1,static,0,,,,,caution,R,normal,12419903299
fold1_room3_mix102,fold1,walk,0,,,,,safe,R,normal,12419903300
fold1_room3_mix103,fold1,static,0,,,,,critical,L,normal,12419903301
fold1_room3_mix104,fold1,walk,0,,,,,caution,L,normal,12419903302
fold1_room3_mix105,fold1,static,0,,,,,safe,L,normal,12419903303
fold1_room3_mix106,fold1,walk,0,,,,,critical,R,normal,12419903304
fold1_room3_mix107,fold1,static,0,,,,,caution,R,normal,12419903305
fold1_room3_mix108,fold1,walk,0,,,,,safe,R,normal,12419903306
fold1_room3_mix109,fold1,static,0,,,,,critical,L,normal,12419903307
fold1_room3_mix110,fold1,walk,0,,,,,caution,L,normal,12419903308
fold1_room3_mix111,fold1,static,0,,,,,safe,L,normal,12419903309
fold1_room3_mix112,fold1,walk,0,,,,,critical,R,normal,12419903310
fold1_room3_mix113,fold1,static,0,,,,,caution,R,normal,12419903311
fold1_room3_mix114,fold1,walk,0,,,,,safe,R,normal,12419903312
fold1_room3_mix115,fold1,static,0,,,,,critical,L,normal,12419903313
fold1_room3_mix116,fold1,walk,0,,,,,caution,L,normal,12419903314
fold1_room3_mix117,fold1,static,0,,,,,safe,L,normal,12419903315
fold1_room3_mix118,fold1,walk,0,,,,,critical,R,normal,12419903316
fold1_room3_mix119,fold1,static,0,,,,,caution,R,normal,12419903317
fold1_room3_mix120,fold1,walk,0,,,,,safe,R,normal,12419903318
fold1_room3_mix121,fold1,static,0,,,,,critical,L,normal,12419903319
fold1_room3_mix122,fold1,walk,0,,,,,caution,L,normal,12419903320
fold1_room3_mix123,fold1,static,0,,,,,safe,L,normal,12419903321
fold1_room3_mix124,fold1,walk,0,,,,,critical,R,normal,12419903322
fold1_room3_mix125,fold1,static,0,,,,,caution,R,normal,12419903323
fold1_room3_mix126,fold1,walk,0,,,,,safe,R,normal,12419903324
fold1_room3_mix127,fold1,static,0,,,,,critical,L,normal,12419903325
fold1_room3_mix128,fold1,walk,0,,,,,caution,L,normal,12419903326
fold1_room3_mix129,fold1,static,0,,,,,safe,L,normal,12419903327
fold1_room3_mix130,fold1,walk,0,,,,,critical,R,normal,12419903328
fold1_room3_mix131,fold1,static,0,,,,,caution,R,normal,12419903329
fold1_room3_mix132,fold1,walk,0,,,,,safe,R,normal,12419903330
fold1_room3_mix133,fold1,static,0,,,,,critical,L,normal,12419903331
fold1_room3_mix134,fold1,walk,0,,,,,caution,L,normal,12419903332
fold1_room3_mix135,fold1,static,0,,,,,safe,L,normal,12419903333
fold1_room3_mix136,fold1,walk,0,,,,,critical,R,normal,12419903334
fold1_room3_mix137,fold1,static,0,,,,,caution,R,normal,12419903335
fold1_room3_mix138,fold1,walk,0,,,,,safe,R,normal,12419903336
fold1_room3_mix139,fold1,static,0,,,,,critical,L,normal,12419903337
fold1_room3_mix140,fold1,walk,0,,,,,caution,L,normal,12419903338
fold1_room3_mix141,fold1,static,0,,,,,safe,L,normal,12419903339
fold1_room3_mix142,fold1,walk,0,,,,,critical,R,normal,12419903340
fold1_room3_mix143,fold1,static,0,,,,,caution,R,normal,12419903341
fold1_room3_mix144,fold1,walk,0,,,,,safe,R,normal,12419903342
fold1_room3_mix145,fold1,static,0,,,,,critical,L,normal,12419903343
fold1_room3_mix146,fold1,walk,0,,,,,caution,L,normal,12419903344
fold1_room3_mix147,fold1,static,0,,,,,safe,L,normal,12419903345
fold1_room3_mix148,fold1,walk,0,,,,,critical,R,normal,12419903346
fold1_room3_mix149,fold1,static,0,,,,,caution,R,normal,12419903347
fold1_room3_mix150,fold1,walk,0,,,,,safe,R,normal,12419903348
fold1_room3_mix151,fold1,static,0,,,,,critical,L,normal,12419903349
fold1_room3_mix152,fold1,walk,0,,,,,caution,L,normal,12419903350
fold1_room3_mix153,fold1,static,0,,,,,safe,L,normal,12419903351
fold1_room3_mix154,fold1,walk,0,,,,,critical,R,normal,12419903352
fold1_room3_mix155,fold1,static,0,,,,,caution,R,normal,12419903353
fold1_room3_mix156,fold1,walk,0,,,,,safe,R,normal,12419903354
