name,motion,tier,scenario,n_src,peak,recon_err,noise_dba_target,noise_dba_meas,az_med_max,el_med_max,cpa_rel_dist_m,cpa_rel_time_s,car_audible_frac,recv_ok,mask_ok,result
fold1_room1_mix0001,walk,caution,v11core,1,0.0021,1.19e-07,46.84624536260877,46.85,0.288,0.304,1.595,6.71,0.98,True,True,PASS
fold1_room1_mix0002,static,safe,v11core,4,0.0026,2.75e-07,51.503951190327626,51.5,0.333,0.322,5.088,4.93,0.92,True,True,PASS
fold1_room1_mix0003,static,safe,v11core,2,0.0013,1.77e-07,63.01871078010386,63.02,0.362,0.275,3.674,7.28,0.29,True,True,PASS
fold1_room1_mix0004,static,na,v11core,0,0.0005,5.96e-08,62.721140629684,62.72,0.0,0.0,,,,True,True,PASS
fold1_room1_mix0005,walk,caution,v11core,3,0.0025,2.31e-07,60.25804405515209,60.26,0.272,0.239,2.436,4.43,0.74,True,True,PASS
fold1_room1_mix0006,walk,safe,v11core,2,0.0059,1.78e-07,58.78442581227184,58.78,0.353,0.272,6.01,8.41,0.43,True,True,PASS
fold1_room1_mix0007,walk,na,v11core,0,0.0,5.96e-08,40.8262381552161,40.83,0.0,0.0,,,,True,True,PASS
fold1_room1_mix0008,walk,safe,v11core,4,0.0048,2.83e-07,51.059754599703055,51.06,0.306,0.337,13.533,8.25,0.99,True,True,PASS
fold1_room1_mix0009,walk,caution,v11core,1,0.0033,1.19e-07,43.5830631306953,43.58,0.27,0.356,1.677,7.64,0.99,True,True,PASS
fold1_room1_mix0010,walk,safe,v11core,2,0.0123,1.77e-07,58.58983668576543,58.59,0.377,0.347,3.867,6.81,0.71,True,True,PASS
fold1_room1_mix0011,walk,caution,v11core,3,0.0024,2.30e-07,56.28999445609635,56.29,0.282,0.27,2.511,7.08,0.65,True,True,PASS
fold1_room1_mix0012,static,caution,v11core,1,0.0026,1.19e-07,58.206243331121875,58.21,0.279,0.272,2.439,8.85,0.85,True,True,PASS
fold1_room1_mix0013,static,critical,v11core,3,0.0141,2.27e-07,47.59526777992766,47.6,0.329,0.349,1.461,8.65,0.99,True,True,PASS
fold1_room1_mix0014,static,safe,v11core,2,0.0021,1.77e-07,45.86737578463073,45.87,0.274,0.255,3.93,8.26,0.99,True,True,PASS
fold1_room1_mix0015,walk,safe,v11core,3,0.231,2.28e-07,48.403313057810394,48.4,0.331,0.36,5.243,5.87,0.99,True,True,PASS
fold1_room1_mix0016,walk,caution,v11core,3,0.0137,2.00e-07,59.89213026808241,59.89,0.249,0.238,2.778,8.24,0.57,True,True,PASS
fold1_room1_mix0017,static,critical,v11core,3,0.0036,2.26e-07,50.06752481648522,50.07,0.3,0.212,1.202,4.75,0.99,True,True,PASS
fold1_room1_mix0018,walk,safe,v11core,4,0.4043,2.94e-07,55.28342834939279,55.28,0.314,0.294,8.375,8.57,0.66,True,True,PASS
fold1_room1_mix0019,walk,safe,v11core,2,0.0008,1.76e-07,42.84220535171368,42.84,0.466,0.3,11.459,8.28,0.99,True,True,PASS
fold1_room1_mix0020,static,na,v11core,0,0.0002,5.96e-08,57.79806681064763,57.8,0.0,0.0,,,,True,True,PASS
fold1_room1_mix0021,walk,caution,v11core,2,0.0018,1.78e-07,45.62343130661877,45.62,0.282,0.272,2.357,4.47,1.0,True,True,PASS
fold1_room1_mix0022,walk,critical,v11core,4,0.0271,2.78e-07,40.78310760690923,40.78,0.318,0.361,1.427,5.26,0.99,True,True,PASS
fold1_room1_mix0023,static,caution,v11core,3,0.0048,2.33e-07,63.88139644040113,63.88,0.296,0.257,1.641,7.81,0.66,True,True,PASS
fold1_room1_mix0024,walk,caution,v11core,1,0.0018,1.19e-07,42.54704493682861,42.55,0.254,0.344,2.931,8.32,0.98,True,True,PASS
fold1_room1_mix0025,static,safe,v11core,2,0.0023,1.78e-07,42.46853335794073,42.47,0.274,0.309,13.967,4.41,0.99,True,True,PASS
fold1_room1_mix0026,walk,critical,v11core,4,0.0051,2.70e-07,51.44077004409799,51.44,0.3,0.478,1.497,5.47,0.98,True,True,PASS
fold1_room1_mix0027,static,safe,v11core,2,0.0013,1.77e-07,54.36066384985853,54.36,0.269,0.286,5.148,7.26,0.8,True,True,PASS
fold1_room1_mix0028,static,safe,v11core,3,0.0014,1.75e-07,56.44379417160512,56.44,0.471,0.307,3.576,6.44,0.63,True,True,PASS
