subdir,name,size
foa,fold1_room1_mix0001.flac,1074397
foa,fold1_room1_mix0002.flac,1277010
foa,fold1_room1_mix0003.flac,1300649
foa,fold1_room1_mix0004.flac,1269880
foa,fold1_room1_mix0005.flac,1308345
foa,fold1_room1_mix0006.flac,1267355
foa,fold1_room1_mix0007.flac,838107
foa,fold1_room1_mix0008.flac,1304330
foa,fold1_room1_mix0009.flac,1100507
foa,fold1_room1_mix0010.flac,1371286
foa,fold1_room1_mix0011.flac,1243374
foa,fold1_room1_mix0012.flac,1285599
foa,fold1_room1_mix0013.flac,1360249
foa,fold1_room1_mix0014.flac,1209039
foa,fold1_room1_mix0015.flac,1295124
foa,fold1_room1_mix0016.flac,1329950
foa,fold1_room1_mix0017.flac,1163119
foa,fold1_room1_mix0018.flac,1445065
foa,fold1_room1_mix0019.flac,1044944
foa,fold1_room1_mix0020.flac,1178372
foa,fold1_room1_mix0021.flac,1256942
foa,fold1_room1_mix0022.flac,1454281
foa,fold1_room1_mix0023.flac,1424074
foa,fold1_room1_mix0024.flac,1036685
foa,fold1_room1_mix0025.flac,1139716
foa,fold1_room1_mix0026.flac,1260720
foa,fold1_room1_mix0027.flac,1204650
foa,fold1_room1_mix0028.flac,1215374
foa,fold1_room1_mix0029.flac,1143090
foa,fold1_room1_mix0030.flac,1103770
foa,fold1_room1_mix0031.flac,1260356
foa,fold1_room1_mix0032.flac,1282751
foa,fold1_room1_mix0033.flac,1406085
foa,fold1_room1_mix0034.flac,1352868
foa,fold1_room1_mix0035.flac,1325893
foa,fold1_room1_mix0036.flac,1197754
foa,fold1_room1_mix0037.flac,1437883
foa,fold1_room1_mix0038.flac,1269591
foa,fold1_room1_mix0039.flac,1234741
foa,fold1_room1_mix0040.flac,941995
foa,fold1_room1_mix0041.flac,1208893
foa,fold1_room1_mix0042.flac,1171408
foa,fold1_room1_mix0043.flac,1370596
foa,fold1_room1_mix0044.flac,1225991
foa,fold1_room1_mix0045.flac,1106334
foa,fold1_room1_mix0046.flac,1308648
foa,fold1_room1_mix0047.flac,1380820
foa,fold1_room1_mix0048.flac,1025335
foa,fold1_room1_mix0049.flac,1315923
foa,fold1_room1_mix0050.flac,1211279
foa,fold1_room1_mix0051.flac,1220797
foa,fold1_room1_mix0052.flac,1171479
foa,fold1_room1_mix0053.flac,1357598
foa,fold1_room1_mix0054.flac,1210188
foa,fold1_room1_mix0055.flac,1061189
foa,fold1_room1_mix0056.flac,1198069
foa,fold1_room1_mix0057.flac,1156797
foa,fold1_room1_mix0058.flac,1340765
foa,fold1_room1_mix0059.flac,1368641
foa,fold1_room1_mix0060.flac,1359220
foa,fold1_room1_mix0061.flac,1259753
foa,fold1_room1_mix0062.flac,1340678
foa,fold1_room1_mix0063.flac,1301117
foa,fold1_room1_mix0064.flac,1157694
foa,fold1_room1_mix0065.flac,1139190
foa,fold1_room1_mix0066.flac,1346862
