frame,class,snr_a_db
0,4,6.72
1,4,8.98
2,4,9.26
3,4,10.1
4,4,9.39
5,4,8.98
6,4,9.73
7,4,10.97
8,4,10.79
9,4,11.11
10,4,10.53
11,4,11.75
12,4,12.09
13,4,11.94
14,4,12.38
15,4,13.09
16,4,13.31
17,4,13.37
18,4,13.29
19,4,13.59
20,4,13.84
21,4,13.75
22,4,13.74
23,4,14.59
24,4,14.78
25,4,14.86
26,4,15.59
27,4,16.32
28,4,15.99
29,4,16.71
30,4,16.91
31,4,17.17
32,4,17.88
33,4,18.53
34,4,18.79
35,4,19.21
36,4,19.81
37,4,20.44
38,4,20.07
39,4,21.38
40,4,22.57
41,4,23.19
42,4,23.83
43,4,24.46
44,4,25.4
45,4,25.8
46,4,26.33
47,4,28.01
48,4,28.72
49,4,28.3
50,4,28.78
51,4,27.02
52,4,26.49
53,4,26.04
54,4,24.95
55,4,24.0
56,4,22.79
57,4,21.9
58,4,21.84
59,4,21.2
60,4,21.55
61,4,19.84
62,4,19.95
63,4,18.98
64,4,18.36
65,4,18.04
66,4,17.37
67,4,17.45
68,4,17.5
69,4,17.56
70,4,16.41
71,4,16.22
72,4,15.09
73,4,14.8
74,4,14.91
75,4,14.74
76,4,14.21
77,4,14.48
78,4,13.67
79,4,13.48
80,4,13.48
81,4,13.08
82,4,13.04
83,4,12.63
84,4,12.53
85,4,11.82
86,4,11.56
87,4,10.95
88,4,11.06
89,4,10.66
90,4,10.38
91,4,11.47
92,4,9.66
93,4,8.67
94,4,9.54
95,4,9.97
96,4,8.93
97,4,9.05
98,4,9.28
99,4,8.85
0,4,-505.73
1,4,-422.8
2,4,0.6
3,4,2.18
4,4,1.56
5,4,1.46
6,4,1.17
7,4,2.05
8,4,1.27
9,4,1.56
10,4,1.1
11,4,1.67
12,4,2.09
13,4,2.2
14,4,2.23
15,4,1.9
16,4,2.13
17,4,2.67
18,4,2.53
19,4,2.39
20,4,2.35
21,4,2.49
22,4,2.87
23,4,3.13
24,4,2.31
25,4,2.84
26,4,2.14
27,4,3.35
28,4,2.69
29,4,3.14
30,4,2.01
31,4,3.66
32,4,3.23
33,4,3.4
34,4,2.76
35,4,2.7
36,4,3.2
37,4,3.9
38,4,3.27
39,4,3.63
40,4,4.13
41,4,3.86
42,4,3.71
43,4,3.95
44,4,4.0
45,4,4.29
46,4,4.39
47,4,4.75
48,4,5.65
49,4,4.85
50,4,5.64
51,4,5.45
52,4,5.11
53,4,6.0
54,4,6.42
55,4,7.02
56,4,6.98
57,4,8.03
58,4,7.93
59,4,8.58
60,4,9.83
61,4,10.77
62,4,10.99
63,4,10.96
64,4,11.86
65,4,11.76
66,4,12.17
67,4,13.45
68,4,13.03
69,4,13.63
70,4,14.35
71,4,14.53
72,4,15.17
73,4,15.38
74,4,16.41
75,4,16.92
76,4,17.94
77,4,17.89
78,4,19.78
79,4,20.01
80,4,21.87
81,4,21.42
82,4,23.11
83,4,23.92
84,4,24.97
85,4,26.69
86,4,27.42
87,4,28.53
88,4,28.55
89,4,27.93
90,4,26.17
91,4,25.41
92,4,24.57
93,4,23.53
94,4,21.88
95,4,21.93
96,4,20.01
97,4,18.97
98,4,18.53
99,4,18.3
0,0,-505.73
1,0,-506.05
2,0,-505.91
3,0,-505.56
4,0,-506.02
5,0,-506.42
6,0,-506.23
7,0,-505.72
8,0,-505.76
9,0,-505.98
10,0,-506.38
11,0,-506.06
12,0,-505.61
13,0,-505.99
14,0,-505.7
15,0,-506.05
16,0,37.79
17,0,43.55
18,0,43.61
19,0,43.75
20,0,43.84
21,0,43.88
22,0,44.1
23,0,44.21
24,0,44.14
25,0,44.59
26,0,44.55
27,0,44.84
28,0,44.76
29,0,45.11
30,0,45.01
31,0,45.69
32,0,45.86
33,0,46.02
34,0,46.1
35,0,46.46
36,0,46.77
37,0,47.11
38,0,47.62
39,0,48.23
40,0,49.16
41,0,49.94
42,0,50.39
43,0,51.34
44,0,52.42
45,0,53.98
46,0,55.55
47,0,57.91
48,0,59.59
49,0,44.25
50,0,-505.79
51,0,-506.16
52,0,-506.21
53,0,-505.89
54,0,-505.95
55,0,-506.13
56,0,-506.15
57,0,-506.3
58,0,-506.11
59,0,-506.07
60,0,-505.63
61,0,-506.02
62,0,-506.12
63,0,-506.12
64,0,-505.99
65,0,-506.09
66,0,-506.09
67,0,-505.99
68,0,-505.99
69,0,-505.96
70,0,-505.99
71,0,-505.99
72,0,-506.04
73,0,-506.16
74,0,-505.92
75,0,-506.07
76,0,-506.29
77,0,-505.98
78,0,-505.99
79,0,-506.08
80,0,-505.92
81,0,-505.97
82,0,-505.99
83,0,-505.8
84,0,-506.15
85,0,-506.3
86,0,-506.04
87,0,-506.29
88,0,-505.88
89,0,-505.94
90,0,-506.13
91,0,-505.77
92,0,-505.78
93,0,-506.0
94,0,-506.14
95,0,-506.05
96,0,-505.94
97,0,-506.13
98,0,-506.2
99,0,-506.08
