clip_id,split,motion,n_warnings,w1_class,w1_side,w2_class,w2_side,danger_tier,car_side,scenario,seed,scene_type,n_car
fold1_room1_mix0001,fold1,walk,0,,,,,caution,L,v11core,12420025651,daily,1
fold1_room1_mix0002,fold1,static,2,bike_bell,L,crossing,L,safe,L,v11core,12420025652,daily,2
fold1_room1_mix0003,fold1,static,1,crossing,L,,,safe,L,v11core,12420025653,daily,1
fold1_room1_mix0004,fold1,static,0,,,,,na,,v11core,12420025654,residential,0
fold1_room1_mix0005,fold1,walk,1,crossing,L,,,caution,L,v11core,12420025655,daily,2
fold1_room1_mix0006,fold1,walk,0,,,,,safe,R,v11core,12420025656,arterial,2
fold1_room1_mix0007,fold1,walk,0,,,,,na,,v11core,12420025657,residential,0
fold1_room1_mix0008,fold1,walk,1,bike_bell,R,,,safe,L,v11core,12420025658,arterial,3
fold1_room1_mix0009,fold1,walk,0,,,,,caution,L,v11core,12420025659,daily,1
fold1_room1_mix0010,fold1,walk,1,horn,L,,,safe,R,v11core,12420025660,daily,1
fold1_room1_mix0011,fold1,walk,2,bike_bell,L,bike_bell,R,caution,R,v11core,12420025661,daily,1
fold1_room1_mix0012,fold1,static,0,,,,,caution,R,v11core,12420025662,daily,1
fold1_room1_mix0013,fold1,static,2,horn,R,bike_bell,L,critical,R,v11core,12420025663,residential,1
fold1_room1_mix0014,fold1,static,0,,,,,safe,R,v11core,12420025664,arterial,2
fold1_room1_mix0015,fold1,walk,1,siren,L,,,safe,R,v11core,12420025665,residential,2
fold1_room1_mix0016,fold1,walk,2,horn,L,backup_beep,L,caution,R,v11core,12420025666,arterial,1
fold1_room1_mix0017,fold1,static,1,backup_beep,R,,,critical,L,v11core,12420025667,residential,2
fold1_room1_mix0018,fold1,walk,2,siren,L,crossing,L,safe,L,v11core,12420025668,arterial,2
fold1_room1_mix0019,fold1,walk,1,bike_bell,L,,,safe,L,v11core,12420025669,residential,1
fold1_room1_mix0020,fold1,static,0,,,,,na,,v11core,12420025670,residential,0
fold1_room1_mix0021,fold1,walk,0,,,,,caution,L,v11core,12420025671,daily,2
fold1_room1_mix0022,fold1,walk,1,horn,R,,,critical,R,v11core,12420025672,arterial,3
fold1_room1_mix0023,fold1,static,1,crossing,L,,,caution,R,v11core,12420025673,daily,2
fold1_room1_mix0024,fold1,walk,0,,,,,caution,L,v11core,12420025674,residential,1
fold1_room1_mix0025,fold1,static,0,,,,,safe,R,v11core,12420025675,daily,2
fold1_room1_mix0026,fold1,walk,1,backup_beep,L,,,critical,R,v11core,12420025676,arterial,3
fold1_room1_mix0027,fold1,static,1,crossing,L,,,safe,L,v11core,12420025677,daily,1
fold1_room1_mix0028,fold1,static,2,backup_beep,L,bike_bell,R,safe,R,v11core,12420025678,residential,1
fold1_room1_mix0029,fold1,static,0,,,,,safe,R,v11core,12420025679,arterial,2
fold1_room1_mix0030,fold1,walk,0,,,,,safe,L,v11core,12420025680,daily,1
fold1_room1_mix0031,fold1,walk,0,,,,,safe,L,v11core,12420025681,arterial,3
fold1_room1_mix0032,fold1,static,0,,,,,safe,R,v11core,12420025682,residential,2
fold1_room1_mix0033,fold1,walk,1,horn,L,,,caution,R,v11core,12420025683,daily,1
fold1_room1_mix0034,fold1,walk,1,siren,R,,,safe,L,v11core,12420025684,residential,2
fold1_room1_mix0035,fold1,walk,1,crossing,R,,,na,,v11core,12420025685,residential,0
fold1_room1_mix0036,fold1,static,0,,,,,caution,R,v11core,12420025686,residential,1
fold1_room1_mix0037,fold1,static,1,siren,R,,,na,,v11core,12420025687,residential,0
fold1_room1_mix0038,fold1,static,0,,,,,safe,R,v11core,12420025688,arterial,3
fold1_room1_mix0039,fold1,walk,0,,,,,caution,R,v11core,12420025689,daily,1
