clip_id,split,motion,n_warnings,w1_class,w1_side,w2_class,w2_side,danger_tier,car_side,scenario,seed,scene_type,n_car
fold1_room1_mix4801,fold1,static,0,,,,,,,v12kick,9100000000,v12ext,0
fold1_room1_mix4802,fold1,walk,0,,,,,,,v12kick,9100007919,v12ext,0
fold1_room1_mix4803,fold1,static,0,,,,,,,v12kick,9100015838,v12ext,0
fold1_room1_mix4804,fold1,walk,0,,,,,,,v12kick,9100023757,v12ext,0
fold1_room1_mix4805,fold1,static,0,,,,,,,v12kick,9100031676,v12ext,0
fold1_room1_mix4806,fold1,walk,0,,,,,,,v12kick,9100039595,v12ext,0
fold1_room1_mix4807,fold1,static,0,,,,,,,v12kick,9100047514,v12ext,0
fold1_room1_mix4808,fold1,walk,0,,,,,,,v12kick,9100055433,v12ext,0
fold1_room1_mix4809,fold1,static,0,,,,,,,v12kick,9100063352,v12ext,0
fold1_room1_mix4810,fold1,walk,0,,,,,,,v12kick,9100071271,v12ext,0
fold1_room1_mix4811,fold1,static,0,,,,,,,v12kick,9100079190,v12ext,0
fold1_room1_mix4812,fold1,walk,0,,,,,,,v12kick,9100087109,v12ext,0
fold1_room1_mix4813,fold1,static,0,,,,,,,v12kick,9100095028,v12ext,0
fold1_room1_mix4814,fold1,walk,0,,,,,,,v12kick,9100102947,v12ext,0
fold1_room1_mix4815,fold1,static,0,,,,,,,v12kick,9100110866,v12ext,0
fold1_room1_mix4816,fold1,walk,0,,,,,,,v12kick,9100118785,v12ext,0
fold1_room1_mix4817,fold1,static,0,,,,,,,v12kick,9100126704,v12ext,0
fold1_room1_mix4818,fold1,walk,0,,,,,,,v12kick,9100134623,v12ext,0
fold1_room1_mix4819,fold1,static,0,,,,,,,v12kick,9100142542,v12ext,0
fold1_room1_mix4820,fold1,walk,0,,,,,,,v12kick,9100150461,v12ext,0
fold1_room1_mix4821,fold1,static,0,,,,,,,v12kick,9100158380,v12ext,0
fold1_room1_mix4822,fold1,walk,0,,,,,,,v12kick,9100166299,v12ext,0
fold1_room1_mix4823,fold1,static,0,,,,,,,v12kick,9100174218,v12ext,0
fold1_room1_mix4824,fold1,walk,0,,,,,,,v12kick,9100182137,v12ext,0
fold1_room1_mix4825,fold1,static,0,,,,,,,v12kick,9100190056,v12ext,0
fold1_room1_mix4826,fold1,walk,0,,,,,,,v12kick,9100197975,v12ext,0
fold1_room1_mix4827,fold1,static,0,,,,,,,v12kick,9100205894,v12ext,0
fold1_room1_mix4828,fold1,walk,0,,,,,,,v12kick,9100213813,v12ext,0
fold1_room1_mix4829,fold1,static,0,,,,,,,v12kick,9100221732,v12ext,0
fold1_room1_mix4830,fold1,walk,0,,,,,,,v12kick,9100229651,v12ext,0
fold1_room1_mix4831,fold1,static,0,,,,,,,v12kick,9100237570,v12ext,0
fold1_room1_mix4832,fold1,walk,0,,,,,,,v12kick,9100245489,v12ext,0
fold1_room1_mix4833,fold1,static,0,,,,,,,v12kick,9100253408,v12ext,0
fold1_room1_mix4834,fold1,walk,0,,,,,,,v12kick,9100261327,v12ext,0
fold1_room1_mix4835,fold1,static,0,,,,,,,v12kick,9100269246,v12ext,0
fold1_room1_mix4836,fold1,walk,0,,,,,,,v12kick,9100277165,v12ext,0
fold1_room1_mix4837,fold1,static,0,,,,,,,v12kick,9100285084,v12ext,0
fold1_room1_mix4838,fold1,walk,0,,,,,,,v12kick,9100293003,v12ext,0
fold1_room1_mix4839,fold1,static,0,,,,,,,v12kick,9100300922,v12ext,0
fold1_room1_mix4840,fold1,walk,0,,,,,,,v12kick,9100308841,v12ext,0
fold1_room1_mix4841,fold1,static,0,,,,,,,v12kick,9100316760,v12ext,0
fold1_room1_mix4842,fold1,walk,0,,,,,,,v12kick,9100324679,v12ext,0
fold1_room1_mix4843,fold1,static,0,,,,,,,v12kick,9100332598,v12ext,0
fold1_room1_mix4844,fold1,walk,0,,,,,,,v12kick,9100340517,v12ext,0
fold1_room1_mix4845,fold1,static,0,,,,,,,v12kick,9100348436,v12ext,0
fold1_room1_mix4846,fold1,walk,0,,,,,,,v12kick,9100356355,v12ext,0
fold1_room1_mix4847,fold1,static,0,,,,,,,v12kick,9100364274,v12ext,0
fold1_room1_mix4848,fold1,walk,0,,,,,,,v12kick,9100372193,v12ext,0
fold1_room1_mix4849,fold1,static,0,,,,,,,v12kick,9100380112,v12ext,0
fold1_room1_mix4850,fold1,walk,0,,,,,,,v12kick,9100388031,v12ext,0
fold1_room1_mix4851,fold1,static,0,,,,,,,v12kick,9100395950,v12ext,0
fold1_room1_mix4852,fold1,walk,0,,,,,,,v12kick,9100403869,v12ext,0
fold1_room1_mix4853,fold1,static,0,,,,,,,v12kick,9100411788,v12ext,0
fold1_room1_mix4854,fold1,walk,0,,,,,,,v12kick,9100419707,v12ext,0
fold1_room1_mix4855,fold1,static,0,,,,,,,v12kick,9100427626,v12ext,0
fold1_room1_mix4856,fold1,walk,0,,,,,,,v12kick,9100435545,v12ext,0
fold1_room1_mix4857,fold1,static,0,,,,,,,v12kick,9100443464,v12ext,0
fold1_room1_mix4858,fold1,walk,0,,,,,,,v12kick,9100451383,v12ext,0
fold1_room1_mix4859,fold1,static,0,,,,,,,v12kick,9100459302,v12ext,0
fold1_room1_mix4860,fold1,walk,0,,,,,,,v12kick,9100467221,v12ext,0
fold1_room1_mix4861,fold1,static,0,,,,,,,v12kick,9100475140,v12ext,0
fold1_room1_mix4862,fold1,walk,0,,,,,,,v12kick,9100483059,v12ext,0
fold1_room1_mix4863,fold1,static,0,,,,,,,v12kick,9100490978,v12ext,0
fold1_room1_mix4864,fold1,walk,0,,,,,,,v12kick,9100498897,v12ext,0
fold1_room1_mix4865,fold1,static,0,,,,,,,v12kick,9100506816,v12ext,0
fold1_room1_mix4866,fold1,walk,0,,,,,,,v12kick,9100514735,v12ext,0
fold1_room1_mix4867,fold1,static,0,,,,,,,v12kick,9100522654,v12ext,0
fold1_room1_mix4868,fold1,walk,0,,,,,,,v12kick,9100530573,v12ext,0
fold1_room1_mix4869,fold1,static,0,,,,,,,v12kick,9100538492,v12ext,0
fold1_room1_mix4870,fold1,walk,0,,,,,,,v12kick,9100546411,v12ext,0
fold1_room1_mix4871,fold1,static,0,,,,,,,v12kick,9100554330,v12ext,0
fold1_room1_mix4872,fold1,walk,0,,,,,,,v12kick,9100562249,v12ext,0
fold1_room1_mix4873,fold1,static,0,,,,,,,v12kick,9100570168,v12ext,0
fold1_room1_mix4874,fold1,walk,0,,,,,,,v12kick,9100578087,v12ext,0
fold1_room1_mix4875,fold1,static,0,,,,,,,v12kick,9100586006,v12ext,0
fold1_room1_mix4876,fold1,walk,0,,,,,,,v12kick,9100593925,v12ext,0
fold1_room1_mix4877,fold1,static,0,,,,,,,v12kick,9100601844,v12ext,0
fold1_room1_mix4878,fold1,walk,0,,,,,,,v12kick,9100609763,v12ext,0
fold1_room1_mix4879,fold1,static,0,,,,,,,v12kick,9100617682,v12ext,0
fold1_room1_mix4880,fold1,walk,0,,,,,,,v12kick,9100625601,v12ext,0
fold1_room1_mix4881,fold1,static,0,,,,,,,v12kick,9100633520,v12ext,0
fold1_room1_mix4882,fold1,walk,0,,,,,,,v12kick,9100641439,v12ext,0
fold1_room1_mix4883,fold1,static,0,,,,,,,v12kick,9100649358,v12ext,0
fold1_room1_mix4884,fold1,walk,0,,,,,,,v12kick,9100657277,v12ext,0
fold1_room1_mix4885,fold1,static,0,,,,,,,v12kick,9100665196,v12ext,0
fold1_room1_mix4886,fold1,walk,0,,,,,,,v12kick,9100673115,v12ext,0
fold1_room1_mix4887,fold1,static,0,,,,,,,v12kick,9100681034,v12ext,0
fold1_room1_mix4888,fold1,walk,0,,,,,,,v12kick,9100688953,v12ext,0
fold1_room1_mix4889,fold1,static,0,,,,,,,v12kick,9100696872,v12ext,0
fold1_room1_mix4890,fold1,walk,0,,,,,,,v12kick,9100704791,v12ext,0
fold1_room1_mix4891,fold1,static,0,,,,,,,v12kick,9100712710,v12ext,0
fold1_room1_mix4892,fold1,walk,0,,,,,,,v12kick,9100720629,v12ext,0
fold1_room1_mix4893,fold1,static,0,,,,,,,v12kick,9100728548,v12ext,0
fold1_room1_mix4894,fold1,walk,0,,,,,,,v12kick,9100736467,v12ext,0
fold1_room1_mix4895,fold1,static,0,,,,,,,v12kick,9100744386,v12ext,0
fold1_room1_mix4896,fold1,walk,0,,,,,,,v12kick,9100752305,v12ext,0
fold1_room1_mix4897,fold1,static,0,,,,,,,v12kick,9100760224,v12ext,0
fold1_room1_mix4898,fold1,walk,0,,,,,,,v12kick,9100768143,v12ext,0
fold1_room1_mix4899,fold1,static,0,,,,,,,v12kick,9100776062,v12ext,0
fold1_room1_mix4900,fold1,walk,0,,,,,,,v12kick,9100783981,v12ext,0
fold1_room1_mix4901,fold1,static,0,,,,,,,v12kick,9100791900,v12ext,0
fold1_room1_mix4902,fold1,walk,0,,,,,,,v12kick,9100799819,v12ext,0
fold1_room1_mix4903,fold1,static,0,,,,,,,v12kick,9100807738,v12ext,0
fold1_room1_mix4904,fold1,walk,0,,,,,,,v12kick,9100815657,v12ext,0
fold1_room1_mix4905,fold1,static,0,,,,,,,v12kick,9100823576,v12ext,0
fold1_room1_mix4906,fold1,walk,0,,,,,,,v12kick,9100831495,v12ext,0
fold1_room1_mix4907,fold1,static,0,,,,,,,v12kick,9100839414,v12ext,0
fold1_room1_mix4908,fold1,walk,0,,,,,,,v12kick,9100847333,v12ext,0
fold1_room1_mix4909,fold1,static,0,,,,,,,v12kick,9100855252,v12ext,0
fold1_room1_mix4910,fold1,walk,0,,,,,,,v12kick,9100863171,v12ext,0
fold1_room1_mix4911,fold1,static,0,,,,,,,v12kick,9100871090,v12ext,0
fold1_room1_mix4912,fold1,walk,0,,,,,,,v12kick,9100879009,v12ext,0
fold1_room1_mix4913,fold1,static,0,,,,,,,v12kick,9100886928,v12ext,0
fold1_room1_mix4914,fold1,walk,0,,,,,,,v12kick,9100894847,v12ext,0
fold1_room1_mix4915,fold1,static,0,,,,,,,v12kick,9100902766,v12ext,0
fold1_room1_mix4916,fold1,walk,0,,,,,,,v12kick,9100910685,v12ext,0
fold1_room1_mix4917,fold1,static,0,,,,,,,v12kick,9100918604,v12ext,0
fold1_room1_mix4918,fold1,walk,0,,,,,,,v12kick,9100926523,v12ext,0
fold1_room1_mix4919,fold1,static,0,,,,,,,v12kick,9100934442,v12ext,0
