frame,class,snr_a_db
0,4,-491.27
1,4,30.8
2,4,40.61
3,4,40.99
4,4,41.16
5,4,40.35
6,4,40.63
7,4,40.86
8,4,41.24
9,4,40.59
10,4,40.36
11,4,40.13
12,4,39.53
13,4,38.27
14,4,38.64
15,4,39.8
16,4,40.32
17,4,39.1
18,4,39.63
19,4,40.28
20,4,40.02
21,4,40.17
22,4,38.76
23,4,40.03
24,4,40.05
25,4,38.55
26,4,39.13
27,4,38.09
28,4,39.21
29,4,37.37
30,4,36.9
31,4,38.91
32,4,38.6
33,4,39.15
34,4,38.62
35,4,38.69
36,4,38.86
37,4,39.28
38,4,38.5
39,4,37.88
40,4,39.03
41,4,38.78
42,4,38.88
43,4,38.9
44,4,39.88
45,4,38.92
46,4,40.27
47,4,39.81
48,4,39.83
49,4,41.31
50,4,39.74
51,4,40.42
52,4,41.21
53,4,41.22
54,4,41.28
55,4,41.2
56,4,41.8
57,4,41.48
58,4,41.73
59,4,42.53
60,4,42.31
61,4,40.21
62,4,42.31
63,4,41.24
64,4,42.09
65,4,40.47
66,4,40.57
67,4,42.24
68,4,40.83
69,4,41.81
70,4,40.72
71,4,41.68
72,4,41.29
73,4,40.71
74,4,41.89
75,4,40.41
76,4,41.28
77,4,41.62
78,4,41.57
79,4,41.31
80,4,40.5
81,4,41.28
82,4,40.81
83,4,41.1
84,4,41.5
85,4,40.94
86,4,41.34
87,4,41.32
88,4,41.41
89,4,41.56
90,4,40.62
91,4,42.09
92,4,41.28
93,4,41.27
94,4,41.42
95,4,41.09
96,4,41.72
97,4,41.6
98,4,41.88
99,4,41.37
0,3,-491.27
1,3,-491.64
2,3,-491.35
3,3,-491.19
4,3,-491.5
5,3,-491.26
6,3,-491.27
7,3,-491.05
8,3,-490.83
9,3,-491.01
10,3,-491.0
11,3,-491.23
12,3,-492.0
13,3,-492.97
14,3,-492.19
15,3,-491.44
16,3,-491.72
17,3,-491.83
18,3,-491.47
19,3,-491.06
20,3,-490.88
21,3,-490.67
22,3,-491.73
23,3,-490.8
24,3,-491.02
25,3,-491.53
26,3,-491.21
27,3,-492.45
28,3,-491.04
29,3,-492.34
30,3,-492.29
31,3,-490.87
32,3,-491.46
33,3,-491.08
34,3,-491.37
35,3,-490.96
36,3,-491.02
37,3,-490.76
38,3,-491.53
39,3,33.59
40,3,38.32
41,3,36.94
42,3,37.79
43,3,46.25
44,3,51.14
45,3,49.02
46,3,48.06
47,3,46.33
48,3,44.99
49,3,43.93
50,3,41.24
51,3,39.11
52,3,36.79
53,3,33.87
54,3,31.24
55,3,27.76
56,3,25.97
57,3,23.01
58,3,20.71
59,3,57.74
60,3,55.41
61,3,52.13
62,3,50.41
63,3,55.82
64,3,55.82
65,3,52.37
66,3,50.82
67,3,48.83
68,3,45.01
69,3,42.8
70,3,39.6
71,3,38.23
72,3,35.21
73,3,32.44
74,3,29.79
75,3,25.74
76,3,21.87
77,3,-15.17
78,3,-490.52
79,3,-490.74
80,3,-491.29
81,3,-490.54
82,3,-490.99
83,3,-491.21
84,3,-490.53
85,3,-491.3
86,3,-490.57
87,3,-491.26
88,3,-491.28
89,3,-491.1
90,3,-491.76
91,3,-490.57
92,3,-491.17
93,3,-491.07
94,3,-491.18
95,3,-491.1
96,3,-490.64
97,3,-491.17
98,3,-490.55
99,3,-491.46
0,5,48.55
1,5,43.89
2,5,40.29
3,5,41.91
4,5,43.6
5,5,48.37
6,5,40.42
7,5,42.36
8,5,41.34
9,5,48.28
10,5,44.75
11,5,41.06
12,5,41.67
13,5,39.3
14,5,47.81
15,5,40.43
16,5,41.9
17,5,40.18
18,5,47.57
19,5,44.98
20,5,41.36
21,5,42.8
22,5,38.91
23,5,49.34
24,5,41.7
25,5,41.78
26,5,41.3
27,5,45.92
28,5,46.26
29,5,39.53
30,5,41.43
31,5,39.44
32,5,48.75
33,5,41.61
34,5,41.88
35,5,41.78
36,5,47.13
37,5,46.54
38,5,40.32
39,5,41.64
40,5,39.08
41,5,48.9
42,5,42.24
43,5,41.18
44,5,42.06
45,5,45.71
46,5,47.63
47,5,40.56
48,5,42.61
49,5,40.84
50,5,48.61
51,5,42.9
52,5,41.8
53,5,42.21
54,5,45.69
55,5,47.39
56,5,41.32
57,5,42.99
58,5,40.61
59,5,49.2
60,5,43.81
61,5,40.91
62,5,42.3
63,5,44.04
64,5,48.7
65,5,40.03
66,5,42.43
67,5,41.55
68,5,47.8
69,5,44.94
70,5,41.08
71,5,43.61
72,5,41.78
73,5,49.22
74,5,41.21
75,5,42.38
76,5,40.96
77,5,48.18
78,5,45.49
79,5,41.61
80,5,42.26
81,5,40.41
82,5,49.12
83,5,41.53
84,5,42.84
85,5,41.09
86,5,47.79
87,5,45.88
88,5,40.57
89,5,42.51
90,5,38.47
91,5,49.63
92,5,41.44
93,5,42.16
94,5,41.59
95,5,47.11
96,5,46.63
97,5,40.67
98,5,43.2
99,5,38.97
