frame,class,snr_a_db
0,4,-491.47
1,4,6.24
2,4,6.87
3,4,8.27
4,4,8.69
5,4,7.64
6,4,8.52
7,4,8.48
8,4,9.8
9,4,9.16
10,4,8.48
11,4,8.52
12,4,8.85
13,4,9.55
14,4,8.53
15,4,9.64
16,4,9.36
17,4,10.18
18,4,10.18
19,4,10.23
20,4,10.99
21,4,10.0
22,4,11.67
23,4,10.52
24,4,11.79
25,4,11.74
26,4,13.29
27,4,13.62
28,4,12.72
29,4,14.48
30,4,14.76
31,4,15.02
32,4,16.56
33,4,17.58
34,4,17.0
35,4,17.3
36,4,18.88
37,4,18.28
38,4,18.99
39,4,19.7
40,4,19.23
41,4,21.16
42,4,20.79
43,4,22.44
44,4,23.42
45,4,24.74
46,4,25.43
47,4,25.17
48,4,26.01
49,4,28.2
50,4,29.23
51,4,30.25
52,4,32.93
53,4,33.07
54,4,33.43
55,4,32.61
56,4,31.56
57,4,30.46
58,4,29.49
59,4,28.84
60,4,26.13
61,4,25.37
62,4,25.09
63,4,23.95
64,4,23.47
65,4,22.52
66,4,21.36
67,4,21.68
68,4,19.87
69,4,20.08
70,4,19.52
71,4,18.79
72,4,19.16
73,4,17.35
74,4,17.98
75,4,17.62
76,4,15.92
77,4,15.8
78,4,15.12
79,4,14.56
80,4,14.39
81,4,13.52
82,4,12.88
83,4,12.25
84,4,11.9
85,4,12.09
86,4,9.87
87,4,10.32
88,4,10.84
89,4,10.08
90,4,10.16
91,4,10.07
92,4,9.78
93,4,9.23
94,4,9.24
95,4,9.15
96,4,9.05
97,4,8.69
98,4,9.49
99,4,9.81
0,4,-491.47
1,4,-4.88
2,4,9.53
3,4,10.47
4,4,9.99
5,4,9.97
6,4,11.29
7,4,10.78
8,4,10.92
9,4,10.6
10,4,10.25
11,4,9.73
12,4,11.01
13,4,10.52
14,4,9.93
15,4,11.33
16,4,11.38
17,4,11.36
18,4,11.05
19,4,11.65
20,4,11.2
21,4,10.38
22,4,10.99
23,4,11.11
24,4,11.55
25,4,11.6
26,4,11.44
27,4,12.23
28,4,10.96
29,4,11.89
30,4,11.86
31,4,12.09
32,4,12.34
33,4,12.09
34,4,12.11
35,4,11.96
36,4,13.22
37,4,12.7
38,4,12.51
39,4,13.18
40,4,13.03
41,4,14.61
42,4,12.98
43,4,14.6
44,4,15.13
45,4,14.98
46,4,15.54
47,4,15.63
48,4,16.47
49,4,16.36
50,4,17.59
51,4,18.16
52,4,18.12
53,4,18.51
54,4,20.08
55,4,20.5
56,4,19.97
57,4,21.04
58,4,21.66
59,4,22.43
60,4,21.52
61,4,21.84
62,4,22.78
63,4,22.81
64,4,24.15
65,4,25.08
66,4,25.9
67,4,27.18
68,4,26.36
69,4,27.41
70,4,29.06
71,4,28.71
72,4,30.16
73,4,30.92
74,4,32.95
75,4,34.13
76,4,34.77
77,4,35.29
78,4,35.91
79,4,35.2
80,4,35.17
81,4,33.06
82,4,32.45
83,4,32.07
84,4,30.95
85,4,30.51
86,4,28.04
87,4,27.0
88,4,27.16
89,4,25.8
90,4,25.58
91,4,25.59
92,4,24.36
93,4,23.98
94,4,22.49
95,4,22.7
96,4,22.21
97,4,22.4
98,4,22.03
99,4,21.48
0,4,1.9
1,4,11.1
2,4,10.78
3,4,11.35
4,4,11.78
5,4,10.42
6,4,11.93
7,4,12.63
8,4,12.7
9,4,12.16
10,4,12.48
11,4,12.05
12,4,13.5
13,4,13.49
14,4,13.11
15,4,13.69
16,4,14.46
17,4,14.89
18,4,15.15
19,4,15.38
20,4,16.26
21,4,15.77
22,4,17.08
23,4,16.47
24,4,16.63
25,4,18.13
26,4,18.65
27,4,19.55
28,4,17.94
29,4,19.35
30,4,19.05
31,4,19.2
32,4,20.64
33,4,20.93
34,4,20.25
35,4,21.03
36,4,21.52
37,4,21.09
38,4,20.93
39,4,21.6
40,4,22.05
41,4,22.59
42,4,21.92
43,4,22.88
44,4,23.74
45,4,24.17
46,4,24.74
47,4,24.45
48,4,24.85
49,4,25.31
50,4,25.39
51,4,25.69
52,4,24.55
53,4,25.04
54,4,25.14
55,4,25.51
56,4,24.71
57,4,23.8
58,4,25.23
59,4,25.38
60,4,24.13
61,4,23.37
62,4,23.19
63,4,23.05
64,4,23.36
65,4,22.5
66,4,21.55
67,4,21.64
68,4,21.29
69,4,21.59
70,4,21.31
71,4,20.12
72,4,21.73
73,4,19.32
74,4,19.91
75,4,20.27
76,4,19.71
77,4,19.23
78,4,19.33
79,4,18.16
80,4,18.43
81,4,17.58
82,4,17.52
83,4,17.4
84,4,16.71
85,4,17.52
86,4,15.14
87,4,15.62
88,4,14.89
89,4,14.02
90,4,14.43
91,4,14.3
92,4,13.82
93,4,13.08
94,4,12.67
95,4,12.58
96,4,12.73
97,4,12.17
98,4,12.23
99,4,12.78
