clip_id,split,motion,n_warnings,w1_class,w1_side,w2_class,w2_side,danger_tier,car_side,scenario,seed,scene_type,n_car
fold20_room1_mix0001,fold20,walk,1,siren,R,,,critical,L,v11core,12000000000,arterial,2
fold20_room1_mix0002,fold20,static,2,bike_bell,L,crossing,R,safe,L,v11core,12000104729,arterial,1
fold20_room1_mix0003,fold20,walk,0,,,,,safe,R,v11core,12000209458,daily,2
fold20_room1_mix0004,fold20,walk,1,horn,R,,,na,,v11core,12000314187,residential,0
fold20_room1_mix0005,fold20,static,0,,,,,caution,R,v11core,12000418916,daily,2
fold20_room1_mix0006,fold20,static,0,,,,,caution,R,v11core,12000523645,residential,1
fold20_room1_mix0007,fold20,walk,1,crossing,L,,,critical,L,v11core,12000628374,residential,1
fold20_room1_mix0008,fold20,static,2,siren,L,backup_beep,L,na,,v11core,12000733103,residential,0
fold20_room1_mix0009,fold20,static,1,siren,L,,,safe,L,v11core,12000837832,residential,1
fold20_room1_mix0010,fold20,static,0,,,,,safe,L,v11core,12000942561,daily,1
fold20_room1_mix0011,fold20,static,1,siren,R,,,safe,R,v11core,12001047290,residential,1
fold20_room1_mix0012,fold20,walk,1,bike_bell,L,,,critical,L,v11core,12001152019,residential,1
fold20_room1_mix0013,fold20,static,1,bike_bell,R,,,caution,L,v11core,12001256748,residential,1
fold20_room1_mix0014,fold20,walk,1,backup_beep,R,,,critical,L,v11core,12001361477,daily,2
fold20_room1_mix0015,fold20,static,0,,,,,caution,L,v11core,12001466206,daily,1
fold20_room1_mix0016,fold20,walk,1,bike_bell,R,,,na,,v11core,12001570935,residential,0
fold20_room1_mix0017,fold20,static,0,,,,,safe,R,v11core,12001675664,arterial,2
fold20_room1_mix0018,fold20,walk,1,crossing,L,,,critical,R,v11core,12001780393,residential,1
fold20_room1_mix0019,fold20,static,0,,,,,critical,R,v11core,12001885122,residential,2
fold20_room1_mix0020,fold20,walk,1,horn,R,,,caution,L,v11core,12001989851,arterial,3
fold20_room1_mix0021,fold20,walk,1,backup_beep,L,,,safe,L,v11core,12002094580,arterial,1
fold20_room1_mix0022,fold20,walk,2,backup_beep,L,backup_beep,R,caution,R,v11core,12002199309,arterial,1
fold20_room1_mix0023,fold20,walk,0,,,,,critical,L,v11core,12002304038,daily,2
fold20_room1_mix0024,fold20,static,0,,,,,na,,v11core,12002408767,residential,0
fold20_room1_mix0025,fold20,walk,1,crossing,L,,,caution,R,v11core,12002513496,residential,1
fold20_room1_mix0026,fold20,static,1,horn,R,,,caution,R,v11core,12002618225,arterial,2
fold20_room1_mix0027,fold20,walk,0,,,,,na,,v11core,12002722954,residential,0
fold20_room1_mix0028,fold20,walk,1,crossing,L,,,na,,v11core,12002827683,daily,0
fold20_room1_mix0029,fold20,static,1,backup_beep,L,,,caution,L,v11core,12002932412,arterial,1
fold20_room1_mix0030,fold20,walk,1,backup_beep,L,,,na,,v11core,12003037141,residential,0
fold20_room1_mix0031,fold20,static,1,horn,R,,,critical,L,v11core,12003141870,daily,3
fold20_room1_mix0032,fold20,walk,0,,,,,safe,L,v11core,12003246599,residential,1
fold20_room1_mix0033,fold20,static,2,backup_beep,R,backup_beep,L,caution,R,v11core,12003351328,residential,1
fold20_room1_mix0034,fold20,static,0,,,,,na,,v11core,12003456057,residential,0
fold20_room1_mix0035,fold20,static,1,backup_beep,R,,,na,,v11core,12003560786,daily,0
fold20_room1_mix0036,fold20,walk,1,crossing,R,,,caution,R,v11core,12003665515,daily,1
fold20_room1_mix0037,fold20,static,1,backup_beep,R,,,safe,L,v11core,12003770244,daily,1
fold20_room1_mix0038,fold20,static,0,,,,,caution,L,v11core,12003874973,arterial,1
fold20_room1_mix0039,fold20,walk,1,crossing,R,,,safe,L,v11core,12003979702,daily,1
fold20_room1_mix0040,fold20,static,2,backup_beep,R,crossing,L,caution,L,v11core,12004084431,arterial,1
fold20_room1_mix0041,fold20,walk,1,crossing,R,,,critical,R,v11core,12004189160,arterial,2
fold20_room1_mix0042,fold20,static,0,,,,,na,,v11core,12004293889,residential,0
fold20_room1_mix0043,fold20,walk,1,crossing,R,,,safe,R,v11core,12004398618,residential,1
fold20_room1_mix0044,fold20,walk,1,siren,R,,,na,,v11core,12004503347,residential,0
fold20_room1_mix0045,fold20,static,0,,,,,safe,L,v11core,12004608076,arterial,2
fold20_room1_mix0046,fold20,static,0,,,,,critical,R,v11core,12004712805,daily,3
fold20_room1_mix0047,fold20,walk,1,siren,R,,,caution,L,v11core,12004817534,residential,1
fold20_room1_mix0048,fold20,walk,1,crossing,R,,,safe,R,v11core,12004922263,daily,1
fold20_room1_mix0049,fold20,walk,1,siren,L,,,caution,R,v11core,12005026992,daily,2
fold20_room1_mix0050,fold20,walk,0,,,,,caution,R,v11core,12005131721,residential,1
fold20_room1_mix0051,fold20,static,1,horn,R,,,safe,R,v11core,12005236450,daily,1
fold20_room1_mix0052,fold20,walk,0,,,,,critical,L,v11core,12005341179,arterial,2
fold20_room1_mix0053,fold20,walk,0,,,,,safe,L,v11core,12005445908,daily,1
fold20_room1_mix0054,fold20,static,0,,,,,caution,R,v11core,12005550637,arterial,2
fold20_room1_mix0055,fold20,static,0,,,,,na,,v11core,12005655366,residential,0
fold20_room1_mix0056,fold20,walk,2,backup_beep,L,bike_bell,L,caution,R,v11core,12005760095,daily,2
fold20_room1_mix0057,fold20,walk,2,backup_beep,R,backup_beep,L,critical,R,v11core,12005864824,daily,2
fold20_room1_mix0058,fold20,walk,1,siren,R,,,na,,v11core,12005969553,residential,0
fold20_room1_mix0059,fold20,static,2,siren,R,crossing,L,caution,L,v11core,12006074282,daily,2
fold20_room1_mix0060,fold20,static,0,,,,,critical,R,v11core,12006179011,daily,1
fold20_room1_mix0061,fold20,static,0,,,,,safe,R,v11core,12006283740,daily,1
fold20_room1_mix0062,fold20,walk,1,siren,L,,,na,,v11core,12006388469,residential,0
fold20_room1_mix0063,fold20,walk,1,bike_bell,L,,,caution,R,v11core,12006493198,daily,1
fold20_room1_mix0064,fold20,walk,0,,,,,caution,R,v11core,12006597927,residential,1
fold20_room1_mix0065,fold20,walk,0,,,,,safe,R,v11core,12006702656,residential,2
fold20_room1_mix0066,fold20,static,1,horn,L,,,safe,L,v11core,12006807385,daily,2
fold20_room1_mix0067,fold20,static,0,,,,,critical,R,v11core,12006912114,residential,1
fold20_room1_mix0068,fold20,static,0,,,,,safe,R,v11core,12007016843,arterial,1
fold20_room1_mix0069,fold20,walk,0,,,,,caution,R,v11core,12007121572,daily,1
fold20_room1_mix0070,fold20,static,1,horn,L,,,safe,R,v11core,12007226301,daily,2
fold20_room1_mix0071,fold20,walk,0,,,,,critical,L,v11core,12007331030,daily,1
fold20_room1_mix0072,fold20,static,0,,,,,caution,R,v11core,12007435759,daily,2
fold20_room1_mix0073,fold20,walk,1,crossing,L,,,critical,R,v11core,12007540488,daily,1
fold20_room1_mix0074,fold20,static,0,,,,,na,,v11core,12007645217,residential,0
fold20_room1_mix0075,fold20,static,1,crossing,R,,,na,,v11core,12007749946,residential,0
fold20_room1_mix0076,fold20,static,2,siren,L,horn,R,safe,L,v11core,12007854675,daily,2
fold20_room1_mix0077,fold20,static,1,horn,R,,,safe,L,v11core,12007959404,daily,3
fold20_room1_mix0078,fold20,walk,0,,,,,na,,v11core,12008064133,residential,0
fold20_room1_mix0079,fold20,walk,2,siren,L,bike_bell,L,safe,R,v11core,12008168862,residential,1
fold20_room1_mix0080,fold20,walk,0,,,,,caution,R,v11core,12008273591,residential,1
