frame,class,snr_a_db
0,4,-490.21
1,4,-489.96
2,4,5.54
3,4,8.27
4,4,8.42
5,4,8.58
6,4,7.57
7,4,8.63
8,4,8.7
9,4,8.58
10,4,8.27
11,4,9.05
12,4,8.74
13,4,7.15
14,4,9.77
15,4,9.18
16,4,9.29
17,4,9.38
18,4,8.14
19,4,9.06
20,4,9.9
21,4,9.81
22,4,9.73
23,4,10.64
24,4,9.65
25,4,9.87
26,4,9.85
27,4,10.84
28,4,10.75
29,4,10.09
30,4,10.69
31,4,11.35
32,4,10.58
33,4,11.08
34,4,9.75
35,4,11.12
36,4,10.3
37,4,11.79
38,4,11.95
39,4,11.28
40,4,11.02
41,4,11.71
42,4,11.75
43,4,12.13
44,4,12.36
45,4,10.76
46,4,12.51
47,4,13.2
48,4,12.97
49,4,13.66
50,4,14.15
51,4,14.74
52,4,15.92
53,4,16.53
54,4,17.43
55,4,19.24
56,4,19.09
57,4,20.22
58,4,20.24
59,4,20.87
60,4,21.68
61,4,21.95
62,4,22.83
63,4,24.1
64,4,25.29
65,4,25.63
66,4,27.51
67,4,27.63
68,4,28.7
69,4,31.05
70,4,32.56
71,4,34.33
72,4,34.93
73,4,34.73
74,4,33.82
75,4,32.41
76,4,30.25
77,4,29.36
78,4,27.4
79,4,26.17
80,4,26.32
81,4,24.68
82,4,22.8
83,4,22.21
84,4,21.87
85,4,22.39
86,4,21.17
87,4,22.26
88,4,19.17
89,4,19.39
90,4,19.62
91,4,17.93
92,4,16.1
93,4,16.74
94,4,13.93
95,4,13.93
96,4,13.96
97,4,13.44
98,4,13.13
99,4,13.14
0,0,-490.21
1,0,-343.8
2,0,58.57
3,0,59.99
4,0,59.6
5,0,59.86
6,0,59.15
7,0,60.48
8,0,59.79
9,0,60.22
10,0,59.81
11,0,60.41
12,0,60.23
13,0,59.08
14,0,61.54
15,0,61.04
16,0,61.57
17,0,60.84
18,0,60.45
19,0,60.84
20,0,61.89
21,0,61.76
22,0,61.45
23,0,62.47
24,0,62.37
25,0,61.73
26,0,62.41
27,0,62.9
28,0,62.91
29,0,62.03
30,0,62.6
31,0,63.37
32,0,63.37
33,0,63.36
34,0,62.64
35,0,63.51
36,0,63.38
37,0,64.4
38,0,64.94
39,0,64.17
40,0,64.46
41,0,64.55
42,0,64.84
43,0,65.71
44,0,65.67
45,0,65.26
46,0,65.77
47,0,66.87
48,0,66.63
49,0,67.43
50,0,68.2
51,0,68.34
52,0,69.71
53,0,70.06
54,0,70.96
55,0,72.53
56,0,73.1
57,0,76.87
58,0,78.0
59,0,78.66
60,0,78.53
61,0,77.52
62,0,76.87
63,0,75.34
64,0,72.84
65,0,69.73
66,0,69.74
67,0,68.78
68,0,68.08
69,0,67.54
70,0,67.9
71,0,67.45
72,0,67.09
73,0,66.52
74,0,66.72
75,0,65.81
76,0,65.3
77,0,65.11
78,0,64.48
79,0,64.77
80,0,64.87
81,0,64.73
82,0,64.12
83,0,64.03
84,0,63.82
85,0,64.25
86,0,63.33
87,0,63.99
88,0,63.3
89,0,63.1
90,0,63.42
91,0,62.82
92,0,62.35
93,0,63.3
94,0,61.24
95,0,61.45
96,0,62.27
97,0,61.73
98,0,61.88
99,0,62.06
