clip_id,split,motion,n_warnings,w1_class,w1_side,w2_class,w2_side,danger_tier,car_side,scenario,seed,scene_type,n_car,rain,rain_rate,rain_dba,grammar,close_slow,cs_cpa_m,cs_speed_kmh,cs_level_adj_db,mic_z,h_copy
fold1_room1_mix0001,fold1,static,0,,,,,caution,L,v11core,12420025651,daily,1,,,,v16,,,,,1.532,1
fold1_room1_mix0002,fold1,static,2,bike_bell,L,crossing,L,safe,L,v11core,12420025652,daily,2,,,,v16,,,,,1.699,1
fold1_room1_mix0003,fold1,static,1,crossing,L,,,safe,L,v11core,12420025653,daily,1,,,,v16,,,,,1.550,1
fold1_room1_mix0004,fold1,walk,0,,,,,na,,v11core,12420025654,residential,0,,,,v16,,,,,1.965,1
fold1_room1_mix0005,fold1,static,1,crossing,L,,,caution,L,v11core,12420025655,daily,2,,,,v16,,,,,2.022,1
fold1_room1_mix0006,fold1,walk,0,,,,,safe,R,v11core,12420025656,arterial,2,,,,v16,,,,,1.599,1
fold1_room1_mix0007,fold1,static,0,,,,,na,,v11core,12420025657,residential,0,,,,v16,,,,,1.757,1
fold1_room1_mix0008,fold1,static,1,bike_bell,R,,,safe,L,v11core,12420025658,arterial,3,,,,v16,,,,,1.957,1
fold1_room1_mix0009,fold1,walk,0,,,,,caution,L,v11core,12420025659,daily,1,,,,v16,,,,,1.927,1
fold1_room1_mix0010,fold1,walk,1,horn,L,,,safe,R,v11core,12420025660,daily,1,,,,v16,,,,,1.745,1
fold1_room1_mix0011,fold1,static,2,bike_bell,L,bike_bell,R,caution,R,v11core,12420025661,daily,1,,,,v16,,,,,1.934,1
fold1_room1_mix0012,fold1,static,0,,,,,caution,R,v11core,12420025662,daily,1,,,,v16,,,,,1.460,1
fold1_room1_mix0013,fold1,static,2,horn,R,bike_bell,L,critical,R,v11core,12420025663,residential,1,,,,v16,1,0.99,15.0,-8.6,1.833,1
fold1_room1_mix0014,fold1,static,0,,,,,safe,R,v11core,12420025664,arterial,2,,,,v16,,,,,1.870,1
fold1_room1_mix0015,fold1,walk,1,siren,L,,,safe,R,v11core,12420025665,residential,2,light,150,47.2,v16,,,,,1.423,1
fold1_room1_mix0016,fold1,walk,2,horn,L,backup_beep,L,caution,R,v11core,12420025666,arterial,1,,,,v16,,,,,1.518,1
fold1_room1_mix0017,fold1,walk,1,backup_beep,R,,,critical,L,v11core,12420025667,residential,2,,,,v16,,,,,1.818,1
fold1_room1_mix0018,fold1,walk,2,siren,L,crossing,L,safe,L,v11core,12420025668,arterial,2,,,,v16,,,,,1.555,1
fold1_room1_mix0019,fold1,walk,1,bike_bell,L,,,safe,L,v11core,12420025669,residential,1,heavy,2500,66.2,v16,,,,,1.480,1
fold1_room1_mix0020,fold1,walk,0,,,,,na,,v11core,12420025670,residential,0,light,150,48.6,v16,,,,,1.910,1
fold1_room1_mix0021,fold1,walk,0,,,,,caution,L,v11core,12420025671,daily,2,,,,v16,,,,,2.048,1
fold1_room1_mix0022,fold1,static,1,horn,R,,,critical,R,v11core,12420025672,arterial,3,,,,v16,,,,,2.018,1
fold1_room1_mix0023,fold1,walk,1,crossing,L,,,caution,R,v11core,12420025673,daily,2,,,,v16,,,,,1.770,1
fold1_room1_mix0024,fold1,walk,0,,,,,caution,L,v11core,12420025674,residential,1,light,150,46.4,v16,,,,,1.404,1
fold1_room1_mix0025,fold1,walk,0,,,,,safe,R,v11core,12420025675,daily,2,,,,v16,,,,,1.648,1
fold1_room1_mix0026,fold1,walk,1,backup_beep,L,,,critical,R,v11core,12420025676,arterial,3,,,,v16,,,,,1.457,1
fold1_room1_mix0027,fold1,walk,1,crossing,L,,,safe,L,v11core,12420025677,daily,1,,,,v16,,,,,1.900,1
fold1_room1_mix0028,fold1,static,2,backup_beep,L,bike_bell,R,safe,R,v11core,12420025678,residential,1,,,,v16,,,,,1.849,1
fold1_room1_mix0029,fold1,static,0,,,,,safe,R,v11core,12420025679,arterial,2,,,,v16,,,,,1.617,1
fold1_room1_mix0030,fold1,walk,0,,,,,safe,L,v11core,12420025680,daily,1,,,,v16,,,,,1.404,1
fold1_room1_mix0031,fold1,walk,0,,,,,safe,L,v11core,12420025681,arterial,3,,,,v16,,,,,1.561,1
fold1_room1_mix0032,fold1,static,0,,,,,safe,R,v11core,12420025682,residential,2,moderate,600,56.9,v16,,,,,1.696,1
fold1_room1_mix0033,fold1,walk,1,horn,L,,,caution,R,v11core,12420025683,daily,1,,,,v16,,,,,1.732,1
fold1_room1_mix0034,fold1,walk,1,siren,R,,,safe,L,v11core,12420025684,residential,2,light,150,48.7,v16,,,,,1.672,1
fold1_room1_mix0035,fold1,walk,1,crossing,R,,,na,,v11core,12420025685,residential,0,light,150,45.4,v16,,,,,1.973,1
fold1_room1_mix0036,fold1,walk,0,,,,,caution,R,v11core,12420025686,residential,1,moderate,600,52.7,v16,,,,,1.465,1
fold1_room1_mix0037,fold1,walk,1,siren,R,,,na,,v11core,12420025687,residential,0,,,,v16,,,,,1.444,1
fold1_room1_mix0038,fold1,static,0,,,,,safe,R,v11core,12420025688,arterial,3,,,,v16,,,,,1.872,1
fold1_room1_mix0039,fold1,walk,0,,,,,caution,R,v11core,12420025689,daily,1,,,,v16,,,,,1.587,1
fold1_room1_mix0040,fold1,static,1,siren,R,,,na,,v11core,12420025690,residential,0,heavy,2500,60.8,v16,,,,,1.755,1
fold1_room1_mix0041,fold1,walk,1,siren,L,,,safe,R,v11core,12420025691,daily,2,,,,v16,,,,,1.826,1
fold1_room1_mix0042,fold1,static,2,backup_beep,L,backup_beep,R,safe,R,v11core,12420025692,residential,1,,,,v16,,,,,1.972,1
fold1_room1_mix0043,fold1,static,2,siren,R,bike_bell,R,critical,L,v11core,12420025693,daily,1,light,150,45.7,v16,1,0.90,6.4,-7.7,1.956,1
fold1_room1_mix0044,fold1,walk,1,bike_bell,R,,,safe,R,v11core,12420025694,daily,1,,,,v16,,,,,2.076,1
fold1_room1_mix0045,fold1,walk,2,backup_beep,L,backup_beep,R,safe,L,v11core,12420025695,daily,2,,,,v16,,,,,1.590,1
fold1_room1_mix0046,fold1,walk,2,siren,R,horn,L,critical,L,v11core,12420025696,residential,1,,,,v16,,,,,2.091,1
fold1_room1_mix0047,fold1,walk,1,siren,L,,,critical,R,v11core,12420025697,residential,1,,,,v16,,,,,1.585,1
fold1_room1_mix0048,fold1,static,0,,,,,safe,L,v11core,12420025698,daily,1,,,,v16,,,,,1.473,1
fold1_room1_mix0049,fold1,static,0,,,,,safe,R,v11core,12420025699,residential,1,,,,v16,,,,,1.650,1
fold1_room1_mix0050,fold1,static,0,,,,,critical,R,v11core,12420025700,daily,1,,,,v16,,,,,2.007,1
fold1_room1_mix0051,fold1,walk,0,,,,,critical,R,v11core,12420025701,residential,1,,,,v16,,,,,1.834,1
fold1_room1_mix0052,fold1,walk,0,,,,,critical,L,v11core,12420025702,daily,2,,,,v16,,,,,1.525,1
fold1_room1_mix0053,fold1,walk,0,,,,,caution,R,v11core,12420025703,arterial,3,,,,v16,,,,,1.669,1
fold1_room1_mix0054,fold1,walk,2,siren,L,bike_bell,R,critical,R,v11core,12420025704,daily,1,,,,v16,1,0.66,11.9,-9.3,1.974,1
fold1_room1_mix0055,fold1,walk,1,siren,R,,,na,,v11core,12420025705,residential,0,,,,v16,,,,,2.061,1
fold1_room1_mix0056,fold1,walk,2,bike_bell,L,bike_bell,R,critical,R,v11core,12420025706,daily,2,heavy,2500,62.6,v16,,,,,2.056,1
fold1_room1_mix0057,fold1,walk,1,bike_bell,R,,,na,,v11core,12420025707,residential,0,,,,v16,,,,,1.506,1
fold1_room1_mix0058,fold1,static,1,bike_bell,R,,,critical,R,v11core,12420025708,residential,1,light,150,47.8,v16,,,,,1.474,1
fold1_room1_mix0059,fold1,walk,2,siren,R,horn,R,safe,L,v11core,12420025709,daily,1,,,,v16,,,,,1.522,1
fold1_room1_mix0060,fold1,walk,0,,,,,caution,R,v11core,12420025710,arterial,3,,,,v16,,,,,1.669,1
fold1_room1_mix0061,fold1,static,2,bike_bell,L,crossing,R,safe,R,v11core,12420025711,residential,1,,,,v16,,,,,1.563,1
fold1_room1_mix0062,fold1,static,1,crossing,L,,,safe,L,v11core,12420025712,arterial,2,,,,v16,,,,,1.830,1
fold1_room1_mix0063,fold1,walk,1,crossing,R,,,safe,R,v11core,12420025713,arterial,3,,,,v16,,,,,1.457,1
fold1_room1_mix0064,fold1,walk,0,,,,,caution,L,v11core,12420025714,daily,3,,,,v16,,,,,2.058,1
fold1_room1_mix0065,fold1,walk,0,,,,,caution,L,v11core,12420025715,daily,1,,,,v16,,,,,1.679,1
fold1_room1_mix0066,fold1,walk,0,,,,,caution,R,v11core,12420025716,daily,2,,,,v16,,,,,1.592,1
fold1_room1_mix0067,fold1,static,1,bike_bell,L,,,critical,L,v11core,12420025717,residential,1,,,,v16,,,,,1.991,1
fold1_room1_mix0068,fold1,walk,0,,,,,safe,R,v11core,12420025718,daily,1,,,,v16,,,,,1.608,1
fold1_room1_mix0069,fold1,walk,1,backup_beep,R,,,caution,R,v11core,12420025719,residential,1,,,,v16,,,,,2.077,1
fold1_room1_mix0070,fold1,walk,2,siren,L,backup_beep,L,safe,R,v11core,12420025720,arterial,2,,,,v16,,,,,1.818,1
fold1_room1_mix0071,fold1,walk,2,bike_bell,L,bike_bell,R,caution,R,v11core,12420025721,daily,1,heavy,2500,64.1,v16,,,,,1.797,1
fold1_room1_mix0072,fold1,walk,1,backup_beep,L,,,critical,L,v11core,12420025722,daily,2,,,,v16,,,,,1.699,1
fold1_room1_mix0073,fold1,static,1,backup_beep,R,,,critical,L,v11core,12420025723,daily,2,,,,v16,,,,,1.881,1
fold1_room1_mix0074,fold1,static,0,,,,,critical,R,v11core,12420025724,daily,1,,,,v16,1,0.76,9.8,-7.7,1.940,1
fold1_room1_mix0075,fold1,walk,0,,,,,na,,v11core,12420025725,residential,0,,,,v16,,,,,1.460,1
fold1_room1_mix0076,fold1,walk,1,bike_bell,L,,,safe,L,v11core,12420025726,residential,1,,,,v16,,,,,1.656,1
fold1_room1_mix0077,fold1,walk,1,bike_bell,R,,,critical,R,v11core,12420025727,daily,2,,,,v16,,,,,1.743,1
fold1_room1_mix0078,fold1,static,1,crossing,L,,,caution,L,v11core,12420025728,daily,1,,,,v16,,,,,1.684,1
fold1_room1_mix0079,fold1,walk,1,bike_bell,L,,,na,,v11core,12420025729,daily,0,light,150,48.7,v16,,,,,1.538,1
fold1_room1_mix0080,fold1,walk,0,,,,,critical,R,v11core,12420025730,daily,3,,,,v16,,,,,1.696,1
fold1_room1_mix0081,fold1,static,0,,,,,safe,L,v11core,12420025731,daily,1,,,,v16,,,,,1.572,1
fold1_room1_mix0082,fold1,walk,0,,,,,critical,L,v11core,12420025732,daily,1,,,,v16,,,,,1.899,1
fold1_room1_mix0083,fold1,walk,1,siren,R,,,na,,v11core,12420025733,residential,0,,,,v16,,,,,1.924,1
fold1_room1_mix0084,fold1,walk,0,,,,,critical,L,v11core,12420025734,daily,1,heavy,2500,61.2,v16,,,,,1.927,1
fold1_room1_mix0085,fold1,walk,0,,,,,na,,v11core,12420025735,residential,0,moderate,600,52.3,v16,,,,,1.719,1
fold1_room1_mix0086,fold1,static,2,horn,L,crossing,L,safe,R,v11core,12420025736,residential,1,,,,v16,,,,,1.793,1
fold1_room1_mix0087,fold1,walk,1,backup_beep,R,,,safe,L,v11core,12420025737,arterial,1,,,,v16,,,,,1.784,1
fold1_room1_mix0088,fold1,walk,1,siren,R,,,safe,L,v11core,12420025738,daily,2,,,,v16,,,,,1.704,1
fold1_room1_mix0089,fold1,walk,0,,,,,safe,R,v11core,12420025739,residential,1,,,,v16,,,,,1.434,1
fold1_room1_mix0090,fold1,walk,0,,,,,na,,v11core,12420025740,residential,0,moderate,600,50.8,v16,,,,,1.435,1
fold1_room1_mix0091,fold1,walk,0,,,,,safe,R,v11core,12420025741,arterial,1,heavy,2500,64.3,v16,,,,,2.014,1
fold1_room1_mix0092,fold1,walk,2,siren,L,siren,R,caution,R,v11core,12420025742,daily,2,,,,v16,,,,,1.660,1
fold1_room1_mix0093,fold1,walk,2,horn,R,bike_bell,L,safe,L,v11core,12420025743,daily,1,,,,v16,,,,,1.757,1
fold1_room1_mix0094,fold1,walk,1,bike_bell,L,,,safe,L,v11core,12420025744,daily,1,,,,v16,,,,,1.808,1
fold1_room1_mix0095,fold1,walk,2,siren,R,siren,L,critical,L,v11core,12420025745,residential,1,,,,v16,1,0.71,9.7,-9.6,1.776,1
fold1_room1_mix0096,fold1,walk,1,siren,R,,,na,,v11core,12420025746,residential,0,,,,v16,,,,,1.692,1
fold1_room1_mix0097,fold1,static,1,siren,L,,,critical,L,v11core,12420025747,daily,1,,,,v16,1,1.16,11.8,-8.0,1.791,1
fold1_room1_mix0098,fold1,walk,1,backup_beep,R,,,safe,L,v11core,12420025748,arterial,1,,,,v16,,,,,1.821,1
fold1_room1_mix0099,fold1,walk,0,,,,,caution,R,v11core,12420025749,daily,1,,,,v16,,,,,1.598,1
fold1_room1_mix0100,fold1,walk,1,bike_bell,R,,,caution,R,v11core,12420025750,daily,1,,,,v16,,,,,1.888,1
fold1_room1_mix0101,fold1,walk,2,bike_bell,R,crossing,R,safe,L,v11core,12420025751,residential,1,,,,v16,,,,,1.787,1
fold1_room1_mix0102,fold1,walk,0,,,,,critical,L,v11core,12420025752,arterial,2,,,,v16,,,,,1.460,1
fold1_room1_mix0103,fold1,walk,0,,,,,na,,v11core,12420025753,residential,0,moderate,600,51.0,v16,,,,,2.095,1
fold1_room1_mix0104,fold1,static,0,,,,,na,,v11core,12420025754,residential,0,,,,v16,,,,,2.017,1
fold1_room1_mix0105,fold1,walk,0,,,,,safe,R,v11core,12420025755,daily,1,,,,v16,,,,,1.675,1
fold1_room1_mix0106,fold1,walk,1,bike_bell,R,,,caution,R,v11core,12420025756,residential,1,,,,v16,,,,,2.074,1
fold1_room1_mix0107,fold1,walk,1,siren,R,,,critical,L,v11core,12420025757,daily,2,,,,v16,1,0.75,8.6,-8.8,1.988,1
fold1_room1_mix0108,fold1,static,1,bike_bell,L,,,critical,R,v11core,12420025758,daily,1,,,,v16,1,0.73,14.7,-7.7,2.005,1
