name,split,side,offset_m,speed_mps,t_cpa_s,siren_type,gain_db,peak,rms_W,az_med_err,az_max_err,el_med_err,snr_db_target,snr_db_measured,az_med_err_noisy,n_frames,result
fold1_room1_mix001,train,L,12.87,13.44,3.36,peepo,-0.31,0.0866,0.01981,0.249,0.68,0.273,9.96,9.96,0.35,99,PASS
fold1_room1_mix002,train,R,-6.56,11.39,4.49,peepo,-2.53,0.1329,0.02424,0.262,0.87,0.345,6.93,6.93,0.56,98,PASS
fold1_room1_mix003,train,L,3.4,11.16,6.27,wail,-1.21,0.2348,0.04,0.239,1.38,0.262,18.35,18.35,0.36,98,PASS
fold1_room1_mix004,train,R,-9.95,5.84,5.28,wail,-1.24,0.0954,0.02931,0.25,0.59,0.275,13.58,13.58,0.3,99,PASS
fold1_room1_mix005,train,L,10.32,7.81,4.2,peepo,-0.81,0.1554,0.02694,0.276,0.69,0.324,1.89,1.89,0.8,99,PASS
fold1_room1_mix006,train,R,-3.04,5.86,6.06,peepo,-3.39,0.2507,0.04496,0.274,1.0,0.235,6.23,6.23,0.63,99,PASS
fold1_room1_mix007,train,L,8.96,7.56,5.06,wail,-5.72,0.0656,0.01683,0.266,0.72,0.211,12.97,12.97,0.3,99,PASS
fold1_room1_mix008,train,R,-6.17,9.91,6.94,wail,-5.84,0.1065,0.01801,0.247,0.63,0.291,5.36,5.36,0.64,98,PASS
fold1_room1_mix009,train,L,10.22,6.95,5.95,peepo,-5.92,0.0704,0.01571,0.268,0.63,0.255,8.91,8.91,0.45,99,PASS
fold1_room1_mix010,train,R,-14.0,14.36,3.39,peepo,-4.73,0.0555,0.01102,0.281,0.7,0.303,6.37,6.37,0.56,99,PASS
fold1_room1_mix011,train,L,10.46,5.23,6.5,wail,-1.83,0.1086,0.02727,0.252,0.64,0.228,7.41,7.41,0.38,99,PASS
fold1_room1_mix012,train,R,-11.87,9.33,5.61,wail,-2.27,0.0848,0.01937,0.282,0.69,0.318,8.76,8.76,0.39,98,PASS
fold1_room1_mix013,train,L,5.55,13.25,5.19,peepo,-4.39,0.1172,0.01996,0.277,1.3,0.327,10.13,10.13,0.51,98,PASS
fold1_room1_mix014,train,R,-9.31,14.84,6.15,peepo,-4.05,0.0636,0.01482,0.265,0.65,0.293,18.51,18.51,0.24,97,PASS
fold1_room1_mix015,train,L,14.65,14.54,4.43,wail,-3.02,0.0591,0.01302,0.227,0.75,0.355,8.57,8.57,0.39,98,PASS
fold1_room1_mix016,train,R,-13.93,6.08,5.5,wail,-2.55,0.0971,0.01991,0.282,0.61,0.257,4.5,4.5,0.46,99,PASS
fold1_room1_mix017,train,L,7.83,6.26,3.67,peepo,-3.68,0.0868,0.02488,0.251,0.7,0.353,14.68,14.68,0.3,99,PASS
fold1_room1_mix018,train,R,-8.33,6.19,4.41,peepo,-4.89,0.069,0.02107,0.213,0.6,0.276,18.09,18.09,0.21,99,PASS
fold1_room1_mix019,train,L,12.37,11.56,4.85,wail,-3.73,0.0549,0.01462,0.246,0.75,0.271,13.6,13.6,0.24,98,PASS
fold1_room1_mix020,train,R,-8.19,11.81,3.1,wail,-5.07,0.0786,0.01559,0.249,0.68,0.32,8.77,8.77,0.44,99,PASS
fold1_room1_mix021,train,L,5.23,10.18,6.91,peepo,-5.67,0.1094,0.01998,0.245,0.72,0.29,7.26,7.26,0.73,98,PASS
fold1_room1_mix022,train,R,-11.31,13.99,3.01,peepo,-3.93,0.0995,0.01378,0.251,0.78,0.304,0.16,0.16,1.27,99,PASS
fold1_room1_mix023,train,L,7.82,12.1,4.85,wail,-3.92,0.1046,0.01823,0.284,0.81,0.311,5.58,5.58,0.66,98,PASS
fold1_room1_mix024,train,R,-8.89,5.53,4.71,wail,-2.44,0.1056,0.02802,0.228,0.61,0.195,9.48,9.48,0.31,99,PASS
fold1_room1_mix025,train,L,4.67,11.96,6.55,peepo,-1.35,0.2366,0.03247,0.249,1.13,0.319,0.56,0.56,2.44,98,PASS
fold1_room1_mix026,train,R,-13.16,14.3,4.24,peepo,-3.22,0.0785,0.0137,0.24,0.79,0.254,3.44,3.44,0.8,98,PASS
fold1_room1_mix027,train,L,7.18,14.19,5.96,wail,-4.01,0.0935,0.01749,0.26,0.83,0.298,10.84,10.84,0.42,98,PASS
fold1_room1_mix028,train,R,-7.22,10.85,3.99,wail,-1.14,0.1217,0.02751,0.299,0.88,0.247,14.99,14.99,0.37,99,PASS
fold1_room1_mix029,train,L,10.12,6.92,4.22,peepo,-2.67,0.0953,0.02308,0.233,0.64,0.19,7.49,7.49,0.39,99,PASS
fold1_room1_mix030,train,R,-12.98,9.7,3.67,peepo,-1.88,0.1055,0.01887,0.245,0.59,0.261,1.81,1.81,0.98,99,PASS
fold2_room1_mix001,val,L,9.84,8.54,5.43,wail,-4.64,0.0628,0.01712,0.237,0.72,0.205,14.33,14.33,0.35,99,PASS
fold2_room1_mix002,val,R,-10.05,5.11,4.38,wail,-3.41,0.0747,0.02379,0.233,0.62,0.261,14.36,14.36,0.3,99,PASS
