name,split,side,offset_m,speed_mps,t_cpa_s,siren_type,gain_db,peak,rms_W,az_med_err,az_max_err,el_med_err,snr_db_target,snr_db_measured,sir_db_target,sir_db_measured,t_on,t_off,az_med_err_noisy,n_frames,result
fold1_room1_mix001,train,L,12.87,13.44,3.36,peepo,-0.31,0.1129,0.01754,0.251,0.68,0.251,9.96,9.96,5.28,5.28,2.509,8.504,0.45,61,PASS
fold1_room1_mix002,train,R,-6.56,11.39,4.49,peepo,-2.53,0.135,0.01085,0.263,0.6,0.377,6.93,6.93,3.33,3.33,5.097,7.712,1.25,27,PASS
fold1_room1_mix003,train,L,3.4,11.16,6.27,wail,-1.21,0.0451,0.00639,0.228,0.46,0.235,18.35,18.35,13.25,13.25,1.47,4.189,0.29,27,PASS
fold1_room1_mix004,train,R,-9.95,5.84,5.28,wail,-1.24,0.1248,0.01749,0.208,0.59,0.256,13.58,13.58,8.5,8.5,5.537,8.161,0.31,26,PASS
fold1_room1_mix005,train,L,10.32,7.81,4.2,peepo,-0.81,0.1839,0.02108,0.344,0.69,0.212,1.89,1.89,13.59,13.59,3.339,6.334,0.72,30,PASS
fold1_room1_mix006,train,R,-3.04,5.86,6.06,peepo,-3.39,0.3011,0.04152,0.365,1.0,0.27,6.23,6.23,11.81,11.81,5.123,9.637,0.67,46,PASS
fold1_room1_mix007,train,L,8.96,7.56,5.06,wail,-5.72,0.0793,0.01317,0.266,0.72,0.198,12.97,12.97,13.24,13.24,3.541,6.11,0.3,25,PASS
fold1_room1_mix008,train,R,-6.17,9.91,6.94,wail,-5.84,0.0949,0.01101,0.212,2.18,0.234,5.36,5.36,6.26,6.26,2.359,6.731,0.71,43,PASS
fold1_room1_mix009,train,L,10.22,6.95,5.95,peepo,-5.92,0.1659,0.01278,0.278,0.64,0.299,8.91,8.91,7.69,7.69,4.977,8.792,0.59,39,PASS
fold1_room1_mix010,train,R,-14.0,14.36,3.39,peepo,-4.73,0.0598,0.00768,0.291,1.44,0.355,6.37,6.37,9.29,9.29,3.497,9.327,0.72,61,PASS
fold1_room1_mix011,train,L,10.46,5.23,6.5,wail,-1.83,0.0983,0.01652,0.309,0.62,0.189,7.41,7.41,14.81,14.81,2.23,5.945,0.41,37,PASS
fold1_room1_mix012,train,R,-11.87,9.33,5.61,wail,-2.27,0.0972,0.01821,0.291,0.69,0.344,8.76,8.76,11.14,11.14,3.218,9.175,0.37,60,PASS
fold1_room1_mix013,train,L,5.55,13.25,5.19,peepo,-4.39,0.1296,0.01861,0.277,1.3,0.333,10.13,10.13,12.7,12.7,4.385,9.629,0.64,54,PASS
fold1_room1_mix014,train,R,-9.31,14.84,6.15,peepo,-4.05,0.1491,0.01437,0.274,0.65,0.209,18.51,18.51,3.3,3.3,3.802,9.414,0.29,57,PASS
fold1_room1_mix015,train,L,14.65,14.54,4.43,wail,-3.02,0.1055,0.01144,0.186,0.75,0.346,8.57,8.57,1.14,1.14,1.019,5.54,1.85,44,PASS
fold1_room1_mix016,train,R,-13.93,6.08,5.5,wail,-2.55,0.1096,0.01193,0.318,0.61,0.359,4.5,4.5,14.05,14.05,5.46,7.869,0.43,24,PASS
fold1_room1_mix017,train,L,7.83,6.26,3.67,peepo,-3.68,0.1286,0.02152,0.278,0.7,0.358,14.68,14.68,3.79,3.79,2.704,8.048,0.44,54,PASS
fold1_room1_mix018,train,R,-8.33,6.19,4.41,peepo,-4.89,0.0906,0.00884,0.252,0.45,0.224,18.09,18.09,4.97,4.97,0.301,3.076,0.24,27,PASS
fold1_room1_mix019,train,L,12.37,11.56,4.85,wail,-3.73,0.0463,0.00429,0.238,0.47,0.299,13.6,13.6,2.87,2.87,6.938,9.38,0.34,25,PASS
fold1_room1_mix020,train,R,-8.19,11.81,3.1,wail,-5.07,0.1059,0.0133,0.3,1.22,0.252,8.77,8.77,5.87,5.87,2.584,6.994,1.64,45,PASS
fold1_room1_mix021,train,L,5.23,10.18,6.91,peepo,-5.67,0.3726,0.0183,0.253,0.72,0.225,7.26,7.26,4.72,4.72,5.76,8.582,0.63,28,PASS
fold1_room1_mix022,train,R,-11.31,13.99,3.01,peepo,-3.93,0.2687,0.01236,0.253,0.78,0.22,0.16,0.16,2.34,2.34,1.819,5.317,1.89,35,PASS
fold1_room1_mix023,train,L,7.82,12.1,4.85,wail,-3.92,0.1389,0.01497,0.283,0.82,0.35,5.58,5.58,4.91,4.91,1.096,5.273,1.29,41,PASS
fold1_room1_mix024,train,R,-8.89,5.53,4.71,wail,-2.44,0.1508,0.02096,0.186,1.01,0.218,9.48,9.48,5.52,5.52,4.207,7.866,0.88,37,PASS
fold1_room1_mix025,train,L,4.67,11.96,6.55,peepo,-1.35,0.1345,0.00968,0.246,0.73,0.27,0.56,0.56,0.89,0.89,3.386,5.633,3.83,22,PASS
fold1_room1_mix026,train,R,-13.16,14.3,4.24,peepo,-3.22,0.0967,0.01117,0.298,0.79,0.306,3.44,3.44,10.53,10.53,3.517,6.325,0.66,28,PASS
fold1_room1_mix027,train,L,7.18,14.19,5.96,wail,-4.01,0.0762,0.00874,0.294,0.75,0.222,10.84,10.84,12.92,12.92,6.384,9.614,0.38,34,PASS
fold1_room1_mix028,train,R,-7.22,10.85,3.99,wail,-1.14,0.1912,0.02653,0.327,0.88,0.267,14.99,14.99,8.62,8.62,1.11,6.554,0.45,54,PASS
fold1_room1_mix029,train,L,10.12,6.92,4.22,peepo,-2.67,0.1115,0.01736,0.215,0.64,0.16,7.49,7.49,14.03,14.03,1.834,4.908,0.24,30,PASS
fold1_room1_mix030,train,R,-12.98,9.7,3.67,peepo,-1.88,0.0593,0.00635,0.225,0.48,0.222,1.81,1.81,8.72,8.72,6.021,9.528,0.86,36,PASS
fold1_room1_mix031,train,L,9.84,8.54,5.43,wail,-4.64,0.0832,0.01597,0.227,0.72,0.252,14.33,14.33,7.41,7.41,3.008,8.372,0.3,54,PASS
fold1_room1_mix032,train,R,-10.05,5.11,4.38,wail,-3.41,0.1047,0.01394,0.21,0.57,0.294,14.36,14.36,8.94,8.94,5.162,9.36,0.35,42,PASS
fold1_room1_mix033,train,L,9.07,7.27,3.25,peepo,-5.92,0.0657,0.01203,0.228,0.68,0.192,10.14,10.14,14.86,14.86,3.229,9.065,0.4,59,PASS
fold1_room1_mix034,train,R,-10.55,8.28,5.05,peepo,-2.89,0.1036,0.01263,0.28,0.67,0.262,6.13,6.13,10.72,10.72,5.424,9.393,0.61,40,PASS
fold1_room1_mix035,train,L,9.21,9.87,5.3,wail,-1.4,0.1032,0.01833,0.231,1.36,0.253,14.73,14.73,13.59,13.59,0.826,5.524,0.17,46,PASS
fold1_room1_mix036,train,R,-11.27,12.3,4.64,wail,-0.11,0.1036,0.01852,0.194,0.82,0.272,14.17,14.17,14.74,14.74,2.558,5.386,0.31,28,PASS
fold1_room1_mix037,train,L,10.3,7.47,3.95,peepo,-0.01,0.2988,0.02277,0.296,0.62,0.255,1.6,1.6,0.12,0.12,2.014,4.783,1.08,27,PASS
fold1_room1_mix038,train,R,-11.39,13.11,6.64,peepo,-5.65,0.0605,0.00679,0.262,0.93,0.367,0.19,0.19,11.11,11.11,1.198,6.25,1.46,49,PASS
fold1_room1_mix039,train,L,3.75,9.54,3.22,wail,-5.79,0.2757,0.02314,0.276,1.18,0.344,19.08,19.08,4.6,4.6,2.207,7.619,0.31,55,PASS
fold1_room1_mix040,train,R,-6.91,6.01,4.76,wail,-5.72,0.1559,0.01754,0.272,0.77,0.239,11.87,11.87,0.13,0.13,4.19,8.906,1.69,48,PASS
fold1_room1_mix041,train,L,7.91,13.93,6.93,peepo,-0.25,0.1573,0.02338,0.287,0.93,0.228,12.77,12.77,10.55,10.55,4.885,7.968,0.64,30,PASS
