name,split,side,offset_m,speed_mps,t_cpa_s,siren_type,gain_db,peak,rms_W,az_med_err,az_max_err,el_med_err,snr_db_target,snr_db_measured,sir_db_target,sir_db_measured,t_on,t_off,interferer_source,az_med_err_noisy,n_frames,result
fold1_room1_mix001,train,L,12.87,13.44,3.36,peepo,-0.31,0.0951,0.01754,0.251,0.68,0.251,9.96,9.96,4.76,4.76,2.509,8.504,suv_dirt_road.wav,0.46,61,PASS
fold1_room1_mix002,train,R,-6.56,11.39,4.49,peepo,-2.53,0.1114,0.01085,0.263,0.6,0.377,6.93,6.93,5.5,5.5,5.097,7.712,suv_dirt_road.wav,1.09,27,PASS
fold1_room1_mix003,train,L,3.4,11.16,6.27,wail,-1.21,0.1397,0.00639,0.228,0.46,0.235,18.35,18.35,3.56,3.56,1.47,4.189,flying_drone.wav,7.86,27,PASS
fold1_room1_mix004,train,R,-9.95,5.84,5.28,wail,-1.24,0.1134,0.01749,0.208,0.59,0.256,13.58,13.58,11.0,11.0,5.537,8.161,flying_drone.wav,0.85,26,PASS
fold1_room1_mix005,train,L,10.32,7.81,4.2,peepo,-0.81,0.2326,0.02108,0.344,0.69,0.212,1.89,1.89,6.6,6.6,3.339,6.334,flying_drone.wav,6.14,30,PASS
fold1_room1_mix006,train,R,-3.04,5.86,6.06,peepo,-3.39,0.2992,0.04152,0.365,1.0,0.27,6.23,6.23,11.24,11.24,5.123,9.637,flying_drone.wav,1.03,46,PASS
fold1_room1_mix007,train,L,8.96,7.56,5.06,wail,-5.72,0.0873,0.01317,0.266,0.72,0.198,12.97,12.97,13.61,13.61,3.541,6.11,flying_drone.wav,0.72,25,PASS
fold1_room1_mix008,train,R,-6.17,9.91,6.94,wail,-5.84,0.0977,0.01101,0.212,2.18,0.234,5.36,5.36,14.69,14.69,2.359,6.731,suv_dirt_road.wav,0.6,43,PASS
fold1_room1_mix009,train,L,10.22,6.95,5.95,peepo,-5.92,0.5145,0.01278,0.278,0.64,0.299,8.91,8.91,1.4,1.4,4.977,8.792,flying_drone.wav,15.47,39,PASS
fold1_room1_mix010,train,R,-14.0,14.36,3.39,peepo,-4.73,0.0749,0.00768,0.291,1.44,0.355,6.37,6.37,6.24,6.24,3.497,9.327,flying_drone.wav,1.33,61,PASS
fold1_room1_mix011,train,L,10.46,5.23,6.5,wail,-1.83,0.1364,0.01652,0.309,0.62,0.189,7.41,7.41,6.09,6.09,2.23,5.945,flying_drone.wav,0.88,37,PASS
fold1_room1_mix012,train,R,-11.87,9.33,5.61,wail,-2.27,0.1243,0.01821,0.291,0.69,0.344,8.76,8.76,8.48,8.48,3.218,9.175,flying_drone.wav,2.34,60,PASS
fold1_room1_mix013,train,L,5.55,13.25,5.19,peepo,-4.39,0.1247,0.01861,0.277,1.3,0.333,10.13,10.13,13.44,13.44,4.385,9.629,flying_drone.wav,5.03,54,PASS
fold1_room1_mix014,train,R,-9.31,14.84,6.15,peepo,-4.05,0.0652,0.01437,0.274,0.65,0.209,18.51,18.51,13.99,13.99,3.802,9.414,suv_dirt_road.wav,0.26,57,PASS
fold1_room1_mix015,train,L,14.65,14.54,4.43,wail,-3.02,0.0894,0.01144,0.186,0.75,0.346,8.57,8.57,5.06,5.06,1.019,5.54,suv_dirt_road.wav,0.78,44,PASS
fold1_room1_mix016,train,R,-13.93,6.08,5.5,wail,-2.55,0.1211,0.01193,0.318,0.61,0.359,4.5,4.5,7.04,7.04,5.46,7.869,flying_drone.wav,2.02,24,PASS
fold1_room1_mix017,train,L,7.83,6.26,3.67,peepo,-3.68,0.1291,0.02152,0.278,0.7,0.358,14.68,14.68,4.21,4.21,2.704,8.048,suv_dirt_road.wav,0.44,54,PASS
fold1_room1_mix018,train,R,-8.33,6.19,4.41,peepo,-4.89,0.0799,0.00884,0.252,0.45,0.224,18.09,18.09,10.29,10.29,0.301,3.076,suv_dirt_road.wav,0.26,27,PASS
fold1_room1_mix019,train,L,12.37,11.56,4.85,wail,-3.73,0.0339,0.00429,0.238,0.47,0.299,13.6,13.6,9.23,9.23,6.938,9.38,suv_dirt_road.wav,0.22,25,PASS
fold1_room1_mix020,train,R,-8.19,11.81,3.1,wail,-5.07,0.0981,0.0133,0.3,1.22,0.252,8.77,8.77,6.27,6.27,2.584,6.994,suv_dirt_road.wav,2.36,45,PASS
fold1_room1_mix021,train,L,5.23,10.18,6.91,peepo,-5.67,0.1504,0.0183,0.253,0.72,0.225,7.26,7.26,14.2,14.2,5.76,8.582,suv_dirt_road.wav,0.34,28,PASS
fold1_room1_mix022,train,R,-11.31,13.99,3.01,peepo,-3.93,0.1299,0.01236,0.253,0.78,0.22,0.16,0.16,14.12,14.12,1.819,5.317,suv_dirt_road.wav,0.89,35,PASS
fold1_room1_mix023,train,L,7.82,12.1,4.85,wail,-3.92,0.1292,0.01497,0.283,0.82,0.35,5.58,5.58,6.91,6.91,1.096,5.273,suv_dirt_road.wav,0.89,41,PASS
fold1_room1_mix024,train,R,-8.89,5.53,4.71,wail,-2.44,0.2028,0.02096,0.186,1.01,0.218,9.48,9.48,0.42,0.42,4.207,7.866,suv_dirt_road.wav,2.51,37,PASS
fold1_room1_mix025,train,L,4.67,11.96,6.55,peepo,-1.35,0.1181,0.00968,0.246,0.73,0.27,0.56,0.56,5.01,5.01,3.386,5.633,suv_dirt_road.wav,2.8,22,PASS
fold1_room1_mix026,train,R,-13.16,14.3,4.24,peepo,-3.22,0.0985,0.01117,0.298,0.79,0.306,3.44,3.44,10.93,10.93,3.517,6.325,flying_drone.wav,1.74,28,PASS
fold1_room1_mix027,train,L,7.18,14.19,5.96,wail,-4.01,0.2186,0.00874,0.294,0.75,0.222,10.84,10.84,3.52,3.52,6.384,9.614,flying_drone.wav,39.0,34,PASS
fold1_room1_mix028,train,R,-7.22,10.85,3.99,wail,-1.14,0.1669,0.02653,0.327,0.88,0.267,14.99,14.99,12.56,12.56,1.11,6.554,flying_drone.wav,1.45,54,PASS
fold1_room1_mix029,train,L,10.12,6.92,4.22,peepo,-2.67,0.106,0.01736,0.215,0.64,0.16,7.49,7.49,12.26,12.26,1.834,4.908,flying_drone.wav,1.6,30,PASS
fold1_room1_mix030,train,R,-12.98,9.7,3.67,peepo,-1.88,0.0768,0.00635,0.225,0.48,0.222,1.81,1.81,0.57,0.57,6.021,9.528,flying_drone.wav,32.34,36,PASS
fold1_room1_mix031,train,L,9.84,8.54,5.43,wail,-4.64,0.0804,0.01597,0.227,0.72,0.252,14.33,14.33,10.29,10.29,3.008,8.372,suv_dirt_road.wav,0.36,54,PASS
fold1_room1_mix032,train,R,-10.05,5.11,4.38,wail,-3.41,0.1126,0.01394,0.21,0.57,0.294,14.36,14.36,5.3,5.3,5.162,9.36,flying_drone.wav,6.04,42,PASS
fold1_room1_mix033,train,L,9.07,7.27,3.25,peepo,-5.92,0.2072,0.01203,0.228,0.68,0.192,10.14,10.14,3.45,3.45,3.229,9.065,flying_drone.wav,1.67,59,PASS
fold1_room1_mix034,train,R,-10.55,8.28,5.05,peepo,-2.89,0.0991,0.01263,0.28,0.67,0.262,6.13,6.13,10.85,10.85,5.424,9.393,flying_drone.wav,1.28,40,PASS
fold1_room1_mix035,train,L,9.21,9.87,5.3,wail,-1.4,0.1543,0.01833,0.231,1.36,0.253,14.73,14.73,5.83,5.83,0.826,5.524,flying_drone.wav,4.72,46,PASS
fold1_room1_mix036,train,R,-11.27,12.3,4.64,wail,-0.11,0.1121,0.01852,0.194,0.82,0.272,14.17,14.17,14.58,14.58,2.558,5.386,flying_drone.wav,1.51,28,PASS
fold1_room1_mix037,train,L,10.3,7.47,3.95,peepo,-0.01,0.2224,0.02277,0.296,0.62,0.255,1.6,1.6,8.97,8.97,2.014,4.783,suv_dirt_road.wav,0.54,27,PASS
fold1_room1_mix038,train,R,-11.39,13.11,6.64,peepo,-5.65,0.1083,0.00679,0.262,0.93,0.367,0.19,0.19,2.85,2.85,1.198,6.25,flying_drone.wav,31.28,49,PASS
fold1_room1_mix039,train,L,3.75,9.54,3.22,wail,-5.79,0.1357,0.02314,0.276,1.18,0.344,19.08,19.08,14.02,14.02,2.207,7.619,suv_dirt_road.wav,0.29,55,PASS
fold1_room1_mix040,train,R,-6.91,6.01,4.76,wail,-5.72,0.0997,0.01754,0.272,0.77,0.239,11.87,11.87,8.17,8.17,4.19,8.906,suv_dirt_road.wav,0.36,48,PASS
fold1_room1_mix041,train,L,7.91,13.93,6.93,peepo,-0.25,0.2377,0.02338,0.287,0.93,0.228,12.77,12.77,5.49,5.49,4.885,7.968,flying_drone.wav,12.22,30,PASS
fold1_room1_mix042,train,R,-3.98,11.53,6.86,peepo,-4.79,0.0791,0.00703,0.261,0.48,0.317,11.48,11.48,7.39,7.39,2.3,5.898,suv_dirt_road.wav,0.32,34,PASS
fold1_room1_mix043,train,L,5.85,6.01,4.98,wail,-5.76,0.3076,0.02149,0.247,0.79,0.285,1.03,1.03,0.35,0.35,3.553,8.38,flying_drone.wav,15.29,48,PASS
fold1_room1_mix044,train,R,-6.2,5.33,3.54,wail,-4.83,0.2088,0.0237,0.272,0.69,0.177,16.31,16.31,0.9,0.9,2.049,6.332,suv_dirt_road.wav,1.8,43,PASS
fold1_room1_mix045,train,L,6.94,11.41,4.55,peepo,-4.79,0.1465,0.01602,0.287,1.39,0.265,3.64,3.64,5.34,5.34,3.915,9.322,suv_dirt_road.wav,1.14,56,PASS
fold1_room1_mix046,train,R,-11.4,6.14,5.31,peepo,-1.19,0.6512,0.02041,0.179,0.5,0.189,0.55,0.55,1.85,1.85,4.616,8.627,flying_drone.wav,16.48,40,PASS
fold1_room1_mix047,train,L,4.71,11.21,5.75,wail,-2.56,0.1959,0.02691,0.239,1.03,0.31,10.2,10.2,11.26,11.26,4.372,7.163,flying_drone.wav,1.79,28,PASS
fold1_room1_mix048,train,R,-11.36,6.61,3.62,wail,-2.1,0.1366,0.01258,0.205,0.63,0.258,4.8,4.8,1.89,1.89,4.582,8.493,suv_dirt_road.wav,0.49,40,PASS
fold1_room1_mix049,train,L,5.17,8.65,3.38,peepo,-2.68,0.1366,0.02038,0.248,0.8,0.258,18.39,18.39,11.7,11.7,3.444,6.594,suv_dirt_road.wav,0.47,32,PASS
fold1_room1_mix050,train,R,-5.59,13.96,3.34,peepo,-4.05,0.065,0.00686,0.244,0.61,0.349,2.65,2.65,14.63,14.63,4.216,8.021,flying_drone.wav,1.45,39,PASS
fold1_room1_mix051,train,L,3.29,11.53,6.46,wail,-2.48,0.4002,0.00946,0.223,0.5,0.248,7.54,7.54,0.57,0.57,1.056,5.504,suv_dirt_road.wav,0.59,43,PASS
fold1_room1_mix052,train,R,-10.77,14.79,5.31,wail,-3.41,0.4573,0.00766,0.34,0.66,0.233,14.65,14.65,3.73,3.73,5.74,7.876,flying_drone.wav,3.37,22,PASS
fold1_room1_mix053,train,L,9.32,6.53,4.18,peepo,-2.55,0.0989,0.01773,0.29,0.64,0.141,14.23,14.23,13.74,13.74,1.718,4.537,suv_dirt_road.wav,0.42,28,PASS
fold1_room1_mix054,train,R,-3.04,10.4,4.16,peepo,-4.27,0.3025,0.02915,0.256,1.36,0.256,8.52,8.52,1.07,1.07,3.502,9.346,flying_drone.wav,18.32,60,PASS
fold1_room1_mix055,train,L,6.69,13.52,6.8,wail,-1.29,0.186,0.02104,0.268,2.0,0.335,2.07,2.07,11.75,11.75,1.756,7.138,flying_drone.wav,5.04,52,PASS
fold1_room1_mix056,train,R,-14.61,14.87,4.32,wail,-4.17,0.0477,0.00796,0.209,0.71,0.344,15.41,15.41,14.12,14.12,4.332,8.666,suv_dirt_road.wav,0.24,45,PASS
fold1_room1_mix057,train,L,10.64,6.81,6.04,peepo,-1.82,0.3653,0.01621,0.207,0.66,0.294,0.31,0.31,7.94,7.94,5.599,7.662,flying_drone.wav,6.47,21,PASS
fold1_room1_mix058,train,R,-5.41,8.71,5.03,peepo,-3.79,0.1797,0.02443,0.335,0.82,0.233,10.72,10.72,3.67,3.67,3.69,7.777,suv_dirt_road.wav,1.47,41,PASS
fold1_room1_mix059,train,L,11.8,11.23,6.2,wail,-4.38,0.0995,0.00765,0.255,0.59,0.36,7.97,7.97,4.61,4.61,0.829,5.559,flying_drone.wav,1.59,46,PASS
fold1_room1_mix060,train,R,-4.49,10.21,5.32,wail,-0.21,0.2561,0.02975,0.249,0.85,0.354,13.68,13.68,2.96,2.96,0.459,5.386,suv_dirt_road.wav,1.46,48,PASS
fold2_room1_mix001,val,L,5.66,5.66,5.12,peepo,-5.78,0.0472,0.00684,0.265,0.49,0.156,13.51,13.51,13.78,13.78,0.859,3.036,suv_dirt_road.wav,0.31,22,PASS
fold2_room1_mix002,val,R,-11.41,13.66,4.96,peepo,-5.43,0.0555,0.00439,0.26,0.88,0.233,11.45,11.45,7.23,7.23,1.109,3.816,suv_dirt_road.wav,0.26,26,PASS
fold2_room1_mix003,val,L,14.71,8.77,3.77,wail,-2.81,0.1117,0.01212,0.303,0.64,0.063,6.31,6.31,4.29,4.29,2.629,5.334,flying_drone.wav,3.04,27,PASS
