car_side,clip_id,danger_tier,motion,n_car,n_warnings,scenario,scene_type,seed,split,w1_class,w1_side,w2_class,w2_side
L,fold30_room1_mix0001,critical,walk,2,1,v11core,arterial,13000000000,fold30,siren,R,,
L,fold30_room1_mix0002,safe,static,1,2,v11core,arterial,13000104729,fold30,bike_bell,L,crossing,R
R,fold30_room1_mix0003,safe,walk,2,0,v11core,daily,13000209458,fold30,,,,
,fold30_room1_mix0004,na,walk,0,1,v11core,residential,13000314187,fold30,horn,R,,
R,fold30_room1_mix0005,caution,static,2,0,v11core,daily,13000418916,fold30,,,,
R,fold30_room1_mix0006,caution,static,1,0,v11core,residential,13000523645,fold30,,,,
L,fold30_room1_mix0007,critical,walk,1,1,v11core,residential,13000628374,fold30,crossing,L,,
,fold30_room1_mix0008,na,static,0,2,v11core,residential,13000733103,fold30,siren,L,backup_beep,L
L,fold30_room1_mix0009,safe,static,1,1,v11core,residential,13000837832,fold30,siren,L,,
L,fold30_room1_mix0010,safe,static,1,0,v11core,daily,13000942561,fold30,,,,
R,fold30_room1_mix0011,safe,static,1,1,v11core,residential,13001047290,fold30,siren,R,,
L,fold30_room1_mix0012,critical,walk,1,1,v11core,residential,13001152019,fold30,bike_bell,L,,
L,fold30_room1_mix0013,caution,static,1,1,v11core,residential,13001256748,fold30,bike_bell,R,,
L,fold30_room1_mix0014,critical,walk,2,1,v11core,daily,13001361477,fold30,backup_beep,R,,
L,fold30_room1_mix0015,caution,static,1,0,v11core,daily,13001466206,fold30,,,,
,fold30_room1_mix0016,na,walk,0,1,v11core,residential,13001570935,fold30,bike_bell,R,,
R,fold30_room1_mix0017,safe,static,2,0,v11core,arterial,13001675664,fold30,,,,
R,fold30_room1_mix0018,critical,walk,1,1,v11core,residential,13001780393,fold30,crossing,L,,
R,fold30_room1_mix0019,critical,static,2,0,v11core,residential,13001885122,fold30,,,,
L,fold30_room1_mix0020,caution,walk,3,1,v11core,arterial,13001989851,fold30,horn,R,,
L,fold30_room1_mix0021,safe,walk,1,1,v11core,arterial,13002094580,fold30,backup_beep,L,,
R,fold30_room1_mix0022,caution,walk,1,2,v11core,arterial,13002199309,fold30,backup_beep,L,backup_beep,R
L,fold30_room1_mix0023,critical,walk,2,0,v11core,daily,13002304038,fold30,,,,
,fold30_room1_mix0024,na,static,0,0,v11core,residential,13002408767,fold30,,,,
R,fold30_room1_mix0025,caution,walk,1,1,v11core,residential,13002513496,fold30,crossing,L,,
R,fold30_room1_mix0026,caution,static,2,1,v11core,arterial,13002618225,fold30,horn,R,,
,fold30_room1_mix0027,na,walk,0,0,v11core,residential,13002722954,fold30,,,,
,fold30_room1_mix0028,na,walk,0,1,v11core,daily,13002827683,fold30,crossing,L,,
L,fold30_room1_mix0029,caution,static,1,1,v11core,arterial,13002932412,fold30,backup_beep,L,,
,fold30_room1_mix0030,na,walk,0,1,v11core,residential,13003037141,fold30,backup_beep,L,,
L,fold30_room1_mix0031,critical,static,3,1,v11core,daily,13003141870,fold30,horn,R,,
L,fold30_room1_mix0032,safe,walk,1,0,v11core,residential,13003246599,fold30,,,,
R,fold30_room1_mix0033,caution,static,1,2,v11core,residential,13003351328,fold30,backup_beep,R,backup_beep,L
,fold30_room1_mix0034,na,static,0,0,v11core,residential,13003456057,fold30,,,,
,fold30_room1_mix0035,na,static,0,1,v11core,daily,13003560786,fold30,backup_beep,R,,
R,fold30_room1_mix0036,caution,walk,1,1,v11core,daily,13003665515,fold30,crossing,R,,
L,fold30_room1_mix0037,safe,static,1,1,v11core,daily,13003770244,fold30,backup_beep,R,,
L,fold30_room1_mix0038,caution,static,1,0,v11core,arterial,13003874973,fold30,,,,
L,fold30_room1_mix0039,safe,walk,1,1,v11core,daily,13003979702,fold30,crossing,R,,
L,fold30_room1_mix0040,caution,static,1,2,v11core,arterial,13004084431,fold30,backup_beep,R,crossing,L
