frame,class,snr_a_db
0,4,1.15
1,4,10.05
2,4,10.57
3,4,9.83
4,4,9.48
5,4,11.03
6,4,10.33
7,4,11.69
8,4,11.31
9,4,11.94
10,4,13.09
11,4,12.95
12,4,13.37
13,4,15.03
14,4,15.34
15,4,14.6
16,4,15.82
17,4,15.59
18,4,16.65
19,4,16.7
20,4,15.54
21,4,16.8
22,4,17.61
23,4,18.24
24,4,18.12
25,4,17.16
26,4,17.65
27,4,19.05
28,4,19.19
29,4,19.24
30,4,20.06
31,4,20.17
32,4,20.63
33,4,21.58
34,4,23.29
35,4,24.59
36,4,23.47
37,4,24.77
38,4,25.53
39,4,27.09
40,4,27.2
41,4,28.28
42,4,29.01
43,4,30.77
44,4,31.91
45,4,33.99
46,4,36.7
47,4,38.92
48,4,37.59
49,4,36.89
50,4,35.72
51,4,33.37
52,4,31.57
53,4,30.91
54,4,28.98
55,4,27.59
56,4,26.84
57,4,26.7
58,4,24.78
59,4,24.14
60,4,25.71
61,4,24.07
62,4,23.16
63,4,23.1
64,4,21.94
65,4,21.08
66,4,20.53
67,4,19.46
68,4,19.28
69,4,19.42
70,4,18.5
71,4,19.02
72,4,18.7
73,4,18.09
74,4,17.94
75,4,16.2
76,4,16.58
77,4,15.05
78,4,16.24
79,4,16.68
80,4,14.7
81,4,15.74
82,4,14.56
83,4,15.04
84,4,13.87
85,4,13.14
86,4,12.79
87,4,12.02
88,4,11.27
89,4,11.98
90,4,10.47
91,4,10.74
92,4,10.92
93,4,10.17
94,4,10.26
95,4,10.96
96,4,9.7
97,4,10.12
98,4,9.71
99,4,10.25
0,4,-495.76
1,4,0.0
2,4,1.67
3,4,0.85
4,4,-0.15
5,4,1.48
6,4,1.35
7,4,2.2
8,4,1.55
9,4,1.53
10,4,3.01
11,4,2.24
12,4,2.5
13,4,4.22
14,4,3.33
15,4,3.19
16,4,4.37
17,4,4.08
18,4,4.69
19,4,5.35
20,4,3.71
21,4,4.73
22,4,5.57
23,4,5.69
24,4,6.8
25,4,6.63
26,4,6.58
27,4,7.66
28,4,8.07
29,4,8.18
30,4,9.16
31,4,8.29
32,4,9.24
33,4,9.53
34,4,10.96
35,4,11.01
36,4,10.33
37,4,11.55
38,4,10.59
39,4,12.88
40,4,11.08
41,4,11.7
42,4,11.88
43,4,12.24
44,4,13.39
45,4,15.05
46,4,15.86
47,4,16.21
48,4,16.32
49,4,15.97
50,4,17.41
51,4,18.36
52,4,18.1
53,4,19.88
54,4,19.08
55,4,20.28
56,4,20.73
57,4,22.09
58,4,22.55
59,4,24.6
60,4,26.05
61,4,25.47
62,4,25.77
63,4,25.49
64,4,24.3
65,4,23.48
66,4,23.48
67,4,22.31
68,4,20.87
69,4,20.58
70,4,19.52
71,4,18.38
72,4,18.18
73,4,17.33
74,4,17.52
75,4,15.7
76,4,15.24
77,4,13.79
78,4,15.21
79,4,14.64
80,4,12.36
81,4,12.53
82,4,12.38
83,4,12.42
84,4,11.98
85,4,11.42
86,4,11.02
87,4,10.83
88,4,11.11
89,4,10.76
90,4,9.69
91,4,9.76
92,4,10.09
93,4,9.04
94,4,8.96
95,4,8.87
96,4,7.48
97,4,7.17
98,4,7.42
99,4,7.61
0,0,-495.76
1,0,-495.31
2,0,-495.59
3,0,-496.21
4,0,-496.83
5,0,-495.78
6,0,-496.14
7,0,-495.68
8,0,-496.17
9,0,-496.26
10,0,-495.83
11,0,-496.19
12,0,-496.09
13,0,-494.89
14,0,-495.14
15,0,-496.05
16,0,-495.56
17,0,-495.68
18,0,-495.19
19,0,-495.12
20,0,-497.05
21,0,-496.66
22,0,-495.95
23,0,-496.05
24,0,-495.64
25,0,-496.37
26,0,-496.44
27,0,-495.67
28,0,-495.9
29,0,-496.06
30,0,-495.82
31,0,-496.8
32,0,-496.82
33,0,-496.6
34,0,-495.55
35,0,-495.15
36,0,-496.37
37,0,-496.18
38,0,-496.22
39,0,-495.47
40,0,-496.46
41,0,29.95
42,0,76.52
43,0,76.03
44,0,76.48
45,0,76.72
46,0,77.15
47,0,77.38
48,0,79.0
49,0,80.08
50,0,80.76
51,0,80.48
52,0,80.36
53,0,80.53
54,0,77.82
55,0,76.32
56,0,76.02
57,0,76.05
58,0,75.33
59,0,75.68
60,0,77.68
61,0,77.17
62,0,77.02
63,0,77.24
64,0,76.36
65,0,76.11
66,0,75.11
67,0,74.65
68,0,73.93
69,0,74.33
70,0,73.43
71,0,73.72
72,0,73.52
73,0,73.48
74,0,73.45
75,0,72.07
76,0,72.17
77,0,70.99
78,0,72.23
79,0,72.82
80,0,71.26
81,0,72.01
82,0,71.91
83,0,71.98
84,0,72.04
85,0,70.99
86,0,70.28
87,0,-353.73
88,0,-496.32
89,0,-495.45
90,0,-496.34
91,0,-496.01
92,0,-495.5
93,0,-496.08
94,0,-496.14
95,0,-495.17
96,0,-496.0
97,0,-495.78
98,0,-496.04
99,0,-495.2
