car_side,clip_id,danger_tier,motion,n_car,n_warnings,scenario,scene_type,seed,split,w1_class,w1_side,w2_class,w2_side
L,fold31_room1_mix0001,critical,walk,2,1,v11core,arterial,14000000000,fold31,siren,R,,
L,fold31_room1_mix0002,safe,static,1,2,v11core,arterial,14000104729,fold31,bike_bell,L,crossing,R
R,fold31_room1_mix0003,safe,walk,2,0,v11core,daily,14000209458,fold31,,,,
,fold31_room1_mix0004,na,walk,0,1,v11core,residential,14000314187,fold31,horn,R,,
R,fold31_room1_mix0005,caution,static,2,0,v11core,daily,14000418916,fold31,,,,
R,fold31_room1_mix0006,caution,static,1,0,v11core,residential,14000523645,fold31,,,,
L,fold31_room1_mix0007,critical,walk,1,1,v11core,residential,14000628374,fold31,crossing,L,,
,fold31_room1_mix0008,na,static,0,2,v11core,residential,14000733103,fold31,siren,L,backup_beep,L
L,fold31_room1_mix0009,safe,static,1,1,v11core,residential,14000837832,fold31,siren,L,,
L,fold31_room1_mix0010,safe,static,1,0,v11core,daily,14000942561,fold31,,,,
R,fold31_room1_mix0011,safe,static,1,1,v11core,residential,14001047290,fold31,siren,R,,
L,fold31_room1_mix0012,critical,walk,1,1,v11core,residential,14001152019,fold31,bike_bell,L,,
L,fold31_room1_mix0013,caution,static,1,1,v11core,residential,14001256748,fold31,bike_bell,R,,
L,fold31_room1_mix0014,critical,walk,2,1,v11core,daily,14001361477,fold31,backup_beep,R,,
L,fold31_room1_mix0015,caution,static,1,0,v11core,daily,14001466206,fold31,,,,
,fold31_room1_mix0016,na,walk,0,1,v11core,residential,14001570935,fold31,bike_bell,R,,
R,fold31_room1_mix0017,safe,static,2,0,v11core,arterial,14001675664,fold31,,,,
R,fold31_room1_mix0018,critical,walk,1,1,v11core,residential,14001780393,fold31,crossing,L,,
R,fold31_room1_mix0019,critical,static,2,0,v11core,residential,14001885122,fold31,,,,
L,fold31_room1_mix0020,caution,walk,3,1,v11core,arterial,14001989851,fold31,horn,R,,
L,fold31_room1_mix0021,safe,walk,1,1,v11core,arterial,14002094580,fold31,backup_beep,L,,
R,fold31_room1_mix0022,caution,walk,1,2,v11core,arterial,14002199309,fold31,backup_beep,L,backup_beep,R
L,fold31_room1_mix0023,critical,walk,2,0,v11core,daily,14002304038,fold31,,,,
,fold31_room1_mix0024,na,static,0,0,v11core,residential,14002408767,fold31,,,,
