frame,class,snr_a_db
0,4,-4.95
1,4,4.0
2,4,5.04
3,4,4.69
4,4,4.82
5,4,5.11
6,4,5.42
7,4,6.35
8,4,6.16
9,4,5.93
10,4,5.73
11,4,6.48
12,4,6.39
13,4,6.16
14,4,8.1
15,4,6.41
16,4,7.19
17,4,8.06
18,4,6.27
19,4,7.29
20,4,8.47
21,4,8.43
22,4,8.97
23,4,9.77
24,4,8.95
25,4,9.51
26,4,10.69
27,4,11.13
28,4,10.32
29,4,10.11
30,4,10.78
31,4,12.34
32,4,11.46
33,4,12.11
34,4,12.0
35,4,13.31
36,4,12.58
37,4,12.8
38,4,13.68
39,4,13.62
40,4,13.97
41,4,14.2
42,4,14.5
43,4,13.95
44,4,14.04
45,4,14.34
46,4,12.59
47,4,15.18
48,4,14.61
49,4,16.5
50,4,16.98
51,4,17.47
52,4,17.24
53,4,18.01
54,4,18.61
55,4,19.05
56,4,19.64
57,4,20.2
58,4,20.48
59,4,20.7
60,4,21.35
61,4,21.43
62,4,21.59
63,4,21.92
64,4,22.83
65,4,23.5
66,4,24.57
67,4,24.2
68,4,24.9
69,4,24.83
70,4,25.64
71,4,26.57
72,4,26.08
73,4,26.59
74,4,25.88
75,4,26.04
76,4,25.36
77,4,24.26
78,4,24.37
79,4,23.44
80,4,23.53
81,4,23.37
82,4,21.71
83,4,22.38
84,4,20.87
85,4,18.52
86,4,19.73
87,4,19.59
88,4,19.16
89,4,20.25
90,4,18.59
91,4,17.83
92,4,16.72
93,4,16.71
94,4,16.9
95,4,16.6
96,4,15.68
97,4,15.76
98,4,15.88
99,4,14.23
0,4,-500.21
1,4,-4.76
2,4,-2.26
3,4,-1.78
4,4,-2.26
5,4,-1.58
6,4,-2.39
7,4,-1.91
8,4,-1.45
9,4,-1.97
10,4,-1.69
11,4,-1.03
12,4,-0.68
13,4,-1.23
14,4,0.49
15,4,-0.95
16,4,-0.17
17,4,0.3
18,4,-1.76
19,4,-0.18
20,4,1.29
21,4,0.76
22,4,1.77
23,4,2.2
24,4,0.22
25,4,2.37
26,4,2.02
27,4,2.95
28,4,3.29
29,4,2.73
30,4,3.41
31,4,5.32
32,4,4.67
33,4,6.63
34,4,5.28
35,4,6.57
36,4,6.08
37,4,6.89
38,4,7.92
39,4,7.43
40,4,7.48
41,4,7.79
42,4,7.91
43,4,7.15
44,4,8.0
45,4,8.52
46,4,7.11
47,4,9.51
48,4,9.5
49,4,11.79
50,4,12.57
51,4,13.15
52,4,12.51
53,4,13.61
54,4,14.16
55,4,15.04
56,4,15.97
57,4,16.92
58,4,17.56
59,4,18.57
60,4,19.05
61,4,20.2
62,4,21.5
63,4,21.63
64,4,23.67
65,4,24.16
66,4,25.31
67,4,24.55
68,4,23.28
69,4,21.29
70,4,20.59
71,4,19.94
72,4,18.01
73,4,18.3
74,4,17.97
75,4,16.31
76,4,16.35
77,4,14.59
78,4,12.9
79,4,12.72
80,4,13.66
81,4,12.66
82,4,11.53
83,4,11.76
84,4,10.82
85,4,8.91
86,4,8.81
87,4,8.6
88,4,8.53
89,4,9.7
90,4,7.04
91,4,7.28
92,4,7.16
93,4,7.33
94,4,7.2
95,4,7.49
96,4,6.69
97,4,6.5
98,4,5.93
99,4,4.72
0,4,-500.21
1,4,-1.85
2,4,0.24
3,4,-0.15
4,4,-0.26
5,4,0.05
6,4,-0.22
7,4,-0.23
8,4,0.87
9,4,0.31
10,4,0.17
11,4,1.18
12,4,0.87
13,4,1.11
14,4,2.09
15,4,0.68
16,4,0.7
17,4,2.05
18,4,0.08
19,4,1.32
20,4,2.47
21,4,2.78
22,4,2.88
23,4,3.81
24,4,1.94
25,4,4.36
26,4,3.66
27,4,4.54
28,4,4.96
29,4,5.18
30,4,6.44
31,4,6.68
32,4,6.82
33,4,7.69
34,4,6.59
35,4,8.24
36,4,8.97
37,4,8.35
38,4,9.64
39,4,9.17
40,4,8.93
41,4,9.07
42,4,9.88
43,4,9.94
44,4,10.18
45,4,10.15
46,4,9.44
47,4,12.21
48,4,12.04
49,4,13.89
50,4,15.09
51,4,14.44
52,4,14.77
53,4,16.24
54,4,17.49
55,4,17.5
56,4,19.17
57,4,20.16
58,4,21.46
59,4,23.1
60,4,24.09
61,4,25.27
62,4,27.18
63,4,27.72
64,4,29.06
65,4,27.55
66,4,26.16
67,4,24.08
68,4,23.48
69,4,20.68
70,4,19.98
71,4,19.32
72,4,17.28
73,4,18.44
74,4,17.41
75,4,16.2
76,4,15.19
77,4,15.33
78,4,13.58
79,4,14.03
80,4,13.75
81,4,12.91
82,4,11.49
83,4,11.59
84,4,10.88
85,4,9.68
86,4,9.62
87,4,9.51
88,4,9.5
89,4,10.27
90,4,8.09
91,4,8.68
92,4,7.4
93,4,7.77
94,4,6.89
95,4,8.25
96,4,6.84
97,4,6.0
98,4,6.62
99,4,4.17
