name,split,side,offset_m,speed_mps,t_cpa_s,hazard_class,siren_type,gain_db,peak,rms_W,az_med_err,az_max_err,el_med_err,snr_db_target,snr_db_measured,sir_db_target,sir_db_measured,t_on,t_off,az_med_err_noisy,n_frames,result
fold1_room1_mix001,train,L,12.87,13.44,3.36,siren,peepo,-0.31,0.1184,0.01754,0.251,0.68,0.251,9.96,9.96,5.28,5.28,2.509,8.504,0.59,61,PASS
fold1_room1_mix002,train,R,-6.56,11.39,4.49,horn,-,-0.65,0.1205,0.00919,0.279,1.68,0.366,6.93,6.93,3.33,3.33,5.097,7.712,3.34,27,PASS
fold1_room1_mix003,train,L,3.4,11.16,6.27,backup_beep,-,-3.95,0.0286,0.00375,0.277,0.46,0.249,18.35,18.35,13.25,13.25,1.47,4.189,2.16,27,PASS
fold1_room1_mix004,train,R,-9.95,5.84,5.28,bike_bell,-,-3.67,0.0485,0.00316,0.37,1.08,0.252,13.58,13.58,8.5,8.5,5.537,8.161,4.43,26,PASS
fold1_room1_mix005,train,L,10.32,7.81,4.2,siren,wail,-0.81,0.1948,0.02107,0.344,0.69,0.212,1.89,1.89,13.59,13.59,3.339,6.334,0.81,30,PASS
fold1_room1_mix006,train,R,-3.04,5.86,6.06,horn,-,-0.18,0.3356,0.04024,0.395,2.67,0.261,6.23,6.23,11.81,11.81,5.123,9.637,1.16,46,PASS
fold1_room1_mix007,train,L,8.96,7.56,5.06,backup_beep,-,-1.36,0.1285,0.01732,0.509,2.12,0.222,12.97,12.97,13.24,13.24,3.541,6.11,2.02,25,PASS
fold1_room1_mix008,train,R,-6.17,9.91,6.94,bike_bell,-,-3.98,0.0681,0.00423,0.236,2.84,0.22,5.36,5.36,6.26,6.26,2.359,6.731,16.12,43,PASS
fold1_room1_mix009,train,L,10.22,6.95,5.95,siren,peepo,-5.92,0.1556,0.01278,0.278,0.64,0.299,8.91,8.91,7.69,7.69,4.977,8.792,0.96,39,PASS
fold1_room1_mix010,train,R,-14.0,14.36,3.39,horn,-,-1.54,0.0616,0.00737,0.328,2.88,0.344,6.37,6.37,9.29,9.29,3.497,9.327,0.92,61,PASS
fold1_room1_mix011,train,L,10.46,5.23,6.5,backup_beep,-,-4.68,0.0669,0.00944,0.306,1.04,0.226,7.41,7.41,14.81,14.81,2.23,5.945,1.01,37,PASS
fold1_room1_mix012,train,R,-11.87,9.33,5.61,bike_bell,-,-1.39,0.0499,0.00466,0.34,1.2,0.345,8.76,8.76,11.14,11.14,3.218,9.175,1.71,60,PASS
fold1_room1_mix013,train,L,5.55,13.25,5.19,siren,wail,-4.39,0.1309,0.01859,0.277,1.3,0.333,10.13,10.13,12.7,12.7,4.385,9.629,2.32,54,PASS
fold1_room1_mix014,train,R,-9.31,14.84,6.15,horn,-,-1.12,0.1247,0.01385,0.319,5.66,0.206,18.51,18.51,3.3,3.3,3.802,9.414,1.17,57,PASS
fold1_room1_mix015,train,L,14.65,14.54,4.43,backup_beep,-,-4.98,0.088,0.00788,0.255,1.64,0.358,8.57,8.57,1.14,1.14,1.019,5.54,9.54,44,PASS
fold1_room1_mix016,train,R,-13.93,6.08,5.5,bike_bell,-,-0.2,0.0541,0.00354,0.417,0.92,0.36,4.5,4.5,14.05,14.05,5.46,7.869,5.63,24,PASS
fold1_room1_mix017,train,L,7.83,6.26,3.67,siren,peepo,-3.68,0.1459,0.02152,0.278,0.7,0.358,14.68,14.68,3.79,3.79,2.704,8.048,0.69,54,PASS
fold1_room1_mix018,train,R,-8.33,6.19,4.41,horn,-,-2.38,0.0984,0.00782,0.347,1.13,0.224,18.09,18.09,4.97,4.97,0.301,3.076,0.7,27,PASS
fold1_room1_mix019,train,L,12.37,11.56,4.85,backup_beep,-,-2.76,0.0503,0.00444,0.271,0.77,0.299,13.6,13.6,2.87,2.87,6.938,9.38,2.33,25,PASS
fold1_room1_mix020,train,R,-8.19,11.81,3.1,bike_bell,-,-4.62,0.0316,0.00263,0.355,1.93,0.25,8.77,8.77,5.87,5.87,2.584,6.994,8.44,45,PASS
fold1_room1_mix021,train,L,5.23,10.18,6.91,siren,wail,-5.67,0.19,0.0182,0.254,0.72,0.225,7.26,7.26,4.72,4.72,5.76,8.582,1.35,28,PASS
fold1_room1_mix022,train,R,-11.31,13.99,3.01,horn,-,-1.9,0.2578,0.01076,0.469,4.2,0.208,0.16,0.16,2.34,2.34,1.819,5.317,8.21,35,PASS
fold1_room1_mix023,train,L,7.82,12.1,4.85,backup_beep,-,-5.75,0.0939,0.00989,0.296,3.05,0.375,5.58,5.58,4.91,4.91,1.096,5.273,4.36,41,PASS
fold1_room1_mix024,train,R,-8.89,5.53,4.71,bike_bell,-,-1.43,0.08,0.00565,0.298,1.26,0.216,9.48,9.48,5.52,5.52,4.207,7.866,12.29,37,PASS
fold1_room1_mix025,train,L,4.67,11.96,6.55,siren,peepo,-1.35,0.138,0.00968,0.246,0.73,0.27,0.56,0.56,0.89,0.89,3.386,5.633,8.65,22,PASS
fold1_room1_mix026,train,R,-13.16,14.3,4.24,horn,-,-5.68,0.0524,0.00586,0.413,4.13,0.31,3.44,3.44,10.53,10.53,3.517,6.325,0.91,28,PASS
fold1_room1_mix027,train,L,7.18,14.19,5.96,backup_beep,-,-2.71,0.0784,0.00782,0.304,2.05,0.232,10.84,10.84,12.92,12.92,6.384,9.614,1.73,34,PASS
fold1_room1_mix028,train,R,-7.22,10.85,3.99,bike_bell,-,-4.94,0.0591,0.00412,0.357,2.21,0.274,14.99,14.99,8.62,8.62,1.11,6.554,3.19,54,PASS
fold1_room1_mix029,train,L,10.12,6.92,4.22,siren,wail,-2.67,0.1072,0.0173,0.215,0.64,0.16,7.49,7.49,14.03,14.03,1.834,4.908,0.39,30,PASS
fold1_room1_mix030,train,R,-12.98,9.7,3.67,horn,-,-2.52,0.0362,0.00396,0.212,0.8,0.245,1.81,1.81,8.72,8.72,6.021,9.528,1.38,36,PASS
fold1_room1_mix031,train,L,9.84,8.54,5.43,backup_beep,-,-5.19,0.0825,0.01269,0.364,2.55,0.253,14.33,14.33,7.41,7.41,3.008,8.372,2.73,54,PASS
fold1_room1_mix032,train,R,-10.05,5.11,4.38,bike_bell,-,-1.47,0.0463,0.00378,0.288,0.83,0.292,14.36,14.36,8.94,8.94,5.162,9.36,1.22,42,PASS
fold1_room1_mix033,train,L,9.07,7.27,3.25,siren,peepo,-5.92,0.0668,0.01203,0.228,0.68,0.192,10.14,10.14,14.86,14.86,3.229,9.065,0.44,59,PASS
fold1_room1_mix034,train,R,-10.55,8.28,5.05,horn,-,-5.35,0.0594,0.00644,0.302,1.91,0.268,6.13,6.13,10.72,10.72,5.424,9.393,0.74,40,PASS
fold1_room1_mix035,train,L,9.21,9.87,5.3,backup_beep,-,-5.35,0.0652,0.01055,0.248,2.06,0.215,14.73,14.73,13.59,13.59,0.826,5.524,0.86,46,PASS
fold1_room1_mix036,train,R,-11.27,12.3,4.64,bike_bell,-,-1.72,0.0589,0.00384,0.324,2.05,0.272,14.17,14.17,14.74,14.74,2.558,5.386,2.12,28,PASS
fold1_room1_mix037,train,L,10.3,7.47,3.95,siren,wail,-0.01,0.2736,0.02268,0.297,0.62,0.255,1.6,1.6,0.12,0.12,2.014,4.783,3.3,27,PASS
fold1_room1_mix038,train,R,-11.39,13.11,6.64,horn,-,-4.18,0.0562,0.00551,0.279,2.47,0.37,0.19,0.19,11.11,11.11,1.198,6.25,2.61,49,PASS
fold1_room1_mix039,train,L,3.75,9.54,3.22,backup_beep,-,-1.76,0.3304,0.03277,0.305,4.91,0.346,19.08,19.08,4.6,4.6,2.207,7.619,0.89,55,PASS
fold1_room1_mix040,train,R,-6.91,6.01,4.76,bike_bell,-,-5.19,0.063,0.0046,0.355,1.7,0.236,11.87,11.87,0.13,0.13,4.19,8.906,27.79,48,PASS
fold1_room1_mix041,train,L,7.91,13.93,6.93,siren,peepo,-0.25,0.1571,0.02338,0.287,0.93,0.228,12.77,12.77,10.55,10.55,4.885,7.968,1.46,30,PASS
fold1_room1_mix042,train,R,-3.98,11.53,6.86,horn,-,-5.23,0.0549,0.00462,0.33,0.65,0.322,11.48,11.48,4.15,4.15,2.3,5.898,0.77,34,PASS
fold1_room1_mix043,train,L,5.85,6.01,4.98,backup_beep,-,-0.63,0.307,0.0321,0.385,1.98,0.291,1.03,1.03,12.81,12.81,3.553,8.38,2.7,48,PASS
fold1_room1_mix044,train,R,-6.2,5.33,3.54,bike_bell,-,-2.63,0.0809,0.00718,0.401,1.36,0.171,16.31,16.31,6.64,6.64,2.049,6.332,5.71,43,PASS
fold1_room1_mix045,train,L,6.94,11.41,4.55,siren,wail,-4.79,0.1331,0.01599,0.287,1.39,0.265,3.64,3.64,7.18,7.18,3.915,9.322,3.45,56,PASS
fold1_room1_mix046,train,R,-11.4,6.14,5.31,horn,-,-4.72,0.1367,0.00935,0.248,1.82,0.189,0.55,0.55,10.05,10.05,4.616,8.627,1.7,40,PASS
fold1_room1_mix047,train,L,4.71,11.21,5.75,backup_beep,-,-2.88,0.1525,0.02007,0.353,4.85,0.285,10.2,10.2,14.99,14.99,4.372,7.163,1.91,28,PASS
fold1_room1_mix048,train,R,-11.36,6.61,3.62,bike_bell,-,-0.43,0.0397,0.00319,0.28,1.11,0.255,4.8,4.8,4.81,4.81,4.582,8.493,1.44,40,PASS
fold1_room1_mix049,train,L,5.17,8.65,3.38,siren,peepo,-2.68,0.2874,0.02038,0.248,0.8,0.258,18.39,18.39,2.41,2.41,3.444,6.594,6.85,32,PASS
fold1_room1_mix050,train,R,-5.59,13.96,3.34,horn,-,-5.86,0.0372,0.00363,0.243,0.71,0.344,2.65,2.65,8.81,8.81,4.216,8.021,1.56,39,PASS
fold1_room1_mix051,train,L,3.29,11.53,6.46,backup_beep,-,-3.55,0.2845,0.00796,0.191,0.5,0.29,7.54,7.54,4.61,4.61,1.056,5.504,1.46,43,PASS
fold1_room1_mix052,train,R,-10.77,14.79,5.31,bike_bell,-,-2.68,0.0336,0.00212,0.283,1.22,0.228,14.65,14.65,13.75,13.75,5.74,7.876,0.51,22,PASS
fold1_room1_mix053,train,L,9.32,6.53,4.18,siren,wail,-2.55,0.1617,0.01767,0.29,0.64,0.141,14.23,14.23,2.19,2.19,1.718,4.537,1.62,28,PASS
fold1_room1_mix054,train,R,-3.04,10.4,4.16,horn,-,-3.28,0.2161,0.02321,0.323,4.06,0.278,8.52,8.52,8.7,8.7,3.502,9.346,6.06,60,PASS
fold1_room1_mix055,train,L,6.69,13.52,6.8,backup_beep,-,-3.91,0.1095,0.01163,0.305,4.03,0.342,2.07,2.07,10.21,10.21,1.756,7.138,4.84,52,PASS
fold1_room1_mix056,train,R,-14.61,14.87,4.32,bike_bell,-,-3.76,0.0413,0.00216,0.299,1.64,0.345,15.41,15.41,3.83,3.83,4.332,8.666,3.12,45,PASS
fold1_room1_mix057,train,L,10.64,6.81,6.04,siren,peepo,-1.82,0.2198,0.01621,0.207,0.66,0.294,0.31,0.31,7.69,7.69,5.599,7.662,2.41,21,PASS
fold1_room1_mix058,train,R,-5.41,8.71,5.03,horn,-,-0.11,0.1791,0.0252,0.424,2.08,0.217,10.72,10.72,6.69,6.69,3.69,7.777,2.64,41,PASS
fold1_room1_mix059,train,L,11.8,11.23,6.2,backup_beep,-,-5.06,0.0634,0.00639,0.379,1.66,0.388,7.97,7.97,9.23,9.23,0.829,5.559,1.88,46,PASS
fold1_room1_mix060,train,R,-4.49,10.21,5.32,bike_bell,-,-0.57,0.0958,0.0057,0.238,2.03,0.356,13.68,13.68,0.93,0.93,0.459,5.386,5.89,48,PASS
fold2_room1_mix001,val,L,5.66,5.66,5.12,siren,wail,-5.78,0.1144,0.00678,0.265,0.49,0.156,13.51,13.51,3.28,3.28,0.859,3.036,0.31,22,PASS
fold2_room1_mix002,val,R,-11.41,13.66,4.96,horn,-,-5.37,0.0492,0.00312,0.238,1.19,0.238,11.45,11.45,4.65,4.65,1.109,3.816,0.59,26,PASS
fold2_room1_mix003,val,L,14.71,8.77,3.77,backup_beep,-,-4.41,0.0657,0.00836,0.389,1.37,0.047,6.31,6.31,10.06,10.06,2.629,5.334,0.86,27,PASS
fold2_room1_mix004,val,R,-3.52,11.47,3.6,bike_bell,-,-1.62,0.0267,0.0022,0.296,0.81,0.248,17.08,17.08,5.64,5.64,4.616,9.172,0.81,47,PASS
fold2_room1_mix005,val,L,5.55,6.83,5.23,siren,peepo,-0.84,0.2373,0.03855,0.253,0.66,0.258,12.36,12.36,6.19,6.19,2.64,7.829,0.68,52,PASS
fold2_room1_mix006,val,R,-3.42,9.94,5.67,horn,-,-0.0,0.4706,0.03251,0.302,3.95,0.228,13.11,13.11,2.32,2.32,3.199,8.561,1.13,53,PASS
fold2_room1_mix007,val,L,3.17,8.32,6.53,backup_beep,-,-4.78,0.1269,0.01336,0.465,5.7,0.349,9.64,9.64,13.98,13.98,6.494,9.045,32.87,26,PASS
fold2_room1_mix008,val,R,-13.2,8.29,3.84,bike_bell,-,-3.13,0.0444,0.00355,0.377,1.17,0.201,11.75,11.75,0.03,0.03,2.41,6.976,36.72,46,PASS
fold2_room1_mix009,val,L,7.98,6.94,4.49,siren,wail,-0.63,0.1787,0.02461,0.294,0.71,0.217,5.93,5.93,13.26,13.26,4.357,9.026,0.69,47,PASS
fold2_room1_mix010,val,R,-7.35,9.84,4.41,horn,-,-5.96,0.0868,0.00945,0.329,1.56,0.314,3.92,3.92,3.17,3.17,3.78,8.062,20.9,44,PASS
fold2_room1_mix011,val,L,5.08,10.55,4.95,backup_beep,-,-3.59,0.1861,0.01871,0.514,3.01,0.265,4.32,4.32,10.62,10.62,3.509,6.146,1.85,26,PASS
fold2_room1_mix012,val,R,-4.72,11.54,3.2,bike_bell,-,-0.37,0.0631,0.00468,0.421,2.2,0.188,19.52,19.52,7.96,7.96,2.755,5.84,2.13,31,PASS
fold2_room1_mix013,val,L,6.55,12.34,6.6,siren,peepo,-5.14,0.1131,0.01644,0.248,0.92,0.23,12.92,12.92,6.97,6.97,3.341,8.137,2.07,47,PASS
fold2_room1_mix014,val,R,-11.39,14.94,6.45,horn,-,-1.92,0.0471,0.00367,0.283,1.06,0.41,1.95,1.95,12.57,12.57,2.853,5.133,1.71,22,PASS
fold2_room1_mix015,val,L,7.15,9.79,5.84,backup_beep,-,-1.87,0.1555,0.01922,0.288,3.36,0.145,8.24,8.24,7.15,7.15,4.034,7.035,4.1,30,PASS
fold2_room1_mix016,val,R,-12.58,12.16,4.65,bike_bell,-,-1.43,0.0238,0.00148,0.166,0.71,0.188,4.43,4.43,11.22,11.22,1.402,3.72,1.55,23,PASS
fold2_room1_mix017,val,L,4.8,9.73,6.09,siren,wail,-3.57,0.1532,0.02568,0.25,1.14,0.268,17.88,17.88,12.61,12.61,4.773,8.962,1.0,42,PASS
fold2_room1_mix018,val,R,-9.07,14.22,4.64,horn,-,-3.13,0.0886,0.01032,0.454,2.29,0.318,8.89,8.89,9.16,9.16,2.171,5.409,1.22,32,PASS
fold2_room1_mix019,val,L,5.41,12.72,6.99,backup_beep,-,-2.74,0.1908,0.0201,0.271,2.16,0.237,1.04,1.04,14.51,14.51,3.394,9.003,14.93,56,PASS
fold2_room1_mix020,val,R,-3.48,10.72,6.78,bike_bell,-,-2.49,0.1401,0.00883,0.369,3.95,0.165,14.7,14.7,2.87,2.87,4.694,8.662,100.82,39,PASS
