name,split,side,offset_m,speed_mps,t_cpa_s,hazard_class,siren_type,gain_db,peak,rms_W,az_med_err,az_max_err,el_med_err,snr_db_target,snr_db_measured,sir_db_target,sir_db_measured,t_on,t_off,az_med_err_noisy,snr_active_med_db,sir_inband_db,sir_fullclip_db,el_bias_med,n_frames,result
fold1_room1_mix001,train,L,12.87,13.44,3.36,siren,peepo,-0.31,0.1175,0.01754,0.251,0.68,0.251,9.96,9.96,5.28,5.28,2.509,8.504,0.49,12.99,17.32,6.86,-2.47,61,PASS
fold1_room1_mix002,train,L,6.56,11.39,4.49,horn,-,-0.65,0.1339,0.00924,0.267,1.7,0.377,6.93,6.93,3.33,3.33,5.097,7.712,0.82,10.09,15.08,6.52,-2.92,27,PASS
fold1_room1_mix003,train,L,3.4,11.16,6.27,backup_beep,-,-3.95,0.0286,0.00377,0.266,0.5,0.203,18.35,18.35,13.25,13.25,1.47,4.189,3.38,21.02,34.02,8.29,-1.41,27,PASS
fold1_room1_mix004,train,L,9.95,5.84,5.28,bike_bell,-,-3.67,0.0574,0.00264,0.25,1.41,0.257,13.58,13.58,8.5,8.5,5.537,8.161,5.75,15.86,23.89,10.96,-3.18,26,PASS
fold1_room1_mix005,train,R,-10.32,7.81,4.2,siren,peepo,-0.81,0.2629,0.02108,0.344,0.69,0.212,1.89,1.89,13.59,13.59,3.339,6.334,0.63,7.29,28.49,15.68,-6.01,30,PASS
fold1_room1_mix006,train,R,-3.04,5.86,6.06,horn,-,-0.18,0.4981,0.04112,0.376,5.29,0.257,6.23,6.23,11.81,11.81,5.123,9.637,0.95,12.33,23.53,13.72,-5.2,46,PASS
fold1_room1_mix007,train,R,-8.96,7.56,5.06,backup_beep,-,-1.36,0.1655,0.0186,0.374,2.72,0.223,12.97,12.97,13.24,13.24,3.541,6.11,1.55,17.31,35.47,14.86,-4.45,25,PASS
fold1_room1_mix008,train,R,-6.17,9.91,6.94,bike_bell,-,-3.98,0.0668,0.00281,0.307,1.82,0.237,5.36,5.36,6.26,6.26,2.359,6.731,0.94,11.31,20.45,9.16,-2.26,43,PASS
fold1_room1_mix009,train,L,10.22,6.95,5.95,siren,wail,-5.92,0.1347,0.01275,0.278,0.64,0.299,8.91,8.91,7.69,7.69,4.977,8.792,0.82,9.81,20.96,2.01,-3.83,39,PASS
fold1_room1_mix010,train,L,14.0,14.36,3.39,horn,-,-1.54,0.1029,0.00731,0.373,1.45,0.347,6.37,6.37,9.29,9.29,3.497,9.327,0.62,13.28,20.08,8.16,-1.19,61,PASS
