clip_id,split,motion,n_warnings,w1_class,w1_side,w2_class,w2_side,danger_tier,car_side,scenario,seed
fold1_room1_mix001,fold1,walk,1,horn,R,,,critical,L,normal,12419819521
fold1_room1_mix002,fold1,static,0,,,,,critical,L,normal,12419819522
fold1_room1_mix003,fold1,static,1,horn,L,,,caution,R,normal,12419819523
fold1_room1_mix004,fold1,walk,1,backup_beep,L,,,critical,L,normal,12419819524
fold1_room1_mix005,fold1,static,1,siren,R,,,caution,R,normal,12419819525
fold1_room1_mix006,fold1,walk,1,crossing,R,,,critical,R,normal,12419819526
fold1_room1_mix007,fold1,walk,1,siren,L,,,safe,R,normal,12419819527
fold1_room1_mix008,fold1,walk,0,,,,,safe,R,normal,12419819528
fold1_room1_mix009,fold1,static,1,siren,L,,,safe,L,normal,12419819529
fold1_room1_mix010,fold1,walk,0,,,,,critical,L,normal,12419819530
fold1_room1_mix011,fold1,walk,1,siren,L,,,critical,L,normal,12419819531
fold1_room1_mix012,fold1,walk,1,siren,L,,,critical,L,normal,12419819532
fold1_room1_mix013,fold1,walk,1,siren,R,,,critical,R,normal,12419819533
fold1_room1_mix014,fold1,walk,0,,,,,critical,L,normal,12419819534
fold1_room1_mix015,fold1,static,2,backup_beep,R,bike_bell,L,safe,L,normal,12419819535
fold1_room1_mix016,fold1,walk,0,,,,,critical,R,normal,12419819536
fold1_room1_mix017,fold1,static,1,crossing,R,,,critical,L,normal,12419819537
fold1_room1_mix018,fold1,walk,0,,,,,critical,R,normal,12419819538
fold1_room1_mix019,fold1,static,1,crossing,R,,,safe,R,normal,12419819539
fold1_room1_mix020,fold1,static,0,,,,,safe,R,normal,12419819540
fold1_room1_mix021,fold1,walk,1,crossing,R,,,critical,R,normal,12419819541
fold1_room1_mix022,fold1,static,0,,,,,caution,R,normal,12419819542
fold1_room1_mix023,fold1,static,1,crossing,R,,,caution,R,normal,12419819543
fold1_room1_mix024,fold1,static,1,bike_bell,R,,,critical,R,normal,12419819544
fold1_room1_mix025,fold1,walk,1,bike_bell,L,,,critical,R,normal,12419819545
fold1_room1_mix026,fold1,walk,1,horn,L,,,safe,L,normal,12419819546
fold1_room1_mix027,fold1,static,0,,,,,critical,L,normal,12419819547
fold1_room1_mix028,fold1,static,1,crossing,R,,,critical,L,normal,12419819548
fold1_room1_mix029,fold1,walk,1,crossing,R,,,critical,R,normal,12419819549
fold1_room1_mix030,fold1,walk,0,,,,,caution,R,normal,12419819550
fold1_room1_mix031,fold1,static,0,,,,,critical,R,normal,12419819551
fold1_room1_mix032,fold1,walk,1,crossing,L,,,critical,L,normal,12419819552
fold1_room1_mix033,fold1,static,1,siren,R,,,caution,R,normal,12419819553
fold1_room1_mix034,fold1,walk,0,,,,,safe,L,normal,12419819554
fold1_room1_mix035,fold1,walk,0,,,,,safe,L,normal,12419819555
fold1_room1_mix036,fold1,static,1,horn,R,,,safe,L,normal,12419819556
fold1_room1_mix037,fold1,walk,1,horn,L,,,caution,R,normal,12419819557
fold1_room1_mix038,fold1,walk,2,bike_bell,R,crossing,L,safe,R,normal,12419819558
fold1_room1_mix039,fold1,walk,1,backup_beep,R,,,critical,R,normal,12419819559
fold1_room1_mix040,fold1,walk,0,,,,,critical,R,normal,12419819560
fold1_room1_mix041,fold1,walk,1,siren,R,,,critical,R,normal,12419819561
fold1_room1_mix042,fold1,walk,1,siren,R,,,safe,L,normal,12419819562
fold1_room1_mix043,fold1,static,1,backup_beep,R,,,safe,L,normal,12419819563
fold1_room1_mix044,fold1,static,1,siren,L,,,caution,L,normal,12419819564
fold1_room1_mix045,fold1,static,1,siren,L,,,critical,R,normal,12419819565
fold1_room1_mix046,fold1,walk,0,,,,,critical,R,normal,12419819566
fold1_room1_mix047,fold1,walk,1,crossing,R,,,safe,L,normal,12419819567
fold1_room1_mix048,fold1,static,0,,,,,safe,L,normal,12419819568
fold1_room1_mix049,fold1,static,0,,,,,critical,L,normal,12419819569
fold1_room1_mix050,fold1,walk,0,,,,,critical,R,normal,12419819570
fold1_room1_mix051,fold1,walk,0,,,,,safe,L,normal,12419819571
fold1_room1_mix052,fold1,static,2,siren,L,horn,R,caution,L,normal,12419819572
fold1_room1_mix053,fold1,walk,0,,,,,caution,L,normal,12419819573
fold1_room1_mix054,fold1,static,1,crossing,L,,,critical,R,normal,12419819574
fold1_room1_mix055,fold1,walk,1,bike_bell,L,,,safe,L,normal,12419819575
fold1_room1_mix056,fold1,static,0,,,,,caution,L,normal,12419819576
fold1_room1_mix057,fold1,walk,0,,,,,critical,L,normal,12419819577
fold1_room1_mix058,fold1,static,1,backup_beep,R,,,caution,L,normal,12419819578
fold1_room1_mix059,fold1,static,0,,,,,caution,R,normal,12419819579
fold1_room1_mix060,fold1,walk,2,siren,R,bike_bell,R,caution,L,normal,12419819580
fold1_room1_mix061,fold1,static,1,siren,R,,,critical,L,normal,12419819581
fold1_room1_mix062,fold1,walk,1,crossing,R,,,critical,R,normal,12419819582
fold1_room1_mix063,fold1,walk,2,backup_beep,L,crossing,R,critical,R,normal,12419819583
fold1_room1_mix064,fold1,walk,2,horn,L,bike_bell,R,caution,L,normal,12419819584
fold1_room1_mix065,fold1,static,2,bike_bell,R,crossing,L,safe,R,normal,12419819585
fold1_room1_mix066,fold1,static,0,,,,,critical,R,normal,12419819586
fold1_room1_mix067,fold1,static,1,crossing,R,,,critical,L,normal,12419819587
fold1_room1_mix068,fold1,static,0,,,,,critical,R,normal,12419819588
fold1_room1_mix069,fold1,walk,1,horn,L,,,caution,R,normal,12419819589
fold1_room1_mix070,fold1,walk,1,bike_bell,R,,,caution,L,normal,12419819590
fold1_room1_mix071,fold1,walk,0,,,,,safe,R,normal,12419819591
fold1_room1_mix072,fold1,walk,0,,,,,safe,L,normal,12419819592
fold1_room1_mix073,fold1,static,1,horn,L,,,critical,L,normal,12419819593
fold1_room1_mix074,fold1,static,0,,,,,critical,R,normal,12419819594
fold1_room1_mix075,fold1,static,1,crossing,L,,,safe,L,normal,12419819595
fold1_room1_mix076,fold1,walk,1,crossing,L,,,critical,L,normal,12419819596
fold1_room1_mix077,fold1,walk,1,horn,R,,,caution,L,normal,12419819597
fold1_room1_mix078,fold1,walk,0,,,,,safe,L,normal,12419819598
fold1_room1_mix079,fold1,static,1,crossing,R,,,caution,R,normal,12419819599
fold1_room1_mix080,fold1,static,1,backup_beep,L,,,caution,R,normal,12419819600
fold1_room1_mix081,fold1,static,1,crossing,R,,,critical,L,normal,12419819601
fold1_room1_mix082,fold1,walk,1,bike_bell,L,,,caution,R,normal,12419819602
fold1_room1_mix083,fold1,static,1,bike_bell,R,,,caution,L,normal,12419819603
fold1_room1_mix084,fold1,walk,0,,,,,caution,L,normal,12419819604
fold1_room1_mix085,fold1,walk,0,,,,,safe,R,normal,12419819605
fold1_room1_mix086,fold1,walk,1,backup_beep,R,,,safe,L,normal,12419819606
fold1_room1_mix087,fold1,walk,0,,,,,safe,R,normal,12419819607
