clip_id,split,motion,n_warnings,w1_class,w1_side,w2_class,w2_side,danger_tier,car_side,scenario,seed
fold9_room1_mix001,probe,static,1,siren,L,,,na,,probe_siren,12419839521
fold9_room1_mix002,probe,static,1,siren,R,,,na,,probe_siren,12419839522
fold9_room1_mix003,probe,static,1,siren,L,,,na,,probe_siren,12419839523
fold9_room1_mix004,probe,static,1,siren,R,,,na,,probe_siren,12419839524
fold9_room1_mix005,probe,walk,1,siren,L,,,na,,probe_siren,12419839525
fold9_room1_mix006,probe,walk,1,siren,R,,,na,,probe_siren,12419839526
fold9_room1_mix007,probe,walk,1,siren,L,,,na,,probe_siren,12419839527
fold9_room1_mix008,probe,walk,1,siren,R,,,na,,probe_siren,12419839528
fold9_room1_mix009,probe,static,1,horn,L,,,na,,probe_horn,12419839529
fold9_room1_mix010,probe,static,1,horn,R,,,na,,probe_horn,12419839530
fold9_room1_mix011,probe,static,1,horn,L,,,na,,probe_horn,12419839531
fold9_room1_mix012,probe,static,1,horn,R,,,na,,probe_horn,12419839532
fold9_room1_mix013,probe,walk,1,horn,L,,,na,,probe_horn,12419839533
fold9_room1_mix014,probe,walk,1,horn,R,,,na,,probe_horn,12419839534
fold9_room1_mix015,probe,walk,1,horn,L,,,na,,probe_horn,12419839535
fold9_room1_mix016,probe,walk,1,horn,R,,,na,,probe_horn,12419839536
fold9_room1_mix017,probe,static,1,backup_beep,L,,,na,,probe_backup_beep,12419839537
fold9_room1_mix018,probe,static,1,backup_beep,R,,,na,,probe_backup_beep,12419839538
fold9_room1_mix019,probe,static,1,backup_beep,L,,,na,,probe_backup_beep,12419839539
fold9_room1_mix020,probe,static,1,backup_beep,R,,,na,,probe_backup_beep,12419839540
fold9_room1_mix021,probe,walk,1,backup_beep,L,,,na,,probe_backup_beep,12419839541
fold9_room1_mix022,probe,walk,1,backup_beep,R,,,na,,probe_backup_beep,12419839542
fold9_room1_mix023,probe,walk,1,backup_beep,L,,,na,,probe_backup_beep,12419839543
fold9_room1_mix024,probe,walk,1,backup_beep,R,,,na,,probe_backup_beep,12419839544
fold9_room1_mix025,probe,static,1,bike_bell,L,,,na,,probe_bike_bell,12419839545
fold9_room1_mix026,probe,static,1,bike_bell,R,,,na,,probe_bike_bell,12419839546
fold9_room1_mix027,probe,static,1,bike_bell,L,,,na,,probe_bike_bell,12419839547
fold9_room1_mix028,probe,static,1,bike_bell,R,,,na,,probe_bike_bell,12419839548
fold9_room1_mix029,probe,walk,1,bike_bell,L,,,na,,probe_bike_bell,12419839549
fold9_room1_mix030,probe,walk,1,bike_bell,R,,,na,,probe_bike_bell,12419839550
fold9_room1_mix031,probe,walk,1,bike_bell,L,,,na,,probe_bike_bell,12419839551
fold9_room1_mix032,probe,walk,1,bike_bell,R,,,na,,probe_bike_bell,12419839552
fold9_room1_mix033,probe,static,1,crossing,L,,,na,,probe_crossing,12419839553
fold9_room1_mix034,probe,static,1,crossing,R,,,na,,probe_crossing,12419839554
fold9_room1_mix035,probe,static,1,crossing,L,,,na,,probe_crossing,12419839555
fold9_room1_mix036,probe,static,1,crossing,R,,,na,,probe_crossing,12419839556
fold9_room1_mix037,probe,walk,1,crossing,L,,,na,,probe_crossing,12419839557
fold9_room1_mix038,probe,walk,1,crossing,R,,,na,,probe_crossing,12419839558
fold9_room1_mix039,probe,walk,1,crossing,L,,,na,,probe_crossing,12419839559
fold9_room1_mix040,probe,walk,1,crossing,R,,,na,,probe_crossing,12419839560
fold9_room1_mix041,probe,static,0,,L,,,safe,L,probe_car_drive,12419839561
fold9_room1_mix042,probe,static,0,,R,,,safe,R,probe_car_drive,12419839562
fold9_room1_mix043,probe,static,0,,L,,,safe,L,probe_car_drive,12419839563
fold9_room1_mix044,probe,static,0,,R,,,safe,R,probe_car_drive,12419839564
fold9_room1_mix045,probe,walk,0,,L,,,safe,L,probe_car_drive,12419839565
fold9_room1_mix046,probe,walk,0,,R,,,safe,R,probe_car_drive,12419839566
fold9_room1_mix047,probe,walk,0,,L,,,safe,L,probe_car_drive,12419839567
fold9_room1_mix048,probe,walk,0,,R,,,safe,R,probe_car_drive,12419839568
