clip_id,split,motion,n_warnings,w1_class,w1_side,w2_class,w2_side,danger_tier,car_side,scenario,seed
fold2_room9_mix001,fold2,walk,1,siren,L,,,na,,intersection_siren,12419829521
fold2_room9_mix002,fold2,walk,1,siren,R,,,na,,intersection_siren,12419829522
fold2_room9_mix003,fold2,walk,1,siren,L,,,na,,intersection_siren,12419829523
fold2_room9_mix004,fold2,walk,1,siren,R,,,na,,intersection_siren,12419829524
fold2_room9_mix005,fold2,walk,1,siren,L,,,na,,intersection_siren,12419829525
fold2_room9_mix006,fold2,walk,1,siren,R,,,na,,intersection_siren,12419829526
fold2_room9_mix007,fold2,walk,1,siren,L,,,na,,intersection_siren,12419829527
fold2_room9_mix008,fold2,walk,1,siren,R,,,na,,intersection_siren,12419829528
fold2_room9_mix009,fold2,walk,1,siren,L,,,na,,intersection_siren,12419829529
fold2_room9_mix010,fold2,walk,1,siren,R,,,na,,intersection_siren,12419829530
fold2_room9_mix011,fold2,walk,1,siren,L,,,na,,intersection_siren,12419829531
fold2_room9_mix012,fold2,walk,1,siren,R,,,na,,intersection_siren,12419829532
fold2_room9_mix013,fold2,walk,1,siren,L,,,na,,intersection_siren,12419829533
fold2_room9_mix014,fold2,walk,1,siren,R,,,na,,intersection_siren,12419829534
fold2_room9_mix015,fold2,walk,1,siren,L,,,na,,intersection_siren,12419829535
fold2_room9_mix016,fold2,walk,1,siren,R,,,na,,intersection_siren,12419829536
fold2_room9_mix017,fold2,walk,1,siren,L,,,na,,intersection_siren,12419829537
fold2_room9_mix018,fold2,walk,1,siren,R,,,na,,intersection_siren,12419829538
fold2_room9_mix019,fold2,walk,1,siren,L,,,na,,intersection_siren,12419829539
fold2_room9_mix020,fold2,walk,1,siren,R,,,na,,intersection_siren,12419829540
