name,motion,tier,scenario,n_src,peak,recon_err,noise_dba_target,noise_dba_meas,az_med_max,el_med_max,cpa_rel_dist_m,cpa_rel_time_s,car_audible_frac,recv_ok,mask_ok,result
fold1_room1_mix001,walk,critical,normal,2,0.0157,1.77e-07,60.55130877232874,60.55,0.336,0.346,0.993,6.74,0.33,True,True,PASS
fold1_room1_mix002,static,critical,normal,1,0.0068,1.19e-07,46.83927665799536,46.84,0.334,0.298,0.66,7.35,0.98,True,True,PASS
fold1_room1_mix003,static,caution,normal,2,0.0088,1.77e-07,45.78770821962489,45.79,0.302,0.216,2.292,8.33,0.84,True,True,PASS
fold1_room1_mix004,walk,critical,normal,2,0.0038,1.77e-07,49.553272151083505,49.55,0.424,0.305,1.152,7.18,0.98,True,True,PASS
fold1_room1_mix005,static,caution,normal,2,0.0861,1.76e-07,44.31045810066049,44.31,0.257,0.275,2.434,6.12,0.99,True,True,PASS
fold1_room1_mix006,walk,critical,normal,2,0.0027,1.77e-07,52.07555629990786,52.08,0.275,0.248,1.395,7.5,0.63,True,True,PASS
fold1_room1_mix007,walk,safe,normal,2,0.0156,1.76e-07,45.82482209573752,45.82,0.266,0.341,10.901,8.06,0.69,True,True,PASS
fold1_room1_mix008,walk,safe,normal,1,0.0005,1.19e-07,41.60877835482564,41.61,0.271,0.317,14.073,7.19,0.98,True,True,PASS
fold1_room1_mix009,static,safe,normal,2,0.0208,1.76e-07,56.25072196234751,56.25,0.427,0.334,3.514,7.49,0.91,True,True,PASS
fold1_room1_mix010,walk,critical,normal,1,0.0032,1.19e-07,45.292229047577734,45.29,0.234,0.276,0.869,7.37,0.98,True,True,PASS
fold1_room1_mix011,walk,critical,normal,2,0.0149,1.76e-07,43.2533082749821,43.25,0.307,0.367,1.327,7.39,0.99,True,True,PASS
fold1_room1_mix012,walk,critical,normal,2,0.0608,1.78e-07,61.40203499461971,61.4,0.304,0.223,0.656,7.73,0.35,True,True,PASS
fold1_room1_mix013,walk,critical,normal,2,0.0048,1.76e-07,45.618514892114874,45.62,0.295,0.331,1.285,8.67,0.99,True,True,PASS
fold1_room1_mix014,walk,critical,normal,1,0.0042,1.19e-07,41.653085863742604,41.65,0.231,0.21,0.975,7.23,0.99,True,True,PASS
fold1_room1_mix015,static,safe,normal,3,0.0027,2.26e-07,44.70568107677023,44.71,0.307,0.428,13.161,6.59,0.98,True,True,PASS
fold1_room1_mix016,walk,critical,normal,1,0.0058,1.19e-07,56.48204049446255,56.48,0.232,0.322,0.814,8.43,0.46,True,True,PASS
fold1_room1_mix017,static,critical,normal,2,0.0031,1.76e-07,53.18784883789538,53.19,0.294,0.439,0.881,6.61,0.64,True,True,PASS
fold1_room1_mix018,walk,critical,normal,1,0.0027,1.19e-07,49.01813558737131,49.02,0.305,0.266,0.953,6.28,0.96,True,True,PASS
fold1_room1_mix019,static,safe,normal,2,0.0011,1.76e-07,63.64683168648273,63.65,0.382,0.265,5.795,8.26,0.15,True,True,PASS
fold1_room1_mix020,static,safe,normal,1,0.0008,1.19e-07,54.37121001049417,54.37,0.294,0.217,10.313,7.64,0.47,True,True,PASS
fold1_room1_mix021,walk,critical,normal,2,0.0079,1.77e-07,61.41238040798203,61.41,0.333,0.312,0.604,8.39,0.49,True,True,PASS
fold1_room1_mix022,static,caution,normal,1,0.0015,1.19e-07,57.577293529200816,57.58,0.441,0.179,2.677,7.24,0.26,True,True,PASS
fold1_room1_mix023,static,caution,normal,2,0.0018,1.77e-07,55.419995423271864,55.42,0.421,0.288,1.602,8.09,0.39,True,True,PASS
fold1_room1_mix024,static,critical,normal,2,0.0054,1.77e-07,45.322640521905434,45.32,0.28,0.336,0.651,8.58,0.96,True,True,PASS
fold1_room1_mix025,walk,critical,normal,2,0.0035,1.76e-07,56.92610415343368,56.93,0.294,0.232,1.307,8.36,0.35,True,True,PASS
fold1_room1_mix026,walk,safe,normal,2,0.0124,1.77e-07,61.31047964698154,61.31,0.34,0.314,8.716,8.47,0.26,True,True,PASS
fold1_room1_mix027,static,critical,normal,1,0.0038,1.19e-07,46.063858065775534,46.06,0.258,0.351,1.342,8.25,0.96,True,True,PASS
fold1_room1_mix028,static,critical,normal,2,0.0034,1.77e-07,46.97108914601394,46.97,0.292,0.452,0.951,8.57,0.97,True,True,PASS
fold1_room1_mix029,walk,critical,normal,2,0.0027,1.77e-07,63.02304322292436,63.02,0.266,0.275,0.905,8.15,0.16,True,True,PASS
fold1_room1_mix030,walk,caution,normal,1,0.0028,1.19e-07,62.13450161981894,62.13,0.289,0.24,2.986,6.11,0.41,True,True,PASS
fold1_room1_mix031,static,critical,normal,1,0.0035,1.19e-07,50.39684714773552,50.4,0.274,0.291,0.838,7.68,0.63,True,True,PASS
fold1_room1_mix032,walk,critical,normal,2,0.0035,1.77e-07,51.542401984667244,51.54,0.286,0.236,1.091,6.28,0.76,True,True,PASS
fold1_room1_mix033,static,caution,normal,2,0.1115,1.79e-07,46.79644034638998,46.8,0.276,0.361,1.633,8.78,0.96,True,True,PASS
fold1_room1_mix034,walk,safe,normal,1,0.0005,1.19e-07,45.38380832082867,45.38,0.257,0.228,14.491,8.01,0.97,True,True,PASS
fold1_room1_mix035,walk,safe,normal,1,0.0008,1.19e-07,64.95665089213249,64.96,0.0,0.0,12.511,8.19,0.0,True,True,PASS
fold1_room1_mix036,static,safe,normal,2,0.0161,1.77e-07,57.225285599475754,57.23,0.313,0.208,11.383,7.67,0.31,True,True,PASS
fold1_room1_mix037,walk,caution,normal,2,0.0123,1.76e-07,62.09052282302995,62.09,0.39,0.268,2.84,6.6,0.61,True,True,PASS
fold1_room1_mix038,walk,safe,normal,3,0.0012,2.30e-07,56.80527404466858,56.81,0.325,0.307,9.958,6.16,0.38,True,True,PASS
