frame,class,snr_a_db
0,4,-501.1
1,4,-501.13
2,4,4.0
3,4,4.54
4,4,4.66
5,4,4.58
6,4,4.99
7,4,5.05
8,4,5.42
9,4,5.13
10,4,5.35
11,4,5.29
12,4,5.39
13,4,5.14
14,4,5.34
15,4,6.1
16,4,5.62
17,4,5.77
18,4,6.2
19,4,5.74
20,4,5.7
21,4,5.38
22,4,6.07
23,4,6.48
24,4,6.52
25,4,6.81
26,4,5.67
27,4,6.62
28,4,6.55
29,4,6.49
30,4,6.07
31,4,6.93
32,4,6.85
33,4,6.98
34,4,7.01
35,4,7.14
36,4,7.26
37,4,7.49
38,4,7.07
39,4,7.1
40,4,7.85
41,4,7.23
42,4,6.96
43,4,7.82
44,4,7.81
45,4,7.27
46,4,7.95
47,4,8.49
48,4,7.87
49,4,8.37
50,4,8.91
51,4,9.13
52,4,8.72
53,4,9.7
54,4,10.12
55,4,10.28
56,4,10.91
57,4,11.57
58,4,11.99
59,4,11.89
60,4,12.81
61,4,13.02
62,4,13.12
63,4,13.7
64,4,14.67
65,4,15.55
66,4,15.55
67,4,16.18
68,4,16.2
69,4,17.01
70,4,16.34
71,4,17.61
72,4,17.93
73,4,18.36
74,4,17.75
75,4,17.71
76,4,18.73
77,4,19.3
78,4,19.73
79,4,19.62
80,4,20.17
81,4,20.46
82,4,20.15
83,4,20.21
84,4,20.11
85,4,21.17
86,4,19.9
87,4,20.09
88,4,19.7
89,4,19.43
90,4,19.29
91,4,18.75
92,4,18.87
93,4,18.61
94,4,17.95
95,4,17.55
96,4,17.46
97,4,16.47
98,4,17.53
99,4,16.84
