clip_id,split,motion,n_warnings,w1_class,w1_side,w2_class,w2_side,danger_tier,car_side,scenario,seed
fold8_room1_mix001,fold8,static,1,siren,L,,,critical,L,traffic2,12419859521
fold8_room1_mix002,fold8,walk,1,horn,R,,,caution,L,traffic2,12419859522
fold8_room1_mix003,fold8,static,0,,,,,safe,L,traffic2,12419859523
fold8_room1_mix004,fold8,walk,0,,,,,critical,R,traffic2,12419859524
fold8_room1_mix005,fold8,static,1,backup_beep,L,,,caution,R,traffic2,12419859525
fold8_room1_mix006,fold8,walk,1,bike_bell,R,,,safe,R,traffic2,12419859526
fold8_room1_mix007,fold8,static,0,,,,,critical,L,traffic2,12419859527
fold8_room1_mix008,fold8,walk,0,,,,,caution,L,traffic2,12419859528
fold8_room1_mix009,fold8,static,1,crossing,L,,,safe,L,traffic2,12419859529
fold8_room1_mix010,fold8,walk,1,siren,R,,,critical,R,traffic2,12419859530
fold8_room1_mix011,fold8,static,0,,,,,caution,R,traffic2,12419859531
fold8_room1_mix012,fold8,walk,0,,,,,safe,R,traffic2,12419859532
fold8_room1_mix013,fold8,static,1,horn,L,,,critical,L,traffic2,12419859533
fold8_room1_mix014,fold8,walk,1,backup_beep,R,,,caution,L,traffic2,12419859534
fold8_room1_mix015,fold8,static,0,,,,,safe,L,traffic2,12419859535
fold8_room1_mix016,fold8,walk,0,,,,,critical,R,traffic2,12419859536
fold8_room1_mix017,fold8,static,1,bike_bell,L,,,caution,R,traffic2,12419859537
fold8_room1_mix018,fold8,walk,1,crossing,R,,,safe,R,traffic2,12419859538
fold8_room1_mix019,fold8,static,0,,,,,critical,L,traffic2,12419859539
fold8_room1_mix020,fold8,walk,0,,,,,caution,L,traffic2,12419859540
fold8_room1_mix021,fold8,static,1,siren,L,,,safe,L,traffic2,12419859541
fold8_room1_mix022,fold8,walk,1,horn,R,,,critical,R,traffic2,12419859542
fold8_room1_mix023,fold8,static,0,,,,,caution,R,traffic2,12419859543
fold8_room1_mix024,fold8,walk,0,,,,,safe,R,traffic2,12419859544
fold8_room1_mix025,fold8,static,1,backup_beep,L,,,critical,L,traffic2,12419859545
fold8_room1_mix026,fold8,walk,1,bike_bell,R,,,caution,L,traffic2,12419859546
fold8_room1_mix027,fold8,static,0,,,,,safe,L,traffic2,12419859547
fold8_room1_mix028,fold8,walk,0,,,,,critical,R,traffic2,12419859548
fold8_room1_mix029,fold8,static,1,crossing,L,,,caution,R,traffic2,12419859549
fold8_room1_mix030,fold8,walk,1,siren,R,,,safe,R,traffic2,12419859550
fold8_room1_mix031,fold8,static,0,,,,,critical,L,traffic3,12419859551
fold8_room1_mix032,fold8,walk,0,,,,,caution,L,traffic3,12419859552
fold8_room1_mix033,fold8,static,1,horn,L,,,safe,L,traffic3,12419859553
fold8_room1_mix034,fold8,walk,1,backup_beep,R,,,critical,R,traffic3,12419859554
fold8_room1_mix035,fold8,static,0,,,,,caution,R,traffic3,12419859555
fold8_room1_mix036,fold8,walk,0,,,,,safe,R,traffic3,12419859556
fold8_room1_mix037,fold8,static,1,bike_bell,L,,,critical,L,traffic3,12419859557
fold8_room1_mix038,fold8,walk,1,crossing,R,,,caution,L,traffic3,12419859558
fold8_room1_mix039,fold8,static,0,,,,,safe,L,traffic3,12419859559
fold8_room1_mix040,fold8,walk,0,,,,,critical,R,traffic3,12419859560
fold8_room1_mix041,fold8,static,1,siren,L,,,caution,R,traffic3,12419859561
fold8_room1_mix042,fold8,walk,1,horn,R,,,safe,R,traffic3,12419859562
fold8_room1_mix043,fold8,static,0,,,,,critical,L,traffic3,12419859563
fold8_room1_mix044,fold8,walk,0,,,,,caution,L,traffic3,12419859564
fold8_room1_mix045,fold8,static,1,backup_beep,L,,,safe,L,traffic3,12419859565
fold8_room1_mix046,fold8,walk,1,bike_bell,R,,,critical,R,traffic3,12419859566
fold8_room1_mix047,fold8,static,0,,,,,caution,R,traffic3,12419859567
fold8_room1_mix048,fold8,walk,0,,,,,safe,R,traffic3,12419859568
fold8_room1_mix049,fold8,static,1,crossing,L,,,critical,L,traffic3,12419859569
fold8_room1_mix050,fold8,walk,1,siren,R,,,caution,L,traffic3,12419859570
fold8_room1_mix051,fold8,static,0,,,,,safe,L,traffic3,12419859571
fold8_room1_mix052,fold8,walk,0,,,,,critical,R,traffic3,12419859572
fold8_room1_mix053,fold8,static,1,horn,L,,,caution,R,traffic3,12419859573
fold8_room1_mix054,fold8,walk,1,backup_beep,R,,,safe,R,traffic3,12419859574
fold8_room1_mix055,fold8,static,0,,,,,critical,L,traffic3,12419859575
fold8_room1_mix056,fold8,walk,0,,,,,caution,L,traffic3,12419859576
fold8_room1_mix057,fold8,static,1,bike_bell,L,,,safe,L,traffic3,12419859577
fold8_room1_mix058,fold8,walk,1,crossing,R,,,critical,R,traffic3,12419859578
fold8_room1_mix059,fold8,static,0,,,,,caution,R,traffic3,12419859579
fold8_room1_mix060,fold8,walk,0,,,,,safe,R,traffic3,12419859580
