clip_id,split,motion,n_warnings,w1_class,w1_side,w2_class,w2_side,danger_tier,car_side,scenario,seed
fold1_room2_mix001,fold1,static,1,siren,L,,,critical,L,traffic2,12419869521
fold1_room2_mix002,fold1,static,0,,,,,caution,L,traffic2,12419869522
fold1_room2_mix003,fold1,walk,1,horn,L,,,safe,L,traffic2,12419869523
fold1_room2_mix004,fold1,walk,0,,,,,critical,R,traffic2,12419869524
fold1_room2_mix005,fold1,static,1,backup_beep,L,,,caution,R,traffic2,12419869525
fold1_room2_mix006,fold1,static,0,,,,,safe,R,traffic2,12419869526
fold1_room2_mix007,fold1,walk,1,bike_bell,L,,,critical,L,traffic2,12419869527
fold1_room2_mix008,fold1,walk,0,,,,,caution,L,traffic2,12419869528
fold1_room2_mix009,fold1,static,1,crossing,L,,,safe,L,traffic2,12419869529
fold1_room2_mix010,fold1,static,0,,,,,critical,R,traffic2,12419869530
fold1_room2_mix011,fold1,walk,1,siren,L,,,caution,R,traffic2,12419869531
fold1_room2_mix012,fold1,walk,0,,,,,safe,R,traffic2,12419869532
fold1_room2_mix013,fold1,static,1,horn,L,,,critical,L,traffic2,12419869533
fold1_room2_mix014,fold1,static,0,,,,,caution,L,traffic2,12419869534
fold1_room2_mix015,fold1,walk,1,backup_beep,L,,,safe,L,traffic2,12419869535
fold1_room2_mix016,fold1,walk,0,,,,,critical,R,traffic2,12419869536
fold1_room2_mix017,fold1,static,1,bike_bell,L,,,caution,R,traffic2,12419869537
fold1_room2_mix018,fold1,static,0,,,,,safe,R,traffic2,12419869538
fold1_room2_mix019,fold1,walk,1,crossing,L,,,critical,L,traffic2,12419869539
fold1_room2_mix020,fold1,walk,0,,,,,caution,L,traffic2,12419869540
fold1_room2_mix021,fold1,static,1,siren,L,,,safe,L,traffic2,12419869541
fold1_room2_mix022,fold1,static,0,,,,,critical,R,traffic2,12419869542
fold1_room2_mix023,fold1,walk,1,horn,L,,,caution,R,traffic2,12419869543
fold1_room2_mix024,fold1,walk,0,,,,,safe,R,traffic2,12419869544
fold1_room2_mix025,fold1,static,1,backup_beep,L,,,critical,L,traffic2,12419869545
fold1_room2_mix026,fold1,static,0,,,,,caution,L,traffic2,12419869546
fold1_room2_mix027,fold1,walk,1,bike_bell,L,,,safe,L,traffic2,12419869547
fold1_room2_mix028,fold1,walk,0,,,,,critical,R,traffic2,12419869548
fold1_room2_mix029,fold1,static,1,crossing,L,,,caution,R,traffic2,12419869549
fold1_room2_mix030,fold1,static,0,,,,,safe,R,traffic2,12419869550
fold1_room2_mix031,fold1,walk,1,siren,L,,,critical,L,traffic2,12419869551
fold1_room2_mix032,fold1,walk,0,,,,,caution,L,traffic2,12419869552
fold1_room2_mix033,fold1,static,1,horn,L,,,safe,L,traffic2,12419869553
fold1_room2_mix034,fold1,static,0,,,,,critical,R,traffic2,12419869554
fold1_room2_mix035,fold1,walk,1,backup_beep,L,,,caution,R,traffic2,12419869555
fold1_room2_mix036,fold1,walk,0,,,,,safe,R,traffic2,12419869556
fold1_room2_mix037,fold1,static,1,bike_bell,L,,,critical,L,traffic2,12419869557
fold1_room2_mix038,fold1,static,0,,,,,caution,L,traffic2,12419869558
fold1_room2_mix039,fold1,walk,1,crossing,L,,,safe,L,traffic2,12419869559
fold1_room2_mix040,fold1,walk,0,,,,,critical,R,traffic2,12419869560
fold1_room2_mix041,fold1,static,1,siren,L,,,caution,R,traffic2,12419869561
fold1_room2_mix042,fold1,static,0,,,,,safe,R,traffic2,12419869562
fold1_room2_mix043,fold1,walk,1,horn,L,,,critical,L,traffic2,12419869563
fold1_room2_mix044,fold1,walk,0,,,,,caution,L,traffic2,12419869564
fold1_room2_mix045,fold1,static,1,backup_beep,L,,,safe,L,traffic2,12419869565
fold1_room2_mix046,fold1,static,0,,,,,critical,R,traffic2,12419869566
fold1_room2_mix047,fold1,walk,1,bike_bell,L,,,caution,R,traffic2,12419869567
fold1_room2_mix048,fold1,walk,0,,,,,safe,R,traffic2,12419869568
fold1_room2_mix049,fold1,static,1,crossing,L,,,critical,L,traffic2,12419869569
fold1_room2_mix050,fold1,static,0,,,,,caution,L,traffic2,12419869570
fold1_room2_mix051,fold1,walk,1,siren,L,,,safe,L,traffic2,12419869571
fold1_room2_mix052,fold1,walk,0,,,,,critical,R,traffic2,12419869572
fold1_room2_mix053,fold1,static,1,horn,L,,,caution,R,traffic2,12419869573
fold1_room2_mix054,fold1,static,0,,,,,safe,R,traffic2,12419869574
fold1_room2_mix055,fold1,walk,1,backup_beep,L,,,critical,L,traffic2,12419869575
fold1_room2_mix056,fold1,walk,0,,,,,caution,L,traffic2,12419869576
fold1_room2_mix057,fold1,static,1,bike_bell,L,,,safe,L,traffic2,12419869577
fold1_room2_mix058,fold1,static,0,,,,,critical,R,traffic2,12419869578
fold1_room2_mix059,fold1,walk,1,crossing,L,,,caution,R,traffic2,12419869579
fold1_room2_mix060,fold1,walk,0,,,,,safe,R,traffic2,12419869580
fold1_room2_mix061,fold1,static,1,siren,L,,,critical,L,traffic3,12419869581
fold1_room2_mix062,fold1,static,0,,,,,caution,L,traffic3,12419869582
fold1_room2_mix063,fold1,walk,1,horn,L,,,safe,L,traffic3,12419869583
fold1_room2_mix064,fold1,walk,0,,,,,critical,R,traffic3,12419869584
fold1_room2_mix065,fold1,static,1,backup_beep,L,,,caution,R,traffic3,12419869585
fold1_room2_mix066,fold1,static,0,,,,,safe,R,traffic3,12419869586
fold1_room2_mix067,fold1,walk,1,bike_bell,L,,,critical,L,traffic3,12419869587
fold1_room2_mix068,fold1,walk,0,,,,,caution,L,traffic3,12419869588
fold1_room2_mix069,fold1,static,1,crossing,L,,,safe,L,traffic3,12419869589
fold1_room2_mix070,fold1,static,0,,,,,critical,R,traffic3,12419869590
fold1_room2_mix071,fold1,walk,1,siren,L,,,caution,R,traffic3,12419869591
fold1_room2_mix072,fold1,walk,0,,,,,safe,R,traffic3,12419869592
fold1_room2_mix073,fold1,static,1,horn,L,,,critical,L,traffic3,12419869593
fold1_room2_mix074,fold1,static,0,,,,,caution,L,traffic3,12419869594
fold1_room2_mix075,fold1,walk,1,backup_beep,L,,,safe,L,traffic3,12419869595
fold1_room2_mix076,fold1,walk,0,,,,,critical,R,traffic3,12419869596
fold1_room2_mix077,fold1,static,1,bike_bell,L,,,caution,R,traffic3,12419869597
fold1_room2_mix078,fold1,static,0,,,,,safe,R,traffic3,12419869598
