clip_id,split,motion,n_warnings,w1_class,w1_side,w2_class,w2_side,danger_tier,car_side,scenario,seed
fold1_room3_mix001,fold1,static,0,,,,,critical,L,normal,12419869701
fold1_room3_mix002,fold1,walk,0,,,,,caution,L,normal,12419869702
fold1_room3_mix003,fold1,static,0,,,,,safe,L,normal,12419869703
fold1_room3_mix004,fold1,walk,0,,,,,critical,R,normal,12419869704
fold1_room3_mix005,fold1,static,0,,,,,caution,R,normal,12419869705
fold1_room3_mix006,fold1,walk,0,,,,,safe,R,normal,12419869706
fold1_room3_mix007,fold1,static,0,,,,,critical,L,normal,12419869707
fold1_room3_mix008,fold1,walk,0,,,,,caution,L,normal,12419869708
fold1_room3_mix009,fold1,static,0,,,,,safe,L,normal,12419869709
fold1_room3_mix010,fold1,walk,0,,,,,critical,R,normal,12419869710
fold1_room3_mix011,fold1,static,0,,,,,caution,R,normal,12419869711
fold1_room3_mix012,fold1,walk,0,,,,,safe,R,normal,12419869712
fold1_room3_mix013,fold1,static,0,,,,,critical,L,normal,12419869713
fold1_room3_mix014,fold1,walk,0,,,,,caution,L,normal,12419869714
fold1_room3_mix015,fold1,static,0,,,,,safe,L,normal,12419869715
fold1_room3_mix016,fold1,walk,0,,,,,critical,R,normal,12419869716
fold1_room3_mix017,fold1,static,0,,,,,caution,R,normal,12419869717
fold1_room3_mix018,fold1,walk,0,,,,,safe,R,normal,12419869718
fold1_room3_mix019,fold1,static,0,,,,,critical,L,normal,12419869719
fold1_room3_mix020,fold1,walk,0,,,,,caution,L,normal,12419869720
fold1_room3_mix021,fold1,static,0,,,,,safe,L,normal,12419869721
fold1_room3_mix022,fold1,walk,0,,,,,critical,R,normal,12419869722
fold1_room3_mix023,fold1,static,0,,,,,caution,R,normal,12419869723
fold1_room3_mix024,fold1,walk,0,,,,,safe,R,normal,12419869724
fold1_room3_mix025,fold1,static,0,,,,,critical,L,normal,12419869725
fold1_room3_mix026,fold1,walk,0,,,,,caution,L,normal,12419869726
fold1_room3_mix027,fold1,static,0,,,,,safe,L,normal,12419869727
fold1_room3_mix028,fold1,walk,0,,,,,critical,R,normal,12419869728
fold1_room3_mix029,fold1,static,0,,,,,caution,R,normal,12419869729
fold1_room3_mix030,fold1,walk,0,,,,,safe,R,normal,12419869730
fold1_room3_mix031,fold1,static,0,,,,,critical,L,normal,12419869731
fold1_room3_mix032,fold1,walk,0,,,,,caution,L,normal,12419869732
fold1_room3_mix033,fold1,static,0,,,,,safe,L,normal,12419869733
fold1_room3_mix034,fold1,walk,0,,,,,critical,R,normal,12419869734
fold1_room3_mix035,fold1,static,0,,,,,caution,R,normal,12419869735
fold1_room3_mix036,fold1,walk,0,,,,,safe,R,normal,12419869736
fold1_room3_mix037,fold1,static,0,,,,,critical,L,normal,12419869737
fold1_room3_mix038,fold1,walk,0,,,,,caution,L,normal,12419869738
fold1_room3_mix039,fold1,static,0,,,,,safe,L,normal,12419869739
fold1_room3_mix040,fold1,walk,0,,,,,critical,R,normal,12419869740
fold1_room3_mix041,fold1,static,0,,,,,caution,R,normal,12419869741
fold1_room3_mix042,fold1,walk,0,,,,,safe,R,normal,12419869742
fold1_room3_mix043,fold1,static,0,,,,,critical,L,normal,12419869743
fold1_room3_mix044,fold1,walk,0,,,,,caution,L,normal,12419869744
fold1_room3_mix045,fold1,static,0,,,,,safe,L,normal,12419869745
fold1_room3_mix046,fold1,walk,0,,,,,critical,R,normal,12419869746
fold1_room3_mix047,fold1,static,0,,,,,caution,R,normal,12419869747
fold1_room3_mix048,fold1,walk,0,,,,,safe,R,normal,12419869748
fold1_room3_mix049,fold1,static,0,,,,,critical,L,normal,12419869749
fold1_room3_mix050,fold1,walk,0,,,,,caution,L,normal,12419869750
fold1_room3_mix051,fold1,static,0,,,,,safe,L,normal,12419869751
fold1_room3_mix052,fold1,walk,0,,,,,critical,R,normal,12419869752
fold1_room3_mix053,fold1,static,0,,,,,caution,R,normal,12419869753
fold1_room3_mix054,fold1,walk,0,,,,,safe,R,normal,12419869754
fold1_room3_mix055,fold1,static,1,crossing,L,,,critical,L,normal,12419869755
fold1_room3_mix056,fold1,walk,1,siren,R,,,caution,L,normal,12419869756
fold1_room3_mix057,fold1,static,1,horn,L,,,safe,L,normal,12419869757
fold1_room3_mix058,fold1,walk,1,backup_beep,R,,,critical,R,normal,12419869758
fold1_room3_mix059,fold1,static,1,bike_bell,L,,,caution,R,normal,12419869759
fold1_room3_mix060,fold1,walk,1,crossing,R,,,safe,R,normal,12419869760
fold1_room3_mix061,fold1,static,1,siren,L,,,critical,L,normal,12419869761
fold1_room3_mix062,fold1,walk,1,horn,R,,,caution,L,normal,12419869762
fold1_room3_mix063,fold1,static,1,backup_beep,L,,,safe,L,normal,12419869763
fold1_room3_mix064,fold1,walk,1,bike_bell,R,,,critical,R,normal,12419869764
fold1_room3_mix065,fold1,static,1,crossing,L,,,caution,R,normal,12419869765
fold1_room3_mix066,fold1,walk,1,siren,R,,,safe,R,normal,12419869766
fold1_room3_mix067,fold1,static,1,horn,L,,,critical,L,normal,12419869767
fold1_room3_mix068,fold1,walk,1,backup_beep,R,,,caution,L,normal,12419869768
fold1_room3_mix069,fold1,static,1,bike_bell,L,,,safe,L,normal,12419869769
fold1_room3_mix070,fold1,walk,1,crossing,R,,,critical,R,normal,12419869770
fold1_room3_mix071,fold1,static,1,siren,L,,,caution,R,normal,12419869771
fold1_room3_mix072,fold1,walk,1,horn,R,,,safe,R,normal,12419869772
fold1_room3_mix073,fold1,static,1,backup_beep,L,,,critical,L,normal,12419869773
fold1_room3_mix074,fold1,walk,1,bike_bell,R,,,caution,L,normal,12419869774
fold1_room3_mix075,fold1,static,1,crossing,L,,,safe,L,normal,12419869775
