name,motion,tier,scenario,n_src,peak,recon_err,noise_dba_target,noise_dba_meas,az_med_max,el_med_max,cpa_rel_dist_m,cpa_rel_time_s,car_audible_frac,recv_ok,mask_ok,result
fold1_room2_mix001,static,critical,traffic2,3,0.1057,2.30e-07,41.23225084632952,41.23,0.311,0.281,0.651,8.65,0.99,True,True,PASS
fold1_room2_mix002,static,caution,traffic2,2,0.0024,1.77e-07,45.42971071560112,45.43,0.292,0.342,2.076,8.33,0.97,True,True,PASS
fold1_room2_mix003,walk,safe,traffic2,3,0.0092,2.28e-07,43.53890884027017,43.54,0.269,0.386,12.4,8.76,0.99,True,True,PASS
fold1_room2_mix004,walk,critical,traffic2,2,0.0034,1.78e-07,57.22435549421736,57.22,0.305,0.295,1.126,5.49,0.28,True,True,PASS
fold1_room2_mix005,static,caution,traffic2,3,0.0067,2.29e-07,51.62599140288831,51.63,0.284,0.344,2.768,4.74,0.51,True,True,PASS
fold1_room2_mix006,static,safe,traffic2,2,0.0068,1.77e-07,52.69699063737263,52.7,0.352,0.371,13.69,4.96,0.41,True,True,PASS
fold1_room2_mix007,walk,critical,traffic2,3,0.0052,2.36e-07,57.06359451318728,57.06,0.292,0.275,0.854,8.72,0.41,True,True,PASS
fold1_room2_mix008,walk,caution,traffic2,2,0.0036,1.77e-07,48.79627443180102,48.8,0.297,0.301,1.57,6.84,0.98,True,True,PASS
fold1_room2_mix009,static,safe,traffic2,3,0.0011,2.31e-07,40.09436676787004,40.09,0.243,0.336,11.142,5.83,0.98,True,True,PASS
fold1_room2_mix010,static,critical,traffic2,2,0.0035,1.78e-07,56.01298088288493,56.01,0.352,0.283,1.097,7.51,0.58,True,True,PASS
fold1_room2_mix011,walk,caution,traffic2,3,0.0199,2.32e-07,49.28994450930322,49.29,0.312,0.361,2.17,8.14,0.97,True,True,PASS
fold1_room2_mix012,walk,safe,traffic2,2,0.0045,1.78e-07,47.73920738845291,47.74,0.306,0.359,10.198,8.87,0.48,True,True,PASS
fold1_room2_mix013,static,critical,traffic2,3,0.0652,2.29e-07,63.68398723109988,63.68,0.286,0.219,1.227,4.94,0.67,True,True,PASS
fold1_room2_mix014,static,caution,traffic2,2,0.0024,1.77e-07,45.461950464946604,45.46,0.27,0.333,1.818,7.4,0.97,True,True,PASS
fold1_room2_mix015,walk,safe,traffic2,3,0.0063,2.30e-07,42.168621320654864,42.17,0.267,0.353,11.374,6.18,0.99,True,True,PASS
fold1_room2_mix016,walk,critical,traffic2,2,0.0033,1.77e-07,64.76031003394937,64.76,0.387,0.364,1.238,5.31,0.2,True,True,PASS
fold1_room2_mix017,static,caution,traffic2,3,0.0019,2.33e-07,47.78539070968477,47.79,0.344,0.302,1.732,5.08,0.98,True,True,PASS
fold1_room2_mix018,static,safe,traffic2,2,0.0019,1.78e-07,60.892324759763696,60.89,0.357,0.263,6.036,5.89,0.32,True,True,PASS
fold1_room2_mix019,walk,critical,traffic2,3,0.0038,2.32e-07,51.71150615380209,51.71,0.273,0.369,1.343,4.36,0.54,True,True,PASS
fold1_room2_mix020,walk,caution,traffic2,2,0.0031,1.78e-07,45.16785159963425,45.17,0.286,0.301,2.919,4.9,0.98,True,True,PASS
fold1_room2_mix021,static,safe,traffic2,3,0.0414,2.29e-07,40.32154729634328,40.32,0.262,0.325,4.243,7.28,0.99,True,True,PASS
fold1_room2_mix022,static,critical,traffic2,2,0.0061,1.77e-07,45.98954330693877,45.99,0.28,0.354,1.218,5.19,0.98,True,True,PASS
fold1_room2_mix023,walk,caution,traffic2,3,0.0321,2.30e-07,62.99438112754315,62.99,0.483,0.32,2.263,6.29,0.22,True,True,PASS
fold1_room2_mix024,walk,safe,traffic2,2,0.0016,1.78e-07,52.861443715956895,52.86,0.304,0.305,8.638,7.62,0.52,True,True,PASS
fold1_room2_mix025,static,critical,traffic2,3,0.0097,2.28e-07,58.89114392993757,58.89,0.298,0.265,1.344,4.87,0.3,True,True,PASS
fold1_room2_mix026,static,caution,traffic2,2,0.0022,1.78e-07,61.005266209183276,61.01,0.285,0.233,2.859,7.32,0.37,True,True,PASS
fold1_room2_mix027,walk,safe,traffic2,3,0.0046,2.31e-07,57.08959308970893,57.09,0.348,0.259,5.489,8.12,0.55,True,True,PASS
fold1_room2_mix028,walk,critical,traffic2,2,0.0045,1.77e-07,48.73063897101446,48.73,0.3,0.226,1.114,4.9,0.99,True,True,PASS
fold1_room2_mix029,static,caution,traffic2,3,0.0049,2.32e-07,63.467802737655376,63.47,0.349,0.444,2.166,4.81,0.21,True,True,PASS
fold1_room2_mix030,static,safe,traffic2,2,0.0013,1.78e-07,60.5154511527451,60.52,0.441,0.261,5.835,6.59,0.2,True,True,PASS
fold1_room2_mix031,walk,critical,traffic2,3,0.1828,2.29e-07,51.8361052465052,51.84,0.309,0.36,1.492,5.89,0.99,True,True,PASS
fold1_room2_mix032,walk,caution,traffic2,2,0.0023,1.77e-07,53.645534651120535,53.65,0.259,0.238,1.649,7.06,0.75,True,True,PASS
fold1_room2_mix033,static,safe,traffic2,3,0.1002,2.24e-07,44.64857146176353,44.65,0.371,0.241,9.997,4.71,0.99,True,True,PASS
fold1_room2_mix034,static,critical,traffic2,2,0.0039,1.78e-07,42.36570804747944,42.37,0.255,0.303,0.937,6.46,0.98,True,True,PASS
fold1_room2_mix035,walk,caution,traffic2,3,0.0031,2.32e-07,49.38124847227169,49.38,0.33,0.294,2.198,7.3,0.98,True,True,PASS
fold1_room2_mix036,walk,safe,traffic2,2,0.0015,1.78e-07,53.36390456469363,53.36,0.238,0.256,12.707,4.36,0.73,True,True,PASS
fold1_room2_mix037,static,critical,traffic2,3,0.0042,2.27e-07,45.3612023592706,45.36,0.412,0.316,1.32,4.66,0.99,True,True,PASS
fold1_room2_mix038,static,caution,traffic2,2,0.0044,1.77e-07,62.80607087210562,62.81,0.351,0.325,1.906,6.02,0.5,True,True,PASS
fold1_room2_mix039,walk,safe,traffic2,3,0.003,2.32e-07,47.20470054406559,47.2,0.285,0.365,5.034,8.0,0.99,True,True,PASS
fold1_room2_mix040,walk,critical,traffic2,2,0.007,1.78e-07,50.00091417333875,50.0,0.276,0.246,0.792,4.18,1.0,True,True,PASS
fold1_room2_mix041,static,caution,traffic2,3,0.7976,2.62e-07,45.43207195828595,45.43,0.292,0.264,1.587,6.55,0.98,True,True,PASS
fold1_room2_mix042,static,safe,traffic2,2,0.0034,1.78e-07,51.11897314515657,51.12,0.265,0.348,11.594,4.54,0.87,True,True,PASS
fold1_room2_mix043,walk,critical,traffic2,3,0.0104,2.30e-07,60.018524881283724,60.02,0.387,0.324,1.106,7.78,0.38,True,True,PASS
fold1_room2_mix044,walk,caution,traffic2,2,0.0045,1.78e-07,43.672932371070196,43.67,0.311,0.308,2.291,5.91,0.99,True,True,PASS
fold1_room2_mix045,static,safe,traffic2,3,0.0102,2.24e-07,56.28283504923348,56.28,0.37,0.259,8.648,4.02,0.43,True,True,PASS
fold1_room2_mix046,static,critical,traffic2,2,0.0051,1.77e-07,46.258278284217994,46.26,0.276,0.348,0.626,7.56,0.98,True,True,PASS
fold1_room2_mix047,walk,caution,traffic2,3,0.0021,2.27e-07,60.186315356047295,60.19,0.295,0.282,1.889,8.92,0.26,True,True,PASS
fold1_room2_mix048,walk,safe,traffic2,2,0.0026,1.76e-07,52.30760403365572,52.31,0.274,0.285,5.788,7.01,0.67,True,True,PASS
fold1_room2_mix049,static,critical,traffic2,3,0.003,2.29e-07,47.89897098250018,47.9,0.284,0.36,1.247,8.8,0.98,True,True,PASS
fold1_room2_mix050,static,caution,traffic2,2,0.0025,1.77e-07,51.50821155226994,51.51,0.261,0.315,2.389,8.52,0.57,True,True,PASS
fold1_room2_mix051,walk,safe,traffic2,3,0.0871,2.28e-07,40.420797452691424,40.42,0.291,0.284,14.023,4.87,0.99,True,True,PASS
fold1_room2_mix052,walk,critical,traffic2,2,0.0039,1.78e-07,43.408987670938295,43.41,0.295,0.337,0.866,4.21,1.0,True,True,PASS
fold1_room2_mix053,static,caution,traffic2,3,0.063,2.26e-07,44.12893343235574,44.13,0.33,0.353,2.989,7.51,0.97,True,True,PASS
fold1_room2_mix054,static,safe,traffic2,2,0.0024,1.77e-07,42.579561950772224,42.58,0.26,0.286,4.731,8.01,0.99,True,True,PASS
fold1_room2_mix055,walk,critical,traffic2,3,0.0028,2.26e-07,41.664317417214036,41.66,0.35,0.279,1.274,8.29,0.99,True,True,PASS
fold1_room2_mix056,walk,caution,traffic2,2,0.0016,1.77e-07,43.45468206288733,43.45,0.278,0.339,2.702,8.01,0.99,True,True,PASS
fold1_room2_mix057,static,safe,traffic2,3,0.0048,2.32e-07,43.386421254779826,43.39,0.343,0.324,10.116,8.28,0.97,True,True,PASS
fold1_room2_mix058,static,critical,traffic2,2,0.0054,1.78e-07,61.92876816594976,61.93,0.295,0.298,1.444,8.55,0.54,True,True,PASS
fold1_room2_mix059,walk,caution,traffic2,3,0.002,2.34e-07,42.87728315730997,42.88,0.258,0.297,2.554,4.6,0.99,True,True,PASS
fold1_room2_mix060,walk,safe,traffic2,2,0.0039,1.76e-07,57.241191148074165,57.24,0.274,0.264,8.039,6.96,0.39,True,True,PASS
fold1_room2_mix061,static,critical,traffic3,4,0.022,2.79e-07,52.995559695311336,53.0,0.305,0.293,1.393,6.14,0.52,True,True,PASS
fold1_room2_mix062,static,caution,traffic3,3,0.0033,2.31e-07,42.66672629718726,42.67,0.265,0.357,2.907,4.72,0.99,True,True,PASS
fold1_room2_mix063,walk,safe,traffic3,4,0.0215,2.77e-07,43.60341240903017,43.6,0.352,0.407,13.657,4.32,0.99,True,True,PASS
fold1_room2_mix064,walk,critical,traffic3,3,0.0028,2.34e-07,41.48848293908134,41.49,0.266,0.353,1.014,8.04,0.98,True,True,PASS
fold1_room2_mix065,static,caution,traffic3,4,0.0038,2.70e-07,61.100908162435296,61.1,0.359,0.247,2.939,4.91,0.28,True,True,PASS
