frame,class,snr_a_db
0,4,-508.81
1,4,-508.74
2,4,-508.85
3,4,-11.16
4,4,-9.69
5,4,-9.58
6,4,-9.45
7,4,-9.33
8,4,-9.62
9,4,-9.13
10,4,-9.42
11,4,-8.73
12,4,-9.64
13,4,-8.92
14,4,-8.36
15,4,-8.58
16,4,-9.25
17,4,-7.69
18,4,-7.67
19,4,-7.19
20,4,-7.55
21,4,-8.22
22,4,-8.23
23,4,-7.85
24,4,-7.58
25,4,-7.45
26,4,-6.76
27,4,-6.88
28,4,-7.1
29,4,-6.92
30,4,-6.79
31,4,-6.21
32,4,-6.6
33,4,-6.55
34,4,-5.93
35,4,-5.86
36,4,-5.83
37,4,-6.61
38,4,-5.41
39,4,-5.27
40,4,-5.32
41,4,-5.07
42,4,-5.31
43,4,-5.26
44,4,-5.04
45,4,-4.64
46,4,-4.16
47,4,-4.69
48,4,-3.76
49,4,-4.48
50,4,-4.64
51,4,-3.55
52,4,-4.14
53,4,-3.66
54,4,-3.85
55,4,-3.6
56,4,-3.84
57,4,-3.63
58,4,-2.67
59,4,-2.82
60,4,-1.76
61,4,-1.56
62,4,-1.12
63,4,0.15
64,4,0.97
65,4,1.89
66,4,2.29
67,4,3.19
68,4,4.22
69,4,5.06
70,4,6.12
71,4,6.7
72,4,7.25
73,4,8.1
74,4,9.94
75,4,10.76
76,4,10.86
77,4,12.56
78,4,13.87
79,4,14.7
80,4,14.08
81,4,14.42
82,4,13.02
83,4,12.4
84,4,11.56
85,4,10.24
86,4,9.56
87,4,7.44
88,4,7.41
89,4,6.79
90,4,5.77
91,4,5.6
92,4,4.34
93,4,3.49
94,4,2.74
95,4,1.57
96,4,0.02
97,4,0.11
98,4,-1.31
99,4,-1.62
