name,motion,tier,scenario,n_src,peak,recon_err,noise_dba_target,noise_dba_meas,az_med_max,el_med_max,cpa_rel_dist_m,cpa_rel_time_s,car_audible_frac,recv_ok,mask_ok,result
fold1_room4_mix001,static,critical,normal,1,0.004,1.19e-07,64.19696943644965,64.2,0.467,0.302,0.79,6.39,0.16,True,True,PASS
fold1_room4_mix002,walk,caution,normal,1,0.0014,1.19e-07,40.0297276203253,40.03,0.276,0.33,2.344,8.4,0.97,True,True,PASS
fold1_room4_mix003,static,safe,normal,1,0.0006,1.19e-07,42.63790905829148,42.64,0.234,0.278,11.836,8.06,0.97,True,True,PASS
fold1_room4_mix004,walk,critical,normal,1,0.0029,1.19e-07,57.60184228209853,57.6,0.265,0.335,0.87,8.5,0.35,True,True,PASS
fold1_room4_mix005,static,caution,normal,1,0.0028,1.19e-07,42.799223725053366,42.8,0.281,0.302,1.579,7.78,0.98,True,True,PASS
fold1_room4_mix006,walk,safe,normal,1,0.0011,1.19e-07,46.00396377654705,46.0,0.262,0.295,5.681,8.19,0.96,True,True,PASS
fold1_room4_mix007,static,critical,normal,1,0.0026,1.19e-07,61.17455295997761,61.17,0.374,0.302,1.359,8.73,0.23,True,True,PASS
fold1_room4_mix008,walk,caution,normal,1,0.0025,1.19e-07,52.67488919614705,52.67,0.278,0.24,2.096,7.25,0.64,True,True,PASS
fold1_room4_mix009,static,safe,normal,1,0.0018,1.19e-07,63.00465613936732,63.0,0.275,0.261,3.962,8.29,0.33,True,True,PASS
fold1_room4_mix010,walk,critical,normal,1,0.0049,1.19e-07,57.84376967286086,57.84,0.291,0.285,0.808,8.64,0.34,True,True,PASS
fold1_room4_mix011,static,caution,normal,1,0.002,1.19e-07,48.49532417169633,48.5,0.231,0.289,2.139,6.8,0.98,True,True,PASS
fold1_room4_mix012,walk,safe,normal,1,0.0014,1.19e-07,45.29656987476951,45.3,0.291,0.253,5.012,8.09,0.96,True,True,PASS
fold1_room4_mix013,static,critical,normal,1,0.0037,1.19e-07,54.924327511863716,54.92,0.246,0.211,1.089,6.5,0.77,True,True,PASS
fold1_room4_mix014,walk,caution,normal,1,0.0021,1.19e-07,58.13324404426859,58.13,0.337,0.217,2.417,7.68,0.38,True,True,PASS
fold1_room4_mix015,static,safe,normal,1,0.001,1.19e-07,56.263975969107975,56.26,0.255,0.167,7.252,7.36,0.54,True,True,PASS
fold1_room4_mix016,walk,critical,normal,1,0.0066,1.19e-07,47.443467464445824,47.44,0.334,0.229,0.641,8.78,0.94,True,True,PASS
fold1_room4_mix017,static,caution,normal,1,0.0022,1.19e-07,52.43967685701129,52.44,0.261,0.308,2.232,8.54,0.77,True,True,PASS
fold1_room4_mix018,walk,safe,normal,1,0.0014,1.19e-07,51.55623481474413,51.56,0.266,0.324,5.1,6.11,0.97,True,True,PASS
fold1_room4_mix019,static,critical,normal,1,0.0039,1.19e-07,40.041128845358415,40.04,0.24,0.29,1.161,7.37,0.97,True,True,PASS
fold1_room4_mix020,walk,caution,normal,1,0.002,1.19e-07,48.38899301097578,48.39,0.291,0.329,2.072,7.41,0.83,True,True,PASS
fold1_room4_mix021,static,safe,normal,1,0.0009,1.19e-07,61.21648750956771,61.22,0.307,0.218,8.1,7.94,0.23,True,True,PASS
fold1_room4_mix022,walk,critical,normal,1,0.0028,1.19e-07,55.80560002908744,55.81,0.345,0.332,1.087,8.82,0.29,True,True,PASS
fold1_room4_mix023,static,caution,normal,1,0.0039,1.19e-07,50.83621349482875,50.84,0.277,0.285,1.969,8.01,0.97,True,True,PASS
fold1_room4_mix024,walk,safe,normal,1,0.0005,1.19e-07,50.5214045555079,50.52,0.247,0.313,12.46,8.0,0.52,True,True,PASS
fold1_room4_mix025,static,critical,normal,1,0.0053,1.19e-07,50.35183184188024,50.35,0.304,0.29,0.696,7.62,0.77,True,True,PASS
fold1_room4_mix026,walk,caution,normal,1,0.0024,1.19e-07,54.8195426713789,54.82,0.301,0.219,1.704,7.51,0.48,True,True,PASS
fold1_room4_mix027,static,safe,normal,1,0.0003,1.19e-07,55.840509932936016,55.84,0.217,0.122,14.369,8.65,0.34,True,True,PASS
fold1_room4_mix028,walk,critical,normal,1,0.0047,1.19e-07,59.18716104061196,59.19,0.304,0.27,0.792,6.97,0.36,True,True,PASS
fold1_room4_mix029,static,caution,normal,1,0.0036,1.19e-07,42.49868186643899,42.5,0.273,0.256,2.336,7.45,0.99,True,True,PASS
fold1_room4_mix030,walk,safe,normal,1,0.0018,1.19e-07,64.17988527684923,64.18,0.234,0.271,3.724,6.47,0.39,True,True,PASS
fold1_room4_mix031,static,critical,normal,1,0.0042,1.19e-07,43.621827047196994,43.62,0.257,0.286,0.899,8.45,0.98,True,True,PASS
fold1_room4_mix032,walk,caution,normal,1,0.0028,1.19e-07,55.939601349706734,55.94,0.219,0.278,2.668,7.61,0.73,True,True,PASS
fold1_room4_mix033,static,safe,normal,1,0.0004,1.19e-07,40.660192257108115,40.66,0.249,0.3,11.765,6.4,0.99,True,True,PASS
fold1_room4_mix034,walk,critical,normal,1,0.0041,1.19e-07,63.774072707569296,63.77,0.337,0.214,0.873,6.92,0.28,True,True,PASS
fold1_room4_mix035,static,caution,normal,1,0.0026,1.19e-07,60.93964659903513,60.94,0.309,0.213,1.879,7.07,0.6,True,True,PASS
fold1_room4_mix036,walk,safe,normal,1,0.001,1.19e-07,46.738745160916444,46.74,0.216,0.279,9.401,6.59,0.99,True,True,PASS
fold1_room4_mix037,static,critical,normal,1,0.0048,1.19e-07,57.75274620967598,57.75,0.278,0.221,0.995,7.08,0.5,True,True,PASS
fold1_room4_mix038,walk,caution,normal,1,0.0021,1.19e-07,47.06723533275797,47.07,0.294,0.215,2.24,7.33,0.99,True,True,PASS
fold1_room4_mix039,static,safe,normal,1,0.0007,1.19e-07,41.97408870177466,41.97,0.262,0.225,9.165,8.0,0.98,True,True,PASS
fold1_room4_mix040,walk,critical,normal,1,0.0077,1.19e-07,52.201456371838376,52.2,0.265,0.339,0.69,6.05,0.99,True,True,PASS
fold1_room4_mix041,static,caution,normal,1,0.0028,1.19e-07,63.26297686914939,63.26,0.374,0.202,1.921,8.79,0.29,True,True,PASS
fold1_room4_mix042,walk,safe,normal,1,0.0006,1.19e-07,47.30516737819756,47.31,0.258,0.255,9.813,8.86,0.98,True,True,PASS
fold1_room4_mix043,static,critical,normal,1,0.0022,1.19e-07,46.171862902046556,46.17,0.2,0.328,1.184,7.0,0.86,True,True,PASS
fold1_room4_mix044,walk,caution,normal,1,0.0032,1.19e-07,47.035468172081345,47.04,0.301,0.329,1.552,8.49,0.98,True,True,PASS
fold1_room4_mix045,static,safe,normal,1,0.0007,1.19e-07,51.54862938817722,51.55,0.225,0.296,8.992,8.4,0.82,True,True,PASS
fold1_room4_mix046,walk,critical,normal,1,0.0028,1.19e-07,55.63789301849581,55.64,0.288,0.206,1.019,7.4,0.55,True,True,PASS
fold1_room4_mix047,static,caution,normal,1,0.0019,1.19e-07,42.343492546505054,42.34,0.205,0.251,1.551,7.6,0.97,True,True,PASS
fold1_room4_mix048,walk,safe,normal,1,0.0008,1.19e-07,64.77318231443921,64.77,0.331,0.452,9.495,7.89,0.05,True,True,PASS
fold1_room4_mix049,static,critical,normal,1,0.006,1.19e-07,64.06707126480066,64.07,0.376,0.336,0.864,8.63,0.27,True,True,PASS
fold1_room4_mix050,walk,caution,normal,1,0.0033,1.19e-07,59.35860911679141,59.36,0.387,0.302,1.613,8.93,0.26,True,True,PASS
