frame,class,snr_a_db
0,4,-514.21
1,4,-514.32
2,4,-21.4
3,4,-13.68
4,4,-13.16
5,4,-12.85
6,4,-12.72
7,4,-13.33
8,4,-12.63
9,4,-12.29
10,4,-12.92
11,4,-12.83
12,4,-12.09
13,4,-11.8
14,4,-11.62
15,4,-12.05
16,4,-11.87
17,4,-11.72
18,4,-11.16
19,4,-11.34
20,4,-11.31
21,4,-10.34
22,4,-10.61
23,4,-10.71
24,4,-11.11
25,4,-10.72
26,4,-9.96
27,4,-10.11
28,4,-9.9
29,4,-10.55
30,4,-9.8
31,4,-9.7
32,4,-9.57
33,4,-9.7
34,4,-10.0
35,4,-8.85
36,4,-9.41
37,4,-8.98
38,4,-9.02
39,4,-9.76
40,4,-8.89
41,4,-8.4
42,4,-9.34
43,4,-7.84
44,4,-7.74
45,4,-7.84
46,4,-7.67
47,4,-6.82
48,4,-5.23
49,4,-4.89
50,4,-4.56
51,4,-3.43
52,4,-2.95
53,4,-2.29
54,4,-1.06
55,4,-0.61
56,4,0.07
57,4,0.84
58,4,1.55
59,4,1.54
60,4,3.07
61,4,2.44
62,4,2.51
63,4,2.62
64,4,3.31
65,4,3.57
66,4,3.09
67,4,2.76
68,4,2.94
69,4,2.29
70,4,0.44
71,4,0.63
72,4,1.22
73,4,0.15
74,4,-0.81
75,4,-1.31
76,4,-1.9
77,4,-3.31
78,4,-4.53
79,4,-5.13
80,4,-5.28
81,4,-6.66
82,4,-6.86
83,4,-7.36
84,4,-7.03
85,4,-7.27
86,4,-7.83
87,4,-8.14
88,4,-8.67
89,4,-7.79
90,4,-8.43
91,4,-8.39
92,4,-8.82
93,4,-9.11
94,4,-8.45
95,4,-9.37
96,4,-8.81
97,4,-8.83
98,4,-9.58
99,4,-9.35
0,0,-514.21
1,0,-514.32
2,0,-514.15
3,0,-514.04
4,0,-514.08
5,0,-514.08
6,0,-514.18
7,0,-514.13
8,0,-514.15
9,0,-513.8
10,0,-514.28
11,0,-514.12
12,0,-514.11
13,0,-513.79
14,0,-514.15
15,0,-514.38
16,0,-514.01
17,0,-514.39
18,0,-514.21
19,0,-514.02
20,0,-514.27
21,0,-513.99
22,0,-513.83
23,0,-513.96
24,0,-514.15
25,0,30.85
26,0,38.36
27,0,38.72
28,0,39.45
29,0,39.4
30,0,40.36
31,0,40.62
32,0,41.58
33,0,42.62
34,0,43.68
35,0,44.46
36,0,44.57
37,0,46.4
38,0,48.27
39,0,50.09
40,0,51.44
41,0,52.52
42,0,51.82
43,0,52.18
44,0,52.53
45,0,52.45
46,0,51.55
47,0,49.66
48,0,47.84
49,0,45.53
50,0,43.07
51,0,42.52
52,0,41.38
53,0,40.86
54,0,40.33
55,0,39.71
56,0,39.24
57,0,38.98
58,0,38.93
59,0,38.44
60,0,38.26
61,0,37.81
62,0,37.42
63,0,37.33
64,0,37.04
65,0,37.11
66,0,36.9
67,0,36.37
68,0,29.29
69,0,-514.46
70,0,-514.61
71,0,-514.37
72,0,-514.14
73,0,-514.11
74,0,-514.2
75,0,-514.05
76,0,-514.17
77,0,-514.11
78,0,-514.43
79,0,-514.24
80,0,-513.97
81,0,-514.34
82,0,-514.36
83,0,-514.3
84,0,-514.15
85,0,-514.03
86,0,-513.98
87,0,-514.46
88,0,-514.33
89,0,-514.08
90,0,-514.35
91,0,-514.28
92,0,-514.25
93,0,-514.16
94,0,-513.95
95,0,-514.07
96,0,-514.09
97,0,-514.13
98,0,-513.83
99,0,-514.16
