clip_id,split,motion,n_warnings,w1_class,w1_side,w2_class,w2_side,danger_tier,car_side,scenario,seed
fold1_room4_mix001,fold1,static,0,,,,,critical,L,normal,12419893199
fold1_room4_mix002,fold1,walk,0,,,,,caution,L,normal,12419893200
fold1_room4_mix003,fold1,static,0,,,,,safe,L,normal,12419893201
fold1_room4_mix004,fold1,walk,0,,,,,critical,R,normal,12419893202
fold1_room4_mix005,fold1,static,0,,,,,caution,R,normal,12419893203
fold1_room4_mix006,fold1,walk,0,,,,,safe,R,normal,12419893204
fold1_room4_mix007,fold1,static,0,,,,,critical,L,normal,12419893205
fold1_room4_mix008,fold1,walk,0,,,,,caution,L,normal,12419893206
fold1_room4_mix009,fold1,static,0,,,,,safe,L,normal,12419893207
fold1_room4_mix010,fold1,walk,0,,,,,critical,R,normal,12419893208
fold1_room4_mix011,fold1,static,0,,,,,caution,R,normal,12419893209
fold1_room4_mix012,fold1,walk,0,,,,,safe,R,normal,12419893210
fold1_room4_mix013,fold1,static,0,,,,,critical,L,normal,12419893211
fold1_room4_mix014,fold1,walk,0,,,,,caution,L,normal,12419893212
fold1_room4_mix015,fold1,static,0,,,,,safe,L,normal,12419893213
fold1_room4_mix016,fold1,walk,0,,,,,critical,R,normal,12419893214
fold1_room4_mix017,fold1,static,0,,,,,caution,R,normal,12419893215
fold1_room4_mix018,fold1,walk,0,,,,,safe,R,normal,12419893216
fold1_room4_mix019,fold1,static,0,,,,,critical,L,normal,12419893217
fold1_room4_mix020,fold1,walk,0,,,,,caution,L,normal,12419893218
fold1_room4_mix021,fold1,static,0,,,,,safe,L,normal,12419893219
fold1_room4_mix022,fold1,walk,0,,,,,critical,R,normal,12419893220
fold1_room4_mix023,fold1,static,0,,,,,caution,R,normal,12419893221
fold1_room4_mix024,fold1,walk,0,,,,,safe,R,normal,12419893222
fold1_room4_mix025,fold1,static,0,,,,,critical,L,normal,12419893223
fold1_room4_mix026,fold1,walk,0,,,,,caution,L,normal,12419893224
fold1_room4_mix027,fold1,static,0,,,,,safe,L,normal,12419893225
fold1_room4_mix028,fold1,walk,0,,,,,critical,R,normal,12419893226
fold1_room4_mix029,fold1,static,0,,,,,caution,R,normal,12419893227
fold1_room4_mix030,fold1,walk,0,,,,,safe,R,normal,12419893228
fold1_room4_mix031,fold1,static,0,,,,,critical,L,normal,12419893229
fold1_room4_mix032,fold1,walk,0,,,,,caution,L,normal,12419893230
fold1_room4_mix033,fold1,static,0,,,,,safe,L,normal,12419893231
fold1_room4_mix034,fold1,walk,0,,,,,critical,R,normal,12419893232
fold1_room4_mix035,fold1,static,0,,,,,caution,R,normal,12419893233
fold1_room4_mix036,fold1,walk,0,,,,,safe,R,normal,12419893234
fold1_room4_mix037,fold1,static,0,,,,,critical,L,normal,12419893235
fold1_room4_mix038,fold1,walk,0,,,,,caution,L,normal,12419893236
fold1_room4_mix039,fold1,static,0,,,,,safe,L,normal,12419893237
fold1_room4_mix040,fold1,walk,0,,,,,critical,R,normal,12419893238
fold1_room4_mix041,fold1,static,0,,,,,caution,R,normal,12419893239
fold1_room4_mix042,fold1,walk,0,,,,,safe,R,normal,12419893240
fold1_room4_mix043,fold1,static,0,,,,,critical,L,normal,12419893241
fold1_room4_mix044,fold1,walk,0,,,,,caution,L,normal,12419893242
fold1_room4_mix045,fold1,static,0,,,,,safe,L,normal,12419893243
fold1_room4_mix046,fold1,walk,0,,,,,critical,R,normal,12419893244
fold1_room4_mix047,fold1,static,0,,,,,caution,R,normal,12419893245
fold1_room4_mix048,fold1,walk,0,,,,,safe,R,normal,12419893246
fold1_room4_mix049,fold1,static,0,,,,,critical,L,normal,12419893247
fold1_room4_mix050,fold1,walk,0,,,,,caution,L,normal,12419893248
fold1_room4_mix051,fold1,static,0,,,,,safe,L,normal,12419893249
fold1_room4_mix052,fold1,walk,0,,,,,critical,R,normal,12419893250
fold1_room4_mix053,fold1,static,0,,,,,caution,R,normal,12419893251
fold1_room4_mix054,fold1,walk,0,,,,,safe,R,normal,12419893252
fold1_room4_mix055,fold1,static,0,,,,,critical,L,normal,12419893253
fold1_room4_mix056,fold1,walk,0,,,,,caution,L,normal,12419893254
fold1_room4_mix057,fold1,static,0,,,,,safe,L,normal,12419893255
fold1_room4_mix058,fold1,walk,0,,,,,critical,R,normal,12419893256
fold1_room4_mix059,fold1,static,0,,,,,caution,R,normal,12419893257
fold1_room4_mix060,fold1,walk,0,,,,,safe,R,normal,12419893258
fold1_room4_mix061,fold1,static,0,,,,,critical,L,normal,12419893259
fold1_room4_mix062,fold1,walk,0,,,,,caution,L,normal,12419893260
fold1_room4_mix063,fold1,static,0,,,,,safe,L,normal,12419893261
fold1_room4_mix064,fold1,walk,0,,,,,critical,R,normal,12419893262
fold1_room4_mix065,fold1,static,0,,,,,caution,R,normal,12419893263
fold1_room4_mix066,fold1,walk,0,,,,,safe,R,normal,12419893264
fold1_room4_mix067,fold1,static,0,,,,,critical,L,normal,12419893265
fold1_room4_mix068,fold1,walk,0,,,,,caution,L,normal,12419893266
fold1_room4_mix069,fold1,static,0,,,,,safe,L,normal,12419893267
fold1_room4_mix070,fold1,walk,0,,,,,critical,R,normal,12419893268
fold1_room4_mix071,fold1,static,0,,,,,caution,R,normal,12419893269
fold1_room4_mix072,fold1,walk,0,,,,,safe,R,normal,12419893270
fold1_room4_mix073,fold1,static,0,,,,,critical,L,normal,12419893271
fold1_room4_mix074,fold1,walk,0,,,,,caution,L,normal,12419893272
fold1_room4_mix075,fold1,static,0,,,,,safe,L,normal,12419893273
fold1_room4_mix076,fold1,walk,0,,,,,critical,R,normal,12419893274
fold1_room4_mix077,fold1,static,0,,,,,caution,R,normal,12419893275
fold1_room4_mix078,fold1,walk,0,,,,,safe,R,normal,12419893276
fold1_room4_mix079,fold1,static,0,,,,,critical,L,normal,12419893277
fold1_room4_mix080,fold1,walk,0,,,,,caution,L,normal,12419893278
fold1_room4_mix081,fold1,static,0,,,,,safe,L,normal,12419893279
fold1_room4_mix082,fold1,walk,1,horn,R,,,critical,R,normal,12419893280
fold1_room4_mix083,fold1,static,1,backup_beep,L,,,caution,R,normal,12419893281
fold1_room4_mix084,fold1,walk,1,bike_bell,R,,,safe,R,normal,12419893282
fold1_room4_mix085,fold1,static,1,crossing,L,,,critical,L,normal,12419893283
