t_s,obj,class,az_deg,dist_m
0.2,0,car,-176.2,41.50
0.3,0,car,-176.2,40.79
0.4,0,car,-176.1,40.08
0.5,0,car,-176.0,39.36
0.6,0,car,-175.9,38.65
0.7,0,car,-175.9,37.94
0.8,0,car,-175.8,37.23
0.9,0,car,-175.7,36.52
1.0,0,car,-175.6,35.80
1.1,0,car,-175.5,35.09
1.2,0,car,-175.4,34.38
1.3,0,car,-175.3,33.67
1.4,0,car,-175.2,32.96
1.5,0,car,-175.1,32.25
1.6,0,car,-175.0,31.54
1.7,0,car,-174.9,30.82
1.8,0,car,-174.8,30.11
1.9,0,car,-174.7,29.40
2.0,0,car,-174.5,28.69
2.1,0,car,-174.4,27.98
2.2,0,car,-174.2,27.27
2.3,0,car,-174.1,26.56
2.4,0,car,-173.9,25.85
2.5,0,car,-173.8,25.14
2.6,0,car,-173.6,24.43
2.7,0,car,-173.4,23.72
2.8,0,car,-173.2,23.02
2.9,0,car,-173.0,22.31
3.0,0,car,-172.7,21.60
3.1,0,car,-172.5,20.89
3.2,0,car,-172.2,20.18
3.3,0,car,-171.9,19.48
3.4,0,car,-171.6,18.77
3.5,0,car,-171.3,18.07
3.6,0,car,-170.9,17.36
3.7,0,car,-170.6,16.66
3.8,0,car,-170.1,15.95
3.9,0,car,-169.7,15.25
4.0,0,car,-169.2,14.55
4.1,0,car,-168.6,13.85
4.2,0,car,-168.0,13.15
4.3,0,car,-167.3,12.45
4.4,0,car,-166.6,11.76
4.5,0,car,-165.7,11.07
4.6,0,car,-164.7,10.38
4.7,0,car,-163.6,9.69
4.8,0,car,-162.3,9.01
4.9,0,car,-160.8,8.34
5.0,0,car,-159.1,7.67
5.1,0,car,-157.0,7.01
5.2,0,car,-154.5,6.36
5.3,0,car,-151.4,5.73
5.4,0,car,-147.6,5.12
5.5,0,car,-142.7,4.54
5.6,0,car,-136.5,4.00
5.7,0,car,-128.5,3.53
5.8,0,car,-118.3,3.14
5.9,0,car,-105.7,2.89
6.0,0,car,-91.4,2.80
6.1,0,car,-77.0,2.89
6.2,0,car,-64.2,3.14
6.3,0,car,-53.7,3.53
6.4,0,car,-45.4,4.00
6.5,0,car,-39.0,4.54
6.6,0,car,-33.9,5.12
6.7,0,car,-29.9,5.73
6.8,0,car,-26.7,6.36
6.9,0,car,-24.1,7.01
7.0,0,car,-21.9,7.67
7.1,0,car,-20.1,8.34
7.2,0,car,-18.5,9.01
7.3,0,car,-17.2,9.69
7.4,0,car,-16.0,10.38
7.5,0,car,-15.0,11.07
7.6,0,car,-14.1,11.76
7.7,0,car,-13.3,12.45
7.8,0,car,-12.6,13.15
7.9,0,car,-11.9,13.85
8.0,0,car,-11.4,14.55
8.1,0,car,-10.8,15.25
8.2,0,car,-10.4,15.95
8.3,0,car,-9.9,16.66
8.4,0,car,-9.5,17.36
8.5,0,car,-9.1,18.07
8.6,0,car,-8.8,18.77
8.7,0,car,-8.5,19.48
8.8,0,car,-8.2,20.18
8.9,0,car,-7.9,20.89
9.0,0,car,-7.6,21.60
9.1,0,car,-7.4,22.31
9.2,0,car,-7.2,23.02
9.3,0,car,-6.9,23.72
9.4,0,car,-6.7,24.43
9.5,0,car,-6.5,25.14
9.6,0,car,-6.4,25.85
9.7,0,car,-6.2,26.56
9.8,0,car,-6.0,27.27
9.9,0,car,-5.9,27.98
