t_s,obj,class,az_deg,dist_m
0.2,0,car,-177.3,41.45
0.3,0,car,-177.3,40.74
0.4,0,car,-177.2,40.03
0.5,0,car,-177.2,39.31
0.6,0,car,-177.1,38.60
0.7,0,car,-177.0,37.89
0.8,0,car,-177.0,37.18
0.9,0,car,-176.9,36.46
1.0,0,car,-176.9,35.75
1.1,0,car,-176.8,35.04
1.2,0,car,-176.7,34.32
1.3,0,car,-176.7,33.61
1.4,0,car,-176.6,32.90
1.5,0,car,-176.5,32.19
1.6,0,car,-176.4,31.47
1.7,0,car,-176.4,30.76
1.8,0,car,-176.3,30.05
1.9,0,car,-176.2,29.34
2.0,0,car,-176.1,28.63
2.1,0,car,-176.0,27.91
2.2,0,car,-175.9,27.20
2.3,0,car,-175.8,26.49
2.4,0,car,-175.7,25.78
2.5,0,car,-175.5,25.07
2.6,0,car,-175.4,24.35
2.7,0,car,-175.3,23.64
2.8,0,car,-175.1,22.93
2.9,0,car,-175.0,22.22
3.0,0,car,-174.8,21.51
3.1,0,car,-174.6,20.80
3.2,0,car,-174.4,20.09
3.3,0,car,-174.2,19.38
3.4,0,car,-174.0,18.67
3.5,0,car,-173.8,17.96
3.6,0,car,-173.5,17.25
3.7,0,car,-173.2,16.54
3.8,0,car,-172.9,15.83
3.9,0,car,-172.6,15.12
4.0,0,car,-172.2,14.42
4.1,0,car,-171.8,13.71
4.2,0,car,-171.4,13.00
4.3,0,car,-170.9,12.30
4.4,0,car,-170.3,11.60
4.5,0,car,-169.7,10.89
4.6,0,car,-169.0,10.19
4.7,0,car,-168.1,9.49
4.8,0,car,-167.2,8.80
4.9,0,car,-166.1,8.10
5.0,0,car,-164.7,7.41
5.1,0,car,-163.1,6.73
5.2,0,car,-161.2,6.05
5.3,0,car,-158.7,5.38
5.4,0,car,-155.6,4.73
5.5,0,car,-151.4,4.09
5.6,0,car,-145.8,3.49
5.7,0,car,-137.9,2.93
5.8,0,car,-126.7,2.46
5.9,0,car,-111.0,2.12
6.0,0,car,-91.4,2.00
6.1,0,car,-71.7,2.12
6.2,0,car,-55.6,2.46
6.3,0,car,-44.0,2.93
6.4,0,car,-35.8,3.49
6.5,0,car,-29.9,4.09
6.6,0,car,-25.6,4.73
6.7,0,car,-22.3,5.38
6.8,0,car,-19.8,6.05
6.9,0,car,-17.7,6.73
7.0,0,car,-16.0,7.41
7.1,0,car,-14.6,8.10
7.2,0,car,-13.5,8.80
7.3,0,car,-12.5,9.49
7.4,0,car,-11.6,10.19
7.5,0,car,-10.8,10.89
7.6,0,car,-10.2,11.60
7.7,0,car,-9.6,12.30
7.8,0,car,-9.1,13.00
7.9,0,car,-8.6,13.71
8.0,0,car,-8.2,14.42
8.1,0,car,-7.8,15.12
8.2,0,car,-7.4,15.83
8.3,0,car,-7.1,16.54
8.4,0,car,-6.8,17.25
8.5,0,car,-6.5,17.96
8.6,0,car,-6.3,18.67
8.7,0,car,-6.1,19.38
8.8,0,car,-5.9,20.09
8.9,0,car,-5.7,20.80
9.0,0,car,-5.5,21.51
9.1,0,car,-5.3,22.22
9.2,0,car,-5.1,22.93
9.3,0,car,-5.0,23.64
9.4,0,car,-4.8,24.35
9.5,0,car,-4.7,25.07
9.6,0,car,-4.6,25.78
9.7,0,car,-4.4,26.49
9.8,0,car,-4.3,27.20
9.9,0,car,-4.2,27.91
