t_s,obj,class,az_deg,dist_m
0.2,0,car,-175.3,41.55
0.3,0,car,-175.2,40.84
0.4,0,car,-175.1,40.13
0.5,0,car,-175.0,39.42
0.6,0,car,-174.9,38.71
0.7,0,car,-174.8,38.00
0.8,0,car,-174.7,37.29
0.9,0,car,-174.6,36.58
1.0,0,car,-174.5,35.87
1.1,0,car,-174.4,35.16
1.2,0,car,-174.3,34.44
1.3,0,car,-174.2,33.73
1.4,0,car,-174.1,33.02
1.5,0,car,-173.9,32.32
1.6,0,car,-173.8,31.61
1.7,0,car,-173.7,30.90
1.8,0,car,-173.5,30.19
1.9,0,car,-173.3,29.48
2.0,0,car,-173.2,28.77
2.1,0,car,-173.0,28.06
2.2,0,car,-172.8,27.35
2.3,0,car,-172.6,26.64
2.4,0,car,-172.4,25.94
2.5,0,car,-172.2,25.23
2.6,0,car,-172.0,24.52
2.7,0,car,-171.8,23.82
2.8,0,car,-171.5,23.11
2.9,0,car,-171.2,22.41
3.0,0,car,-170.9,21.70
3.1,0,car,-170.6,21.00
3.2,0,car,-170.3,20.29
3.3,0,car,-170.0,19.59
3.4,0,car,-169.6,18.89
3.5,0,car,-169.2,18.19
3.6,0,car,-168.7,17.49
3.7,0,car,-168.3,16.79
3.8,0,car,-167.7,16.09
3.9,0,car,-167.2,15.39
4.0,0,car,-166.6,14.70
4.1,0,car,-165.9,14.01
4.2,0,car,-165.1,13.32
4.3,0,car,-164.3,12.63
4.4,0,car,-163.4,11.95
4.5,0,car,-162.3,11.27
4.6,0,car,-161.2,10.59
4.7,0,car,-159.8,9.92
4.8,0,car,-158.3,9.25
4.9,0,car,-156.5,8.60
5.0,0,car,-154.5,7.95
5.1,0,car,-152.1,7.32
5.2,0,car,-149.2,6.70
5.3,0,car,-145.8,6.10
5.4,0,car,-141.6,5.53
5.5,0,car,-136.5,5.00
5.6,0,car,-130.3,4.52
5.7,0,car,-122.6,4.10
5.8,0,car,-113.5,3.78
5.9,0,car,-102.9,3.57
6.0,0,car,-91.4,3.50
6.1,0,car,-79.8,3.57
6.2,0,car,-69.1,3.78
6.3,0,car,-59.7,4.10
6.4,0,car,-51.9,4.52
6.5,0,car,-45.4,5.00
6.6,0,car,-40.1,5.53
6.7,0,car,-35.8,6.10
6.8,0,car,-32.2,6.70
6.9,0,car,-29.2,7.32
7.0,0,car,-26.7,7.95
7.1,0,car,-24.6,8.60
7.2,0,car,-22.7,9.25
7.3,0,car,-21.2,9.92
7.4,0,car,-19.8,10.59
7.5,0,car,-18.5,11.27
7.6,0,car,-17.4,11.95
7.7,0,car,-16.5,12.63
7.8,0,car,-15.6,13.32
7.9,0,car,-14.8,14.01
8.0,0,car,-14.1,14.70
8.1,0,car,-13.5,15.39
8.2,0,car,-12.9,16.09
8.3,0,car,-12.3,16.79
8.4,0,car,-11.8,17.49
8.5,0,car,-11.4,18.19
8.6,0,car,-10.9,18.89
8.7,0,car,-10.5,19.59
8.8,0,car,-10.2,20.29
8.9,0,car,-9.8,21.00
9.0,0,car,-9.5,21.70
9.1,0,car,-9.2,22.41
9.2,0,car,-8.9,23.11
9.3,0,car,-8.7,23.82
9.4,0,car,-8.4,24.52
9.5,0,car,-8.2,25.23
9.6,0,car,-7.9,25.94
9.7,0,car,-7.7,26.64
9.8,0,car,-7.5,27.35
9.9,0,car,-7.3,28.06
