t_s,obj,class,az_deg,dist_m
0.2,0,car,-1.2,48.34
0.3,0,car,-1.2,47.51
0.4,0,car,-1.2,46.68
0.5,0,car,-1.2,45.84
0.6,0,car,-1.2,45.01
0.7,0,car,-1.3,44.18
0.8,0,car,-1.3,43.34
0.9,0,car,-1.3,42.51
1.0,0,car,-1.3,41.68
1.1,0,car,-1.4,40.85
1.2,0,car,-1.4,40.01
1.3,0,car,-1.4,39.18
1.4,0,car,-1.5,38.35
1.5,0,car,-1.5,37.51
1.6,0,car,-1.5,36.68
1.7,0,car,-1.6,35.85
1.8,0,car,-1.6,35.01
1.9,0,car,-1.6,34.18
2.0,0,car,-1.7,33.35
2.1,0,car,-1.7,32.52
2.2,0,car,-1.8,31.68
2.3,0,car,-1.8,30.85
2.4,0,car,-1.9,30.02
2.5,0,car,-1.9,29.18
2.6,0,car,-2.0,28.35
2.7,0,car,-2.0,27.52
2.8,0,car,-2.1,26.69
2.9,0,car,-2.2,25.85
3.0,0,car,-2.2,25.02
3.1,0,car,-2.3,24.19
3.2,0,car,-2.4,23.35
3.3,0,car,-2.5,22.52
3.4,0,car,-2.6,21.69
3.5,0,car,-2.7,20.86
3.6,0,car,-2.8,20.02
3.7,0,car,-2.9,19.19
3.8,0,car,-3.0,18.36
3.9,0,car,-3.2,17.53
4.0,0,car,-3.4,16.70
4.1,0,car,-3.5,15.86
4.2,0,car,-3.7,15.03
4.3,0,car,-3.9,14.20
4.4,0,car,-4.2,13.37
4.5,0,car,-4.5,12.54
4.6,0,car,-4.8,11.71
4.7,0,car,-5.1,10.88
4.8,0,car,-5.6,10.05
4.9,0,car,-6.1,9.22
5.0,0,car,-6.7,8.39
5.1,0,car,-7.4,7.57
5.2,0,car,-8.3,6.74
5.3,0,car,-9.5,5.92
5.4,0,car,-11.0,5.10
5.5,0,car,-13.2,4.28
5.6,0,car,-16.3,3.48
5.7,0,car,-21.3,2.69
5.8,0,car,-30.2,1.94
5.9,0,car,-49.1,1.30
6.0,0,car,-88.6,1.00
6.1,0,car,-128.7,1.30
6.2,0,car,-148.3,1.94
6.3,0,car,-157.7,2.69
6.4,0,car,-162.9,3.48
6.5,0,car,-166.2,4.28
6.6,0,car,-168.4,5.10
6.7,0,car,-170.0,5.92
6.8,0,car,-171.3,6.74
6.9,0,car,-172.2,7.57
7.0,0,car,-173.0,8.39
7.1,0,car,-173.6,9.22
7.2,0,car,-174.2,10.05
7.3,0,car,-174.6,10.88
7.4,0,car,-175.0,11.71
7.5,0,car,-175.3,12.54
7.6,0,car,-175.6,13.37
7.7,0,car,-175.9,14.20
7.8,0,car,-176.1,15.03
7.9,0,car,-176.3,15.86
8.0,0,car,-176.5,16.70
8.1,0,car,-176.7,17.53
8.2,0,car,-176.8,18.36
8.3,0,car,-176.9,19.19
8.4,0,car,-177.1,20.02
8.5,0,car,-177.2,20.86
8.6,0,car,-177.3,21.69
8.7,0,car,-177.4,22.52
8.8,0,car,-177.5,23.35
8.9,0,car,-177.6,24.19
9.0,0,car,-177.7,25.02
9.1,0,car,-177.7,25.85
9.2,0,car,-177.8,26.69
9.3,0,car,-177.9,27.52
9.4,0,car,-177.9,28.35
9.5,0,car,-178.0,29.18
9.6,0,car,-178.0,30.02
9.7,0,car,-178.1,30.85
9.8,0,car,-178.1,31.68
9.9,0,car,-178.2,32.52
0.3,1,car,177.3,91.22
0.4,1,car,177.2,90.11
0.5,1,car,177.2,89.00
0.6,1,car,177.2,87.89
0.7,1,car,177.1,86.78
0.8,1,car,177.1,85.67
0.9,1,car,177.0,84.56
1.0,1,car,177.0,83.45
1.1,1,car,177.0,82.35
1.2,1,car,176.9,81.24
1.3,1,car,176.9,80.13
1.4,1,car,176.8,79.02
1.5,1,car,176.8,77.91
1.6,1,car,176.7,76.80
1.7,1,car,176.7,75.69
1.8,1,car,176.7,74.58
1.9,1,car,176.6,73.47
2.0,1,car,176.5,72.36
2.1,1,car,176.5,71.25
2.2,1,car,176.4,70.14
2.3,1,car,176.4,69.04
2.4,1,car,176.3,67.93
2.5,1,car,176.3,66.82
2.6,1,car,176.2,65.71
2.7,1,car,176.1,64.60
2.8,1,car,176.1,63.49
2.9,1,car,176.0,62.38
3.0,1,car,175.9,61.28
3.1,1,car,175.8,60.17
3.2,1,car,175.8,59.06
3.3,1,car,175.7,57.95
3.4,1,car,175.6,56.85
3.5,1,car,175.5,55.74
3.6,1,car,175.4,54.63
3.7,1,car,175.3,53.52
3.8,1,car,175.2,52.42
3.9,1,car,175.1,51.31
4.0,1,car,175.0,50.20
4.1,1,car,174.9,49.10
4.2,1,car,174.8,47.99
4.3,1,car,174.7,46.88
4.4,1,car,174.5,45.78
4.5,1,car,174.4,44.67
4.6,1,car,174.3,43.57
4.7,1,car,174.1,42.46
4.8,1,car,174.0,41.36
4.9,1,car,173.8,40.25
5.0,1,car,173.6,39.15
5.1,1,car,173.4,38.04
5.2,1,car,173.2,36.94
5.3,1,car,173.0,35.84
5.4,1,car,172.8,34.74
5.5,1,car,172.6,33.64
5.6,1,car,172.3,32.53
5.7,1,car,172.0,31.43
5.8,1,car,171.7,30.34
5.9,1,car,171.4,29.24
6.0,1,car,171.1,28.14
6.1,1,car,170.7,27.04
6.2,1,car,170.3,25.95
6.3,1,car,169.9,24.86
6.4,1,car,169.4,23.76
6.5,1,car,168.9,22.67
6.6,1,car,168.4,21.59
6.7,1,car,167.7,20.50
6.8,1,car,167.0,19.42
6.9,1,car,166.3,18.34
7.0,1,car,165.4,17.26
7.1,1,car,164.4,16.19
7.2,1,car,163.2,15.13
7.3,1,car,161.9,14.07
7.4,1,car,160.4,13.02
7.5,1,car,158.6,11.99
7.6,1,car,156.5,10.97
7.7,1,car,154.0,9.96
7.8,1,car,150.9,8.99
7.9,1,car,147.0,8.04
8.0,1,car,142.2,7.15
8.1,1,car,136.0,6.32
8.2,1,car,128.0,5.60
8.3,1,car,117.9,5.02
8.4,1,car,105.7,4.64
8.5,1,car,91.9,4.50
8.6,1,car,77.9,4.64
8.7,1,car,65.4,5.02
8.8,1,car,55.0,5.60
8.9,1,car,46.7,6.32
9.0,1,car,40.2,7.15
9.1,1,car,35.1,8.04
9.2,1,car,31.0,8.99
9.3,1,car,27.7,9.96
9.4,1,car,25.0,10.97
9.5,1,car,22.7,11.99
9.6,1,car,20.9,13.02
9.7,1,car,19.2,14.07
9.8,1,car,17.9,15.13
9.9,1,car,16.6,16.19
