t_s,obj,class,az_deg,dist_m
0.6,0,siren,178.2,186.21
0.7,0,siren,178.2,184.82
0.8,0,siren,178.2,183.43
0.9,0,siren,178.2,182.04
1.0,0,siren,178.2,180.66
1.1,0,siren,178.2,179.27
1.2,0,siren,178.1,177.88
1.3,0,siren,178.1,176.49
1.4,0,siren,178.1,175.10
1.5,0,siren,178.1,173.71
1.6,0,siren,178.1,172.33
1.7,0,siren,178.1,170.94
1.8,0,siren,178.1,169.55
1.9,0,siren,178.0,168.16
2.0,0,siren,178.0,166.77
2.1,0,siren,178.0,165.39
2.2,0,siren,178.0,164.00
2.3,0,siren,178.0,162.61
2.4,0,siren,178.0,161.22
2.5,0,siren,177.9,159.83
2.6,0,siren,177.9,158.45
2.7,0,siren,177.9,157.06
2.8,0,siren,177.9,155.67
2.9,0,siren,177.9,154.28
3.0,0,siren,177.8,152.90
3.1,0,siren,177.8,151.51
3.2,0,siren,177.8,150.12
3.3,0,siren,177.8,148.73
3.4,0,siren,177.8,147.34
3.5,0,siren,177.7,145.96
3.6,0,siren,177.7,144.57
3.7,0,siren,177.7,143.18
3.8,0,siren,177.7,141.79
3.9,0,siren,177.6,140.41
4.0,0,siren,177.6,139.02
4.1,0,siren,177.6,137.63
4.2,0,siren,177.6,136.24
4.3,0,siren,177.6,134.86
4.4,0,siren,177.5,133.47
4.5,0,siren,177.5,132.08
4.6,0,siren,177.5,130.69
4.7,0,siren,177.4,129.31
4.8,0,siren,177.4,127.92
4.9,0,siren,177.4,126.53
5.0,0,siren,177.4,125.14
5.1,0,siren,177.3,123.76
5.2,0,siren,177.3,122.37
5.3,0,siren,177.3,120.98
5.4,0,siren,177.2,119.60
5.5,0,siren,177.2,118.21
5.6,0,siren,177.2,116.82
5.7,0,siren,177.1,115.43
5.8,0,siren,177.1,114.05
5.9,0,siren,177.1,112.66
6.0,0,siren,177.0,111.27
6.1,0,siren,177.0,109.89
6.2,0,siren,177.0,108.50
6.3,0,siren,176.9,107.11
6.4,0,siren,176.9,105.73
6.5,0,siren,176.8,104.34
6.6,0,siren,176.8,102.95
6.7,0,siren,176.8,101.57
6.8,0,siren,176.7,100.18
6.9,0,siren,176.7,98.79
7.0,0,siren,176.6,97.41
7.1,0,siren,176.6,96.02
7.2,0,siren,176.5,94.63
7.3,0,siren,176.5,93.25
7.4,0,siren,176.4,91.86
7.5,0,siren,176.4,90.48
7.6,0,siren,176.3,89.09
7.7,0,siren,176.2,87.71
7.8,0,siren,176.2,86.32
7.9,0,siren,176.1,84.93
8.0,0,siren,176.0,83.55
8.1,0,siren,176.0,82.16
8.2,0,siren,175.9,80.78
8.3,0,siren,175.8,79.39
8.4,0,siren,175.8,78.01
8.5,0,siren,175.7,76.62
8.6,0,siren,175.6,75.24
8.7,0,siren,175.5,73.86
8.8,0,siren,175.4,72.47
8.9,0,siren,175.4,71.09
9.0,0,siren,175.3,69.70
9.1,0,siren,175.2,68.32
9.2,0,siren,175.1,66.94
9.3,0,siren,175.0,65.55
9.4,0,siren,174.9,64.17
9.5,0,siren,174.7,62.79
9.6,0,siren,174.6,61.40
9.7,0,siren,174.5,60.02
9.8,0,siren,174.4,58.64
9.9,0,siren,174.2,57.26
4.0,1,bike_bell,-174.6,12.56
4.1,1,bike_bell,-174.4,12.14
4.2,1,bike_bell,-174.2,11.73
4.3,1,bike_bell,-174.0,11.31
4.4,1,bike_bell,-173.8,10.90
4.5,1,bike_bell,-173.5,10.49
4.6,1,bike_bell,-173.2,10.07
4.7,1,bike_bell,-172.9,9.66
4.8,1,bike_bell,-172.6,9.24
4.9,1,bike_bell,-172.3,8.83
