t_s,class,az_deg,dist_m
0.2,car,-178,28.46
0.3,car,-178,28.02
0.4,car,-178,27.57
0.5,car,-178,27.13
0.6,car,-178,26.69
0.7,car,-178,26.24
0.8,car,-178,25.80
0.9,car,-178,25.35
1.0,car,-178,24.91
1.1,car,-178,24.46
1.2,car,-178,24.02
1.3,car,-178,23.58
1.4,car,-178,23.13
1.5,car,-178,22.69
1.6,car,-177,22.24
1.7,car,-177,21.80
1.8,car,-177,21.36
1.9,car,-177,20.91
2.0,car,-177,20.47
2.1,car,-177,20.02
2.2,car,-177,19.58
2.3,car,-177,19.14
2.4,car,-177,18.69
2.5,car,-177,18.25
2.6,car,-177,17.81
2.7,car,-177,17.36
2.8,car,-177,16.92
2.9,car,-177,16.47
3.0,car,-176,16.03
3.1,car,-176,15.59
3.2,car,-176,15.14
3.3,car,-176,14.70
3.4,car,-176,14.26
3.5,car,-176,13.81
3.6,car,-176,13.37
3.7,car,-176,12.93
3.8,car,-175,12.48
3.9,car,-175,12.04
4.0,car,-175,11.60
4.1,car,-175,11.16
4.2,car,-175,10.71
4.3,car,-175,10.27
4.4,car,-174,9.83
4.5,car,-174,9.39
4.6,car,-174,8.94
4.7,car,-173,8.50
4.8,car,-173,8.06
4.9,car,-173,7.62
5.0,car,-172,7.18
5.1,car,-172,6.74
5.2,car,-171,6.30
5.3,car,-170,5.86
5.4,car,-170,5.43
5.5,car,-169,4.99
5.6,car,-168,4.56
5.7,car,-166,4.12
5.8,car,-165,3.69
5.9,car,-162,3.27
6.0,car,-160,2.85
6.1,car,-156,2.44
6.2,car,-151,2.04
6.3,car,-144,1.67
6.4,car,-132,1.34
6.5,car,-115,1.09
6.6,car,-91,1.00
6.7,car,-67,1.09
6.8,car,-49,1.34
6.9,car,-37,1.67
7.0,car,-30,2.04
7.1,car,-25,2.44
7.2,car,-21,2.85
7.3,car,-18,3.27
7.4,car,-16,3.69
7.5,car,-14,4.12
7.6,car,-13,4.56
7.7,car,-12,4.99
7.8,car,-11,5.43
7.9,car,-10,5.86
8.0,car,-9,6.30
8.1,car,-9,6.74
8.2,car,-8,7.18
8.3,car,-8,7.62
8.4,car,-7,8.06
8.5,car,-7,8.50
8.6,car,-7,8.94
8.7,car,-6,9.39
8.8,car,-6,9.83
8.9,car,-6,10.27
9.0,car,-5,10.71
9.1,car,-5,11.16
9.2,car,-5,11.60
9.3,car,-5,12.04
9.4,car,-5,12.48
9.5,car,-5,12.93
9.6,car,-4,13.37
9.7,car,-4,13.81
9.8,car,-4,14.26
9.9,car,-4,14.70
10.0,car,-4,15.14
# オラクル（検出=GT系列）。モデル出力ではない
