t_s,obj,class,az_deg,dist_m,vis
0.2,0,car,-175.1,35.69,1
0.3,0,car,-174.9,34.42,1
0.4,0,car,-174.7,33.16,1
0.5,0,car,-174.5,31.90,1
0.6,0,car,-174.2,30.63,1
0.7,0,car,-174.0,29.37,1
0.8,0,car,-173.7,28.11,1
0.9,0,car,-173.4,26.85,1
1.0,0,car,-173.1,25.59,1
1.1,0,car,-172.7,24.33,1
1.2,0,car,-172.3,23.07,1
1.3,0,car,-171.9,21.82,1
1.4,0,car,-171.4,20.56,1
1.5,0,car,-170.8,19.31,1
1.6,0,car,-170.2,18.06,1
1.7,0,car,-169.5,16.81,1
1.8,0,car,-168.6,15.57,1
1.9,0,car,-167.6,14.33,1
2.0,0,car,-166.4,13.09,1
2.1,0,car,-165.0,11.86,1
2.2,0,car,-163.2,10.65,1
2.3,0,car,-161.0,9.44,1
2.4,0,car,-158.1,8.26,1
2.5,0,car,-154.3,7.11,1
2.6,0,car,-149.0,6.00,1
2.7,0,car,-141.5,4.97,1
2.8,0,car,-130.2,4.08,1
2.9,0,car,-113.8,3.44,1
3.0,0,car,-92.3,3.20,1
3.1,0,car,-70.5,3.44,1
3.2,0,car,-53.4,4.08,1
3.3,0,car,-41.5,4.97,1
3.4,0,car,-33.5,6.00,1
3.5,0,car,-27.8,7.11,1
3.6,0,car,-23.7,8.26,1
3.7,0,car,-20.6,9.44,1
3.8,0,car,-18.2,10.65,1
3.9,0,car,-16.3,11.86,1
4.0,0,car,-14.7,13.09,1
4.1,0,car,-13.4,14.33,1
4.2,0,car,-12.3,15.57,1
4.3,0,car,-11.4,16.81,1
4.4,0,car,-10.6,18.06,1
4.5,0,car,-9.9,19.31,1
4.6,0,car,-9.3,20.56,1
4.7,0,car,-8.8,21.82,1
4.8,0,car,-8.3,23.07,1
4.9,0,car,-7.9,24.33,1
5.0,0,car,-7.5,25.59,1
5.1,0,car,-7.1,26.85,1
5.2,0,car,-6.8,28.11,1
5.3,0,car,-6.5,29.37,1
5.4,0,car,-6.2,30.63,1
5.5,0,car,-6.0,31.90,1
5.6,0,car,-5.8,33.16,1
5.7,0,car,-5.5,34.42,1
5.8,0,car,-5.4,35.69,1
5.9,0,car,-5.2,36.95,1
6.0,0,car,-5.0,38.22,1
6.1,0,car,-4.8,39.48,1
6.2,0,car,-4.7,40.75,1
6.3,0,car,-4.5,42.01,1
6.4,0,car,-4.4,43.28,1
6.5,0,car,-4.3,44.55,1
6.6,0,car,-4.2,45.81,1
6.7,0,car,-4.1,47.08,1
6.8,0,car,-3.9,48.34,1
6.9,0,car,-3.8,49.61,1
7.0,0,car,-3.8,50.88,1
7.1,0,car,-3.7,52.15,1
7.2,0,car,-3.6,53.41,1
7.3,0,car,-3.5,54.68,1
7.4,0,car,-3.4,55.95,1
7.5,0,car,-3.3,57.21,1
7.6,0,car,-3.3,58.48,1
7.7,0,car,-3.2,59.75,1
7.8,0,car,-3.1,61.02,1
7.9,0,car,-3.1,62.29,1
8.0,0,car,-3.0,63.55,1
8.1,0,car,-2.9,64.82,1
8.2,0,car,-2.9,66.09,1
8.3,0,car,-2.8,67.36,1
8.4,0,car,-2.8,68.62,1
8.5,0,car,-2.7,69.89,1
8.6,0,car,-2.7,71.16,1
8.7,0,car,-2.6,72.43,1
8.8,0,car,-2.6,73.70,1
8.9,0,car,-2.5,74.97,1
9.0,0,car,-2.5,76.23,1
9.1,0,car,-2.5,77.50,1
9.2,0,car,-2.4,78.77,1
9.3,0,car,-2.4,80.04,1
9.4,0,car,-2.3,81.31,1
9.5,0,car,-2.3,82.58,1
9.6,0,car,-2.3,83.84,1
9.7,0,car,-2.2,85.11,1
9.8,0,car,-2.2,86.38,1
9.9,0,car,-2.2,87.65,1
0.3,1,car,-176.8,66.12,1
0.4,1,car,-176.8,64.85,1
0.5,1,car,-176.7,63.59,1
0.6,1,car,-176.6,62.32,1
0.7,1,car,-176.6,61.05,1
0.8,1,car,-176.5,59.78,1
0.9,1,car,-176.4,58.52,1
1.0,1,car,-176.3,57.25,1
1.1,1,car,-176.3,55.98,1
1.2,1,car,-176.2,54.72,1
1.3,1,car,-176.1,53.45,1
1.4,1,car,-176.0,52.19,1
1.5,1,car,-175.9,50.92,1
1.6,1,car,-175.8,49.65,1
1.7,1,car,-175.7,48.39,1
1.8,1,car,-175.6,47.12,1
1.9,1,car,-175.4,45.86,1
2.0,1,car,-175.3,44.59,1
2.1,1,car,-175.2,43.33,1
2.2,1,car,-175.0,42.06,1
2.3,1,car,-174.9,40.80,1
2.4,1,car,-174.7,39.54,1
2.5,1,car,-174.5,38.27,1
2.6,1,car,-174.3,37.01,1
2.7,1,car,-174.1,35.75,1
2.8,1,car,-173.9,34.49,1
2.9,1,car,-173.7,33.22,1
3.0,1,car,-173.4,31.96,1
3.1,1,car,-173.2,30.70,1
3.2,1,car,-172.9,29.44,1
3.3,1,car,-172.6,28.19,1
3.4,1,car,-172.2,26.93,1
3.5,1,car,-171.8,25.67,1
3.6,1,car,-171.4,24.42,1
3.7,1,car,-170.9,23.16,1
3.8,1,car,-170.4,21.91,1
3.9,1,car,-169.8,20.66,1
4.0,1,car,-169.2,19.42,1
4.1,1,car,-168.4,18.17,1
4.2,1,car,-167.6,16.93,1
4.3,1,car,-166.6,15.70,1
4.4,1,car,-165.4,14.47,1
4.5,1,car,-164.0,13.25,1
4.6,1,car,-162.3,12.04,1
4.7,1,car,-160.3,10.84,1
4.8,1,car,-157.8,9.66,1
4.9,1,car,-154.5,8.51,1
5.0,1,car,-150.3,7.40,1
5.1,1,car,-144.6,6.34,1
5.2,1,car,-136.7,5.38,1
5.3,1,car,-125.7,4.57,1
5.4,1,car,-110.7,4.01,1
5.5,1,car,-92.3,3.80,1
5.6,1,car,-73.7,4.01,1
5.7,1,car,-58.2,4.57,1
5.8,1,car,-46.6,5.38,1
5.9,1,car,-38.2,6.34,1
6.0,1,car,-32.1,7.40,1
6.1,1,car,-27.6,8.51,1
6.2,1,car,-24.1,9.66,1
6.3,1,car,-21.3,10.84,1
6.4,1,car,-19.1,12.04,1
6.5,1,car,-17.3,13.25,1
6.6,1,car,-15.8,14.47,1
6.7,1,car,-14.6,15.70,1
6.8,1,car,-13.5,16.93,1
6.9,1,car,-12.6,18.17,1
7.0,1,car,-11.7,19.42,1
7.1,1,car,-11.0,20.66,1
7.2,1,car,-10.4,21.91,1
7.3,1,car,-9.8,23.16,1
7.4,1,car,-9.3,24.42,1
7.5,1,car,-8.9,25.67,1
7.6,1,car,-8.4,26.93,1
7.7,1,car,-8.1,28.19,1
7.8,1,car,-7.7,29.44,1
7.9,1,car,-7.4,30.70,1
8.0,1,car,-7.1,31.96,1
8.1,1,car,-6.8,33.22,1
8.2,1,car,-6.6,34.49,1
8.3,1,car,-6.3,35.75,1
8.4,1,car,-6.1,37.01,1
8.5,1,car,-5.9,38.27,1
8.6,1,car,-5.7,39.54,1
8.7,1,car,-5.6,40.80,1
8.8,1,car,-5.4,42.06,1
8.9,1,car,-5.2,43.33,1
9.0,1,car,-5.1,44.59,1
9.1,1,car,-4.9,45.86,1
9.2,1,car,-4.8,47.12,1
9.3,1,car,-4.7,48.39,1
9.4,1,car,-4.6,49.65,1
9.5,1,car,-4.5,50.92,1
9.6,1,car,-4.3,52.19,1
9.7,1,car,-4.2,53.45,1
9.8,1,car,-4.1,54.72,1
9.9,1,car,-4.0,55.98,1
0.3,2,car,-3.6,98.81,1
0.4,2,car,-3.7,97.45,1
0.5,2,car,-3.7,96.08,1
0.6,2,car,-3.8,94.71,1
0.7,2,car,-3.8,93.35,1
0.8,2,car,-3.9,91.98,1
0.9,2,car,-4.0,90.62,1
1.0,2,car,-4.0,89.25,1
1.1,2,car,-4.1,87.89,1
1.2,2,car,-4.2,86.52,1
1.3,2,car,-4.2,85.15,1
1.4,2,car,-4.3,83.79,1
1.5,2,car,-4.4,82.42,1
1.6,2,car,-4.4,81.06,1
1.7,2,car,-4.5,79.69,1
1.8,2,car,-4.6,78.33,1
1.9,2,car,-4.7,76.96,1
2.0,2,car,-4.8,75.60,1
2.1,2,car,-4.8,74.24,1
2.2,2,car,-4.9,72.87,1
2.3,2,car,-5.0,71.51,1
2.4,2,car,-5.1,70.14,1
2.5,2,car,-5.2,68.78,1
2.6,2,car,-5.3,67.42,1
2.7,2,car,-5.4,66.05,1
2.8,2,car,-5.6,64.69,1
2.9,2,car,-5.7,63.33,1
3.0,2,car,-5.8,61.97,1
3.1,2,car,-5.9,60.61,1
3.2,2,car,-6.1,59.24,1
3.3,2,car,-6.2,57.88,1
3.4,2,car,-6.4,56.52,1
3.5,2,car,-6.5,55.16,1
3.6,2,car,-6.7,53.80,1
3.7,2,car,-6.9,52.44,1
3.8,2,car,-7.0,51.08,1
3.9,2,car,-7.2,49.73,1
4.0,2,car,-7.4,48.37,1
4.1,2,car,-7.7,47.01,1
4.2,2,car,-7.9,45.66,1
4.3,2,car,-8.1,44.30,1
4.4,2,car,-8.4,42.95,1
4.5,2,car,-8.7,41.59,1
4.6,2,car,-9.0,40.24,1
4.7,2,car,-9.3,38.89,1
4.8,2,car,-9.6,37.54,1
4.9,2,car,-10.0,36.19,1
5.0,2,car,-10.4,34.85,1
5.1,2,car,-10.8,33.50,1
5.2,2,car,-11.2,32.16,1
5.3,2,car,-11.7,30.82,1
5.4,2,car,-12.3,29.48,1
5.5,2,car,-12.9,28.15,1
5.6,2,car,-13.5,26.82,1
5.7,2,car,-14.2,25.49,1
5.8,2,car,-15.0,24.17,1
5.9,2,car,-15.9,22.85,1
6.0,2,car,-16.9,21.55,1
6.1,2,car,-18.1,20.24,1
6.2,2,car,-19.3,18.95,1
6.3,2,car,-20.8,17.67,1
6.4,2,car,-22.5,16.41,1
6.5,2,car,-24.5,15.16,1
6.6,2,car,-26.8,13.93,1
6.7,2,car,-29.6,12.74,1
6.8,2,car,-33.0,11.58,1
6.9,2,car,-37.1,10.48,1
7.0,2,car,-42.1,9.44,1
7.1,2,car,-48.3,8.50,1
7.2,2,car,-55.9,7.69,1
7.3,2,car,-65.2,7.05,1
7.4,2,car,-76.1,6.64,1
7.5,2,car,-87.9,6.50,1
