t_s,class,az_deg,dist_m
0.2,crossing,56,
0.3,crossing,56,
0.4,crossing,3,
0.5,crossing,3,
0.6,crossing,2,
0.7,crossing,1,
0.8,crossing,1,
0.9,crossing,1,
1.0,crossing,1,
1.1,crossing,1,
1.2,crossing,1,
1.3,crossing,2,
1.4,crossing,2,
1.5,crossing,2,
1.6,crossing,2,
1.7,crossing,2,
1.8,crossing,2,
1.9,crossing,2,
2.0,crossing,2,
2.1,crossing,2,
2.2,crossing,2,
2.3,crossing,2,
2.4,crossing,2,
2.5,crossing,2,
2.6,crossing,2,
2.7,crossing,2,
2.8,crossing,2,
2.9,crossing,2,
3.0,crossing,2,
3.1,crossing,2,
3.2,crossing,2,
3.3,crossing,2,
3.4,crossing,2,
3.5,crossing,2,
3.6,crossing,2,
3.7,crossing,2,
3.8,crossing,2,
3.9,crossing,2,
4.0,crossing,2,
4.1,crossing,2,
4.2,crossing,2,
4.3,crossing,2,
4.4,crossing,2,
4.5,crossing,2,
4.6,crossing,2,
4.7,crossing,2,
4.8,crossing,2,
4.9,crossing,2,
5.0,crossing,2,
5.1,crossing,2,
5.2,crossing,2,
5.3,crossing,2,
5.4,crossing,2,
5.5,crossing,2,
5.6,crossing,3,
5.7,crossing,3,
5.8,crossing,3,
5.9,crossing,3,
6.0,crossing,3,
6.1,crossing,3,
6.2,crossing,3,
6.3,crossing,3,
6.4,crossing,3,
6.5,crossing,3,
6.6,crossing,3,
6.7,crossing,3,
6.8,crossing,3,
6.9,crossing,3,
7.0,crossing,3,
7.1,crossing,3,
7.2,crossing,3,
7.3,crossing,3,
7.4,crossing,3,
7.5,crossing,4,
7.6,crossing,4,
7.7,crossing,4,
7.8,crossing,4,
7.9,crossing,4,
8.0,crossing,4,
8.1,crossing,4,
8.2,crossing,4,
8.3,crossing,4,
8.4,crossing,4,
8.5,crossing,5,
8.6,crossing,5,
8.7,crossing,5,
8.8,crossing,5,
8.9,crossing,5,
9.0,crossing,5,
9.1,crossing,5,
9.2,crossing,6,
9.3,crossing,6,
9.4,crossing,6,
9.5,crossing,6,
9.6,crossing,7,
9.7,crossing,7,
9.8,crossing,7,
9.9,crossing,7,
10.0,crossing,8,
# オラクル（検出=GT系列）。モデル出力ではない
