t_s,obj,class,az_deg,dist_m,vis
0.1,0,crossing,56.3,3.74,1
0.2,0,crossing,56.3,3.74,1
0.3,0,crossing,56.3,3.74,1
0.4,0,crossing,56.3,3.74,1
0.5,0,crossing,56.3,3.74,1
0.6,0,crossing,56.3,3.74,1
0.7,0,crossing,56.3,3.74,1
0.8,0,crossing,56.3,3.74,1
0.9,0,crossing,56.3,3.74,1
1.0,0,crossing,56.3,3.74,1
1.1,0,crossing,56.3,3.74,1
1.2,0,crossing,56.3,3.74,1
1.3,0,crossing,56.3,3.74,1
1.4,0,crossing,56.3,3.74,1
1.5,0,crossing,56.3,3.74,1
1.6,0,crossing,56.3,3.74,1
1.7,0,crossing,56.3,3.74,1
1.8,0,crossing,56.3,3.74,1
1.9,0,crossing,56.3,3.74,1
2.0,0,crossing,56.3,3.74,1
2.1,0,crossing,56.3,3.74,1
2.2,0,crossing,56.3,3.74,1
2.3,0,crossing,56.3,3.74,1
2.4,0,crossing,56.3,3.74,1
2.5,0,crossing,56.3,3.74,1
2.6,0,crossing,56.3,3.74,1
2.7,0,crossing,56.3,3.74,1
2.8,0,crossing,56.3,3.74,1
2.9,0,crossing,56.3,3.74,1
3.0,0,crossing,56.3,3.74,1
3.1,0,crossing,56.3,3.74,1
3.2,0,crossing,56.3,3.74,1
3.3,0,crossing,56.3,3.74,1
3.4,0,crossing,56.3,3.74,1
3.5,0,crossing,56.3,3.74,1
3.6,0,crossing,56.3,3.74,1
3.7,0,crossing,56.3,3.74,1
3.8,0,crossing,56.3,3.74,1
3.9,0,crossing,56.3,3.74,1
4.0,0,crossing,56.3,3.74,1
4.1,0,crossing,56.3,3.74,1
4.2,0,crossing,56.3,3.74,1
4.3,0,crossing,56.3,3.74,1
4.4,0,crossing,56.3,3.74,1
4.5,0,crossing,56.3,3.74,1
4.6,0,crossing,56.3,3.74,1
4.7,0,crossing,56.3,3.74,1
4.8,0,crossing,56.3,3.74,1
4.9,0,crossing,56.3,3.74,1
5.0,0,crossing,56.3,3.74,1
5.1,0,crossing,56.3,3.74,1
5.2,0,crossing,56.3,3.74,1
5.3,0,crossing,56.3,3.74,1
5.4,0,crossing,56.3,3.74,1
5.5,0,crossing,56.3,3.74,1
5.6,0,crossing,56.3,3.74,1
5.7,0,crossing,56.3,3.74,1
5.8,0,crossing,56.3,3.74,1
5.9,0,crossing,56.3,3.74,1
6.0,0,crossing,56.3,3.74,1
6.1,0,crossing,56.3,3.74,1
6.2,0,crossing,56.3,3.74,1
6.3,0,crossing,56.3,3.74,1
6.4,0,crossing,56.3,3.74,1
6.5,0,crossing,56.3,3.74,1
