t_s,obj,class,az_deg,dist_m
0.1,0,crossing,56.3,3.74
0.2,0,crossing,56.3,3.74
0.3,0,crossing,56.3,3.74
0.4,0,crossing,56.3,3.74
0.5,0,crossing,56.3,3.74
0.6,0,crossing,56.3,3.74
0.7,0,crossing,56.3,3.74
0.8,0,crossing,56.3,3.74
0.9,0,crossing,56.3,3.74
1.0,0,crossing,56.3,3.74
1.1,0,crossing,56.3,3.74
1.2,0,crossing,56.3,3.74
1.3,0,crossing,56.3,3.74
1.4,0,crossing,56.3,3.74
1.5,0,crossing,56.3,3.74
1.6,0,crossing,56.3,3.74
1.7,0,crossing,56.3,3.74
1.8,0,crossing,56.3,3.74
1.9,0,crossing,56.3,3.74
2.0,0,crossing,56.3,3.74
2.1,0,crossing,56.3,3.74
2.2,0,crossing,56.3,3.74
2.3,0,crossing,56.3,3.74
2.4,0,crossing,56.3,3.74
2.5,0,crossing,56.3,3.74
2.6,0,crossing,56.3,3.74
2.7,0,crossing,56.3,3.74
2.8,0,crossing,56.3,3.74
2.9,0,crossing,56.3,3.74
3.0,0,crossing,56.3,3.74
3.1,0,crossing,56.3,3.74
3.2,0,crossing,56.3,3.74
3.3,0,crossing,56.3,3.74
3.4,0,crossing,56.3,3.74
3.5,0,crossing,56.3,3.74
3.6,0,crossing,56.3,3.74
3.7,0,crossing,56.3,3.74
3.8,0,crossing,56.3,3.74
3.9,0,crossing,56.3,3.74
4.0,0,crossing,56.3,3.74
4.1,0,crossing,56.3,3.74
4.2,0,crossing,56.3,3.74
4.3,0,crossing,56.3,3.74
4.4,0,crossing,56.3,3.74
4.5,0,crossing,56.3,3.74
4.6,0,crossing,56.3,3.74
4.7,0,crossing,56.3,3.74
4.8,0,crossing,56.3,3.74
4.9,0,crossing,56.3,3.74
5.0,0,crossing,56.3,3.74
5.1,0,crossing,56.3,3.74
5.2,0,crossing,56.3,3.74
5.3,0,crossing,56.3,3.74
5.4,0,crossing,56.3,3.74
5.5,0,crossing,56.3,3.74
5.6,0,crossing,56.3,3.74
5.7,0,crossing,56.3,3.74
5.8,0,crossing,56.3,3.74
5.9,0,crossing,56.3,3.74
6.0,0,crossing,56.3,3.74
6.1,0,crossing,56.3,3.74
6.2,0,crossing,56.3,3.74
6.3,0,crossing,56.3,3.74
6.4,0,crossing,56.3,3.74
6.5,0,crossing,56.3,3.74
6.6,0,crossing,56.3,3.74
6.7,0,crossing,56.3,3.74
6.8,0,crossing,56.3,3.74
6.9,0,crossing,56.3,3.74
7.0,0,crossing,56.3,3.74
7.1,0,crossing,56.3,3.74
7.2,0,crossing,56.3,3.74
7.3,0,crossing,56.3,3.74
7.4,0,crossing,56.3,3.74
7.5,0,crossing,56.3,3.74
7.6,0,crossing,56.3,3.74
7.7,0,crossing,56.3,3.74
7.8,0,crossing,56.3,3.74
7.9,0,crossing,56.3,3.74
8.0,0,crossing,56.3,3.74
8.1,0,crossing,56.3,3.74
8.2,0,crossing,56.3,3.74
8.3,0,crossing,56.3,3.74
8.4,0,crossing,56.3,3.74
8.5,0,crossing,56.3,3.74
8.6,0,crossing,56.3,3.74
8.7,0,crossing,56.3,3.74
8.8,0,crossing,56.3,3.74
8.9,0,crossing,56.3,3.74
9.0,0,crossing,56.3,3.74
9.1,0,crossing,56.3,3.74
9.2,0,crossing,56.3,3.74
9.3,0,crossing,56.3,3.74
9.4,0,crossing,56.3,3.74
9.5,0,crossing,56.3,3.74
9.6,0,crossing,56.3,3.74
9.7,0,crossing,56.3,3.74
9.8,0,crossing,56.3,3.74
9.9,0,crossing,56.3,3.74
