t_s,class,az_deg,dist_m
0.3,bike,179,11.26
0.4,bike,-179,27.28
0.5,bike,179,38.67
0.6,bike,179,37.76
0.7,bike,-179,44.31
0.8,bike,-179,56.01
0.9,bike,-179,53.63
1.0,bike,-179,52.33
1.1,bike,179,51.97
1.2,bike,-179,49.94
1.3,bike,-179,49.33
1.4,bike,-179,48.16
1.5,bike,-178,46.64
1.6,bike,-178,46.21
1.7,bike,-178,44.66
1.8,bike,-178,43.15
1.9,bike,-178,42.93
2.0,bike,-178,41.07
2.1,bike,-178,40.26
2.2,bike,-178,38.49
2.3,bike,-177,37.94
2.4,bike,-178,37.88
2.5,bike,-177,35.90
2.6,bike,-178,35.18
2.7,bike,-177,34.41
2.8,bike,-177,33.61
2.9,bike,-176,33.33
3.0,bike,-177,32.77
3.1,bike,-178,31.15
3.2,bike,-177,30.67
3.3,bike,-177,29.39
3.4,bike,-177,27.79
3.5,bike,-176,26.52
3.6,bike,-177,25.34
3.7,bike,-176,24.73
3.8,bike,-177,24.39
3.9,bike,-176,23.26
4.0,bike,-176,21.46
4.1,bike,-176,20.39
4.2,bike,-175,18.96
4.3,bike,-175,17.31
4.4,bike,-176,16.36
4.5,bike,-175,15.94
4.6,bike,-175,14.70
4.7,bike,-174,13.79
4.8,bike,-174,12.67
4.9,bike,-173,11.69
5.0,bike,-172,9.98
5.1,bike,-171,9.86
5.2,bike,-169,8.15
5.3,bike,-169,7.90
5.4,bike,-167,6.72
5.5,bike,-165,5.19
5.6,bike,-161,4.26
5.7,bike,-156,3.97
5.8,bike,-152,3.09
5.9,bike,-142,2.18
6.0,bike,-111,1.73
6.1,bike,-68,1.48
6.2,bike,-42,1.83
6.3,bike,-28,2.71
6.4,bike,-17,3.82
6.5,bike,-15,4.34
6.6,bike,-12,4.98
6.7,bike,-9,6.45
6.8,bike,-9,7.01
6.9,bike,-7,7.93
7.0,bike,-7,9.26
7.1,bike,-7,10.00
7.2,bike,-6,10.89
7.3,bike,-6,12.04
7.4,bike,-6,12.64
7.5,bike,-6,12.55
7.6,bike,-5,14.05
7.7,bike,-4,15.11
7.8,bike,-5,16.81
7.9,bike,-4,17.46
8.0,bike,-4,18.23
8.1,bike,-4,19.52
8.2,bike,-3,20.80
8.3,bike,-3,21.86
8.4,bike,-3,23.04
8.5,bike,-3,24.86
8.6,bike,-3,26.23
8.7,bike,-3,26.95
8.8,bike,-2,27.92
8.9,bike,-2,28.86
9.0,bike,-2,30.08
9.1,bike,-2,31.54
9.2,bike,-2,33.42
9.3,bike,-2,34.67
9.4,bike,-2,35.69
9.5,bike,-2,36.34
9.6,bike,-2,37.12
9.7,bike,-2,37.57
9.8,bike,-2,38.61
9.9,bike,-2,39.19
10.0,bike,-2,40.63
