t_s,obj,class,az_deg,dist_m,vis
0.2,0,bike,-178.8,57.53,1
0.3,0,bike,-178.8,56.54,1
0.4,0,bike,-178.8,55.55,1
0.5,0,bike,-178.8,54.55,1
0.6,0,bike,-178.8,53.56,1
0.7,0,bike,-178.7,52.57,1
0.8,0,bike,-178.7,51.58,1
0.9,0,bike,-178.7,50.59,1
1.0,0,bike,-178.7,49.60,1
1.1,0,bike,-178.6,48.61,1
1.2,0,bike,-178.6,47.62,1
1.3,0,bike,-178.6,46.62,1
1.4,0,bike,-178.5,45.63,1
1.5,0,bike,-178.5,44.64,1
1.6,0,bike,-178.5,43.65,1
1.7,0,bike,-178.4,42.66,1
1.8,0,bike,-178.4,41.67,1
1.9,0,bike,-178.4,40.68,1
2.0,0,bike,-178.3,39.68,1
2.1,0,bike,-178.3,38.69,1
2.2,0,bike,-178.2,37.70,1
2.3,0,bike,-178.2,36.71,1
2.4,0,bike,-178.1,35.72,1
2.5,0,bike,-178.1,34.73,1
2.6,0,bike,-178.0,33.74,1
2.7,0,bike,-178.0,32.75,1
2.8,0,bike,-177.9,31.76,1
2.9,0,bike,-177.8,30.77,1
3.0,0,bike,-177.8,29.77,1
3.1,0,bike,-177.7,28.78,1
3.2,0,bike,-177.6,27.79,1
3.3,0,bike,-177.5,26.80,1
3.4,0,bike,-177.4,25.81,1
3.5,0,bike,-177.3,24.82,1
3.6,0,bike,-177.2,23.83,1
3.7,0,bike,-177.1,22.84,1
3.8,0,bike,-177.0,21.85,1
3.9,0,bike,-176.8,20.86,1
4.0,0,bike,-176.6,19.87,1
4.1,0,bike,-176.5,18.88,1
4.2,0,bike,-176.3,17.89,1
4.3,0,bike,-176.1,16.90,1
4.4,0,bike,-175.8,15.91,1
4.5,0,bike,-175.5,14.92,1
4.6,0,bike,-175.2,13.94,1
4.7,0,bike,-174.9,12.95,1
4.8,0,bike,-174.4,11.96,1
4.9,0,bike,-173.9,10.97,1
5.0,0,bike,-173.3,9.99,1
5.1,0,bike,-172.6,9.01,1
5.2,0,bike,-171.7,8.02,1
5.3,0,bike,-170.5,7.04,1
5.4,0,bike,-169.0,6.07,1
5.5,0,bike,-166.8,5.10,1
5.6,0,bike,-163.7,4.14,1
5.7,0,bike,-158.7,3.21,1
5.8,0,bike,-149.8,2.32,1
5.9,0,bike,-131.0,1.56,1
6.0,0,bike,-91.9,1.20,1
6.1,0,bike,-51.9,1.56,1
6.2,0,bike,-32.1,2.32,1
6.3,0,bike,-22.7,3.21,1
6.4,0,bike,-17.4,4.14,1
6.5,0,bike,-14.0,5.10,1
6.6,0,bike,-11.8,6.07,1
6.7,0,bike,-10.1,7.04,1
6.8,0,bike,-8.9,8.02,1
6.9,0,bike,-7.9,9.01,1
7.0,0,bike,-7.1,9.99,1
7.1,0,bike,-6.5,10.97,1
7.2,0,bike,-5.9,11.96,1
7.3,0,bike,-5.5,12.95,1
7.4,0,bike,-5.1,13.94,1
7.5,0,bike,-4.8,14.92,1
7.6,0,bike,-4.5,15.91,1
7.7,0,bike,-4.2,16.90,1
7.8,0,bike,-4.0,17.89,1
7.9,0,bike,-3.8,18.88,1
8.0,0,bike,-3.6,19.87,1
8.1,0,bike,-3.4,20.86,1
8.2,0,bike,-3.3,21.85,1
8.3,0,bike,-3.1,22.84,1
8.4,0,bike,-3.0,23.83,1
8.5,0,bike,-2.9,24.82,1
8.6,0,bike,-2.8,25.81,1
8.7,0,bike,-2.6,26.80,1
8.8,0,bike,-2.6,27.79,1
8.9,0,bike,-2.5,28.78,1
9.0,0,bike,-2.4,29.77,1
9.1,0,bike,-2.3,30.77,1
9.2,0,bike,-2.2,31.76,1
9.3,0,bike,-2.2,32.75,1
9.4,0,bike,-2.1,33.74,1
9.5,0,bike,-2.0,34.73,1
9.6,0,bike,-2.0,35.72,1
9.7,0,bike,-1.9,36.71,1
9.8,0,bike,-1.9,37.70,1
9.9,0,bike,-1.8,38.69,1
