t_s,obj,class,az_deg,dist_m,vis
0.7,0,siren,-1.7,198.70,1
0.8,0,siren,-1.7,197.31,1
0.9,0,siren,-1.7,195.93,1
1.0,0,siren,-1.7,194.54,1
1.1,0,siren,-1.7,193.15,1
1.2,0,siren,-1.7,191.76,1
1.3,0,siren,-1.7,190.37,1
1.4,0,siren,-1.7,188.98,1
1.5,0,siren,-1.8,187.60,1
1.6,0,siren,-1.8,186.21,1
1.7,0,siren,-1.8,184.82,1
1.8,0,siren,-1.8,183.43,1
1.9,0,siren,-1.8,182.04,1
2.0,0,siren,-1.8,180.66,1
2.1,0,siren,-1.8,179.27,1
2.2,0,siren,-1.9,177.88,1
2.3,0,siren,-1.9,176.49,1
2.4,0,siren,-1.9,175.10,1
2.5,0,siren,-1.9,173.71,1
2.6,0,siren,-1.9,172.33,1
2.7,0,siren,-1.9,170.94,1
2.8,0,siren,-1.9,169.55,1
2.9,0,siren,-2.0,168.16,1
3.0,0,siren,-2.0,166.77,1
3.1,0,siren,-2.0,165.39,1
3.2,0,siren,-2.0,164.00,1
3.3,0,siren,-2.0,162.61,1
3.4,0,siren,-2.0,161.22,1
3.5,0,siren,-2.1,159.83,1
3.6,0,siren,-2.1,158.45,1
3.7,0,siren,-2.1,157.06,1
3.8,0,siren,-2.1,155.67,1
3.9,0,siren,-2.1,154.28,1
4.0,0,siren,-2.2,152.90,1
4.1,0,siren,-2.2,151.51,1
4.2,0,siren,-2.2,150.12,1
4.3,0,siren,-2.2,148.73,1
4.4,0,siren,-2.2,147.34,1
4.5,0,siren,-2.3,145.96,1
4.6,0,siren,-2.3,144.57,1
4.7,0,siren,-2.3,143.18,1
4.8,0,siren,-2.3,141.79,1
4.9,0,siren,-2.4,140.41,1
5.0,0,siren,-2.4,139.02,1
5.1,0,siren,-2.4,137.63,1
5.2,0,siren,-2.4,136.24,1
5.3,0,siren,-2.4,134.86,1
5.4,0,siren,-2.5,133.47,1
5.5,0,siren,-2.5,132.08,1
5.6,0,siren,-2.5,130.69,1
5.7,0,siren,-2.6,129.31,1
5.8,0,siren,-2.6,127.92,1
5.9,0,siren,-2.6,126.53,1
6.0,0,siren,-2.6,125.14,1
6.1,0,siren,-2.7,123.76,1
6.2,0,siren,-2.7,122.37,1
6.3,0,siren,-2.7,120.98,1
6.4,0,siren,-2.8,119.60,1
6.5,0,siren,-2.8,118.21,1
6.6,0,siren,-2.8,116.82,1
6.7,0,siren,-2.9,115.43,1
6.8,0,siren,-2.9,114.05,1
6.9,0,siren,-2.9,112.66,1
7.0,0,siren,-3.0,111.27,1
7.1,0,siren,-3.0,109.89,1
7.2,0,siren,-3.0,108.50,1
7.3,0,siren,-3.1,107.11,1
7.4,0,siren,-3.1,105.73,1
7.5,0,siren,-3.2,104.34,1
7.6,0,siren,-3.2,102.95,1
7.7,0,siren,-3.2,101.57,1
7.8,0,siren,-3.3,100.18,1
7.9,0,siren,-3.3,98.79,1
8.0,0,siren,-3.4,97.41,1
8.1,0,siren,-3.4,96.02,1
8.2,0,siren,-3.5,94.63,1
8.3,0,siren,-3.5,93.25,1
8.4,0,siren,-3.6,91.86,1
8.5,0,siren,-3.6,90.48,1
8.6,0,siren,-3.7,89.09,1
8.7,0,siren,-3.8,87.71,1
8.8,0,siren,-3.8,86.32,1
8.9,0,siren,-3.9,84.93,1
9.0,0,siren,-4.0,83.55,1
9.1,0,siren,-4.0,82.16,1
9.2,0,siren,-4.1,80.78,1
9.3,0,siren,-4.2,79.39,1
9.4,0,siren,-4.2,78.01,1
9.5,0,siren,-4.3,76.62,1
9.6,0,siren,-4.4,75.24,1
9.7,0,siren,-4.5,73.86,1
9.8,0,siren,-4.6,72.47,1
9.9,0,siren,-4.6,71.09,1
