t_s,class,az_deg,dist_m
0.3,car,5,32.09
0.4,car,5,30.70
0.4,car,3,65.35
0.4,car,175,77.77
0.5,car,6,29.32
0.5,car,3,63.96
0.5,car,175,76.53
0.5,car,2,105.60
0.6,car,6,27.94
0.6,car,3,62.57
0.6,car,175,75.28
0.6,car,2,104.21
0.7,car,6,26.56
0.7,car,3,61.18
0.7,car,175,74.04
0.7,car,2,102.82
0.8,car,7,25.18
0.8,car,3,59.80
0.8,car,175,72.79
0.8,car,2,101.43
0.9,car,7,23.80
0.9,car,3,58.41
0.9,car,175,71.55
0.9,car,2,100.04
1.0,car,7,22.42
1.0,car,3,57.02
1.0,car,175,70.30
1.0,car,2,98.66
1.1,car,8,21.05
1.1,car,3,55.64
1.1,car,175,69.06
1.1,car,2,97.27
1.2,car,8,19.67
1.2,car,3,54.25
1.2,car,175,67.81
1.2,car,2,95.88
1.3,car,9,18.30
1.3,car,3,52.86
1.3,car,175,66.57
1.3,car,2,94.49
1.4,car,10,16.93
1.4,car,3,51.48
1.4,car,174,65.32
1.4,car,2,93.10
1.5,car,11,15.57
1.5,car,3,50.09
1.5,car,174,64.08
1.5,car,2,91.72
1.6,car,12,14.21
1.6,car,3,48.70
1.6,car,174,62.84
1.6,car,2,90.33
1.7,car,13,12.85
1.7,car,3,47.32
1.7,car,174,61.59
1.7,car,2,88.94
1.8,car,15,11.51
1.8,car,4,45.93
1.8,car,174,60.35
1.8,car,2,87.55
1.9,car,16,10.17
1.9,car,4,44.55
1.9,car,174,59.11
1.9,car,2,86.16
2.0,car,19,8.86
2.0,car,4,43.16
2.0,car,174,57.87
2.0,car,2,84.78
2.1,car,22,7.56
2.1,car,4,41.77
2.1,car,174,56.62
2.1,car,2,83.39
2.2,car,27,6.31
2.2,car,4,40.39
2.2,car,174,55.38
2.2,car,2,82.00
2.3,car,34,5.13
2.3,car,4,39.00
2.3,car,173,54.14
2.3,car,2,80.61
2.4,car,46,4.09
2.4,car,4,37.62
2.4,car,173,52.90
2.4,car,2,79.22
2.5,car,63,3.31
2.5,car,5,36.24
2.5,car,173,51.66
2.5,car,2,77.84
2.6,car,88,3.00
2.6,car,5,34.85
2.6,car,173,50.42
2.6,car,2,76.45
2.7,car,113,3.31
2.7,car,5,33.47
2.7,car,173,49.18
2.7,car,2,75.06
2.8,car,131,4.09
2.8,car,5,32.09
2.8,car,172,47.94
2.8,car,2,73.67
2.9,car,143,5.13
2.9,car,5,30.70
2.9,car,172,46.70
2.9,car,2,72.28
3.0,car,151,6.31
3.0,car,6,29.32
3.0,car,172,45.47
3.0,car,2,70.90
3.1,car,156,7.56
3.1,car,6,27.94
3.1,car,172,44.23
3.1,car,2,69.51
3.2,car,159,8.86
3.2,car,6,26.56
3.2,car,172,42.99
3.2,car,2,68.12
3.3,car,162,10.17
3.3,car,7,25.18
3.3,car,171,41.76
3.3,car,2,66.73
3.4,car,164,11.51
3.4,car,7,23.80
3.4,car,171,40.52
3.4,car,3,65.35
3.5,car,166,12.85
3.5,car,7,22.42
3.5,car,171,39.29
3.5,car,3,63.96
3.6,car,167,14.21
3.6,car,8,21.05
3.6,car,171,38.06
3.6,car,3,62.57
3.7,car,168,15.57
3.7,car,8,19.67
3.7,car,170,36.83
3.7,car,3,61.18
3.8,car,169,16.93
3.8,car,9,18.30
3.8,car,170,35.60
3.8,car,3,59.80
3.9,car,170,18.30
3.9,car,10,16.93
3.9,car,169,34.37
3.9,car,3,58.41
4.0,car,171,19.67
4.0,car,11,15.57
4.0,car,169,33.14
4.0,car,3,57.02
4.1,car,171,21.05
4.1,car,12,14.21
4.1,car,169,31.92
4.1,car,3,55.64
4.2,car,172,22.42
4.2,car,13,12.85
4.2,car,168,30.70
4.2,car,3,54.25
4.3,car,172,23.80
4.3,car,15,11.51
4.3,car,168,29.48
4.3,car,3,52.86
4.4,car,173,25.18
4.4,car,16,10.17
4.4,car,167,28.26
4.4,car,3,51.48
4.5,car,173,26.56
4.5,car,19,8.86
4.5,car,167,27.04
4.5,car,3,50.09
4.6,car,174,27.94
4.6,car,22,7.56
4.6,car,166,25.83
4.6,car,3,48.70
4.7,car,174,29.32
4.7,car,27,6.31
4.7,car,165,24.62
4.7,car,3,47.32
4.8,car,174,30.70
4.8,car,34,5.13
4.8,car,164,23.42
4.8,car,4,45.93
4.9,car,174,32.09
4.9,car,46,4.09
4.9,car,164,22.22
4.9,car,4,44.55
5.0,car,175,33.47
5.0,car,63,3.31
5.0,car,163,21.03
5.0,car,4,43.16
5.1,car,175,34.85
5.1,car,88,3.00
5.1,car,162,19.84
5.1,car,4,41.77
5.2,car,175,36.24
5.2,car,113,3.31
5.2,car,160,18.67
5.2,car,4,40.39
5.3,car,175,37.62
5.3,car,131,4.09
5.3,car,159,17.50
5.3,car,4,39.00
5.4,car,175,39.00
5.4,car,143,5.13
5.4,car,157,16.35
5.4,car,4,37.62
5.5,car,176,40.39
5.5,car,151,6.31
5.5,car,156,15.21
5.5,car,5,36.24
5.6,car,176,41.77
5.6,car,156,7.56
5.6,car,153,14.09
5.6,car,5,34.85
5.7,car,176,43.16
5.7,car,159,8.86
5.7,car,151,12.99
5.7,car,5,33.47
5.8,car,176,44.55
5.8,car,162,10.17
5.8,car,148,11.93
5.8,car,5,32.09
5.9,car,176,45.93
5.9,car,164,11.51
5.9,car,145,10.90
5.9,car,5,30.70
6.0,car,176,47.32
6.0,car,166,12.85
6.0,car,140,9.92
6.0,car,6,29.32
6.1,car,176,48.70
6.1,car,167,14.21
6.1,car,135,9.02
6.1,car,6,27.94
6.2,car,176,50.09
6.2,car,168,15.57
6.2,car,129,8.20
6.2,car,6,26.56
6.3,car,177,51.48
6.3,car,169,16.93
6.3,car,122,7.50
6.3,car,7,25.18
6.4,car,177,52.86
6.4,car,170,18.30
6.4,car,113,6.96
6.4,car,7,23.80
6.5,car,177,54.25
6.5,car,171,19.67
6.5,car,103,6.62
6.5,car,7,22.42
6.6,car,177,55.64
6.6,car,171,21.05
6.6,car,92,6.50
6.6,car,8,21.05
6.7,car,177,57.02
6.7,car,172,22.42
6.7,car,81,6.62
6.7,car,8,19.67
6.8,car,177,58.41
6.8,car,172,23.80
6.8,car,71,6.96
6.8,car,9,18.30
6.9,car,177,59.80
6.9,car,173,25.18
6.9,car,62,7.50
6.9,car,10,16.93
7.0,car,177,61.18
