t_s,obj,class,az_deg,dist_m
0.2,0,car,5.1,32.09
0.3,0,car,5.4,30.70
0.4,0,car,5.6,29.32
0.5,0,car,5.9,27.94
0.6,0,car,6.2,26.56
0.7,0,car,6.6,25.18
0.8,0,car,6.9,23.80
0.9,0,car,7.4,22.42
1.0,0,car,7.9,21.05
1.1,0,car,8.4,19.67
1.2,0,car,9.1,18.30
1.3,0,car,9.8,16.93
1.4,0,car,10.7,15.57
1.5,0,car,11.7,14.21
1.6,0,car,13.0,12.85
1.7,0,car,14.5,11.51
1.8,0,car,16.5,10.17
1.9,0,car,19.0,8.86
2.0,0,car,22.4,7.56
2.1,0,car,27.3,6.31
2.2,0,car,34.4,5.13
2.3,0,car,45.5,4.09
2.4,0,car,63.1,3.31
2.5,0,car,87.7,3.00
2.6,0,car,112.7,3.31
2.7,0,car,131.1,4.09
2.8,0,car,142.9,5.13
2.9,0,car,150.5,6.31
3.0,0,car,155.7,7.56
3.1,0,car,159.4,8.86
3.2,0,car,162.2,10.17
3.3,0,car,164.3,11.51
3.4,0,car,166.0,12.85
3.5,0,car,167.3,14.21
3.6,0,car,168.4,15.57
3.7,0,car,169.4,16.93
3.8,0,car,170.2,18.30
3.9,0,car,170.9,19.67
4.0,0,car,171.5,21.05
4.1,0,car,172.0,22.42
4.2,0,car,172.5,23.80
4.3,0,car,172.9,25.18
4.4,0,car,173.3,26.56
4.5,0,car,173.6,27.94
4.6,0,car,173.9,29.32
4.7,0,car,174.2,30.70
4.8,0,car,174.4,32.09
4.9,0,car,174.6,33.47
5.0,0,car,174.9,34.85
5.1,0,car,175.1,36.24
5.2,0,car,175.2,37.62
5.3,0,car,175.4,39.00
5.4,0,car,175.6,40.39
5.5,0,car,175.7,41.77
5.6,0,car,175.9,43.16
5.7,0,car,176.0,44.55
5.8,0,car,176.1,45.93
5.9,0,car,176.2,47.32
6.0,0,car,176.3,48.70
6.1,0,car,176.4,50.09
6.2,0,car,176.5,51.48
6.3,0,car,176.6,52.86
6.4,0,car,176.7,54.25
6.5,0,car,176.8,55.64
6.6,0,car,176.9,57.02
6.7,0,car,176.9,58.41
6.8,0,car,177.0,59.80
6.9,0,car,177.1,61.18
7.0,0,car,177.1,62.57
7.1,0,car,177.2,63.96
7.2,0,car,177.3,65.35
7.3,0,car,177.3,66.73
7.4,0,car,177.4,68.12
7.5,0,car,177.4,69.51
7.6,0,car,177.5,70.90
7.7,0,car,177.5,72.28
7.8,0,car,177.6,73.67
7.9,0,car,177.6,75.06
8.0,0,car,177.7,76.45
8.1,0,car,177.7,77.84
8.2,0,car,177.7,79.22
8.3,0,car,177.8,80.61
8.4,0,car,177.8,82.00
8.5,0,car,177.9,83.39
8.6,0,car,177.9,84.78
8.7,0,car,177.9,86.16
8.8,0,car,178.0,87.55
8.9,0,car,178.0,88.94
9.0,0,car,178.0,90.33
9.1,0,car,178.0,91.72
9.2,0,car,178.1,93.10
9.3,0,car,178.1,94.49
9.4,0,car,178.1,95.88
9.5,0,car,178.2,97.27
9.6,0,car,178.2,98.66
9.7,0,car,178.2,100.04
9.8,0,car,178.2,101.43
9.9,0,car,178.3,102.82
0.3,1,car,2.5,65.35
0.4,1,car,2.6,63.96
0.5,1,car,2.6,62.57
0.6,1,car,2.7,61.18
0.7,1,car,2.8,59.80
0.8,1,car,2.8,58.41
0.9,1,car,2.9,57.02
1.0,1,car,3.0,55.64
1.1,1,car,3.0,54.25
1.2,1,car,3.1,52.86
1.3,1,car,3.2,51.48
1.4,1,car,3.3,50.09
