t_s,class,az_deg,dist_m
0.2,car,177,23.67
0.3,car,177,23.35
0.4,car,177,23.03
0.5,car,177,22.71
0.6,car,177,22.39
0.7,car,177,22.07
0.8,car,177,21.76
0.9,car,177,21.44
1.0,car,177,21.12
1.1,car,177,20.80
1.2,car,177,20.48
1.3,car,177,20.16
1.4,car,177,19.84
1.5,car,177,19.52
1.6,car,176,19.20
1.7,car,176,18.89
1.8,car,176,18.57
1.9,car,176,18.25
2.0,car,176,17.93
2.1,car,176,17.61
2.2,car,176,17.29
2.3,car,176,16.97
2.4,car,176,16.65
2.5,car,176,16.34
2.6,car,176,16.02
2.7,car,176,15.70
2.8,car,176,15.38
2.9,car,175,15.06
3.0,car,175,14.74
3.1,car,175,14.43
3.2,car,175,14.11
3.3,car,175,13.79
3.4,car,175,13.47
3.5,car,175,13.15
3.6,car,175,12.83
3.7,car,175,12.52
3.8,car,174,12.20
3.9,car,174,11.88
4.0,car,174,11.56
4.1,car,174,11.24
4.2,car,174,10.93
4.3,car,174,10.61
4.4,car,173,10.29
4.5,car,173,9.98
4.6,car,173,9.66
4.7,car,173,9.34
4.8,car,172,9.02
4.9,car,172,8.71
5.0,car,172,8.39
5.1,car,172,8.08
5.2,car,171,7.76
5.3,car,171,7.44
5.4,car,170,7.13
5.5,car,170,6.81
5.6,car,169,6.50
5.7,car,169,6.19
5.8,car,168,5.87
5.9,car,168,5.56
6.0,car,167,5.25
6.1,car,166,4.94
6.2,car,165,4.63
6.3,car,164,4.32
6.4,car,163,4.02
6.5,car,161,3.71
6.6,car,160,3.41
6.7,car,158,3.12
6.8,car,155,2.82
6.9,car,152,2.54
7.0,car,148,2.26
7.1,car,144,2.00
7.2,car,137,1.75
7.3,car,129,1.54
7.4,car,119,1.36
7.5,car,106,1.24
7.6,car,91,1.20
7.7,car,76,1.24
7.8,car,63,1.36
7.9,car,52,1.54
8.0,car,44,1.75
8.1,car,37,2.00
8.2,car,32,2.26
8.3,car,29,2.54
8.4,car,25,2.82
8.5,car,23,3.12
8.6,car,21,3.41
8.7,car,19,3.71
8.8,car,18,4.02
8.9,car,16,4.32
9.0,car,15,4.63
9.1,car,14,4.94
9.2,car,13,5.25
9.3,car,13,5.56
9.4,car,12,5.87
9.5,car,11,6.19
9.6,car,11,6.50
9.7,car,10,6.81
9.8,car,10,7.13
9.9,car,9,7.44
10.0,car,9,7.76
# オラクル（検出=GT系列）。モデル出力ではない
